benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,131.68552299976,132.58756687001096,133.70993999978964,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,75.06283900011113,75.33264141001837,75.65078200013886,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,45.938396000110515,46.15057923999302,46.575186000154645,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,36.35726099992098,36.5370484299774,36.84423200002129,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,31.236295999860886,31.411242109979863,31.748849999985396,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,26.63998099978926,26.827600489982615,27.183723999769427,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,24.33263300008548,24.526904830017884,24.91193800005931,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,22.35657400024138,22.54759493001984,23.053922000144667,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,23.24844500026302,23.403956210013348,23.8245000000461,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,20.500444999925094,20.69081822001408,21.147585000107938,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,20.2492240000538,20.406800659993678,20.830770999964443,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,20.08372499994948,20.244431469982374,20.693383999969228,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,19.523903999925096,19.699601719976272,20.11252800002694,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,19.7730469999442,19.955230400014443,20.281661999888456,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,19.27321400034998,19.445426560046144,19.78791600004115,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,19.842996000079438,20.01244701998985,20.33751899989511,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,149.45583999997325,150.31597706999491,163.77105800029312,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,85.96149899994998,86.26737498003877,86.66237399984311,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,54.16144600030748,54.424132240010294,54.78855800038218,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,43.15783199990619,43.40104610000708,43.77139399957741,0.0
bert_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,37.13238699992871,37.346022409997204,37.622988000293844,0.0
