model,instances,cores,batch_size,allocator,throughput,mean_ts_latency,mean_predict_latency
bert,1,1,1,default,2.96,338.332,336.01
bert,1,2,1,default,5.73,174.466,172.48
bert,1,3,1,default,5.77,173.376,171.05
bert,1,4,1,default,10.20,98.034,95.61
bert,1,5,1,default,7.40,135.214,132.91
bert,1,6,1,default,14.58,68.609,66.24
bert,1,7,1,default,9.85,101.484,99.5
bert,1,8,1,default,17.34,57.657,55.4
bert,1,9,1,default,10.08,99.234,97.41
bert,1,10,1,default,19.26,51.928,49.89
bert,1,11,1,default,10.67,93.763,91.63
bert,1,12,1,default,19.44,51.434,49.27
bert,1,13,1,default,11.52,86.831,84.9
bert,1,14,1,default,20.27,49.329,47.33
bert,1,15,1,default,10.65,93.895,91.7
bert,1,16,1,default,23.21,43.084,40.9
bert,1,1,2,default,3.65,548.665,539.01
bert,1,2,2,default,6.49,308.229,300.77
bert,1,3,2,default,8.04,248.669,242.1
bert,1,4,2,default,12.21,163.850,158.16
bert,1,5,2,default,10.65,187.762,181.4
bert,1,6,2,default,15.71,127.315,121.69
bert,1,7,2,default,12.15,164.590,158.51
bert,1,8,2,default,18.95,105.555,100.29
bert,1,9,2,default,13.65,146.503,140.72
bert,1,10,2,default,20.09,99.575,94.26
bert,1,11,2,default,15.65,127.821,122.36
bert,1,12,2,default,22.81,87.674,82.44
bert,1,13,2,default,16.44,121.631,116.21
bert,1,14,2,default,22.90,87.337,82.42
bert,1,15,2,default,17.39,114.979,109.82
bert,1,16,2,default,24.54,81.506,76.4
bert,1,1,4,default,4.10,976.268,962.15
bert,1,2,4,default,7.64,523.693,514.14
bert,1,3,4,default,10.64,375.794,367.77
bert,1,4,4,default,13.62,293.662,286.29
bert,1,5,4,default,14.67,272.622,265.38
bert,1,6,4,default,18.14,220.500,213.93
bert,1,7,4,default,17.52,228.260,221.66
bert,1,8,4,default,21.74,183.962,177.71
bert,1,9,4,default,19.49,205.216,198.96
bert,1,10,4,default,23.74,168.518,162.53
bert,1,11,4,default,20.79,192.427,186.12
bert,1,12,4,default,26.60,150.398,144.62
bert,1,13,4,default,21.85,183.107,177.07
bert,1,14,4,default,26.44,151.285,145.34
bert,1,15,4,default,23.41,170.898,164.95
bert,1,16,4,default,28.29,141.412,135.53
bert,1,1,8,default,4.38,1825.683,1802.73
bert,1,2,8,default,8.42,950.011,935.81
bert,1,3,8,default,11.68,684.936,673.41
bert,1,4,8,default,15.01,532.873,522.74
bert,1,5,8,default,17.87,447.797,438.55
bert,1,6,8,default,19.81,403.793,395.17
bert,1,7,8,default,22.62,353.652,345.43
bert,1,8,8,default,26.45,302.436,294.58
bert,1,9,8,default,25.56,312.994,305.11
bert,1,10,8,default,29.41,272.045,264.49
bert,1,11,8,default,27.05,295.793,287.97
bert,1,12,8,default,31.65,252.775,245.42
bert,1,13,8,default,28.07,284.966,277.21
bert,1,14,8,default,33.22,240.786,233.73
bert,1,15,8,default,31.55,253.586,246.36
bert,1,16,8,default,36.29,220.445,213.41
bert,1,1,16,default,4.48,3574.621,3533.37
bert,1,2,16,default,8.62,1856.581,1832.37
bert,1,3,16,default,12.24,1307.312,1288.53
bert,1,4,16,default,15.84,1010.089,994.39
bert,1,5,16,default,19.42,824.017,810.15
bert,1,6,16,default,22.93,697.649,684.94
bert,1,7,16,default,25.73,621.843,610.01
bert,1,8,16,default,27.46,582.602,571.16
bert,1,9,16,default,30.01,533.222,522.1
bert,1,10,16,default,31.57,506.868,495.94
bert,1,11,16,default,34.12,468.886,458.41
bert,1,12,16,default,33.38,479.322,463.37
bert,1,13,16,default,35.82,446.711,436.47
bert,1,14,16,default,37.46,427.162,417.23
bert,1,15,16,default,38.88,411.527,401.81
bert,1,16,16,default,42.45,376.944,367.32
bert,1,1,32,default,4.05,7891.560,7806.06
bert,1,2,32,default,7.60,4208.267,4159.12
bert,1,3,32,default,11.39,2808.295,2773.18
bert,1,4,32,default,14.80,2162.391,2133.57
bert,1,5,32,default,18.15,1763.462,1738.62
bert,1,6,32,default,20.55,1557.027,1534.2
bert,1,7,32,default,23.26,1375.968,1354.86
bert,1,8,32,default,25.78,1241.325,1221.91
bert,1,9,32,default,26.93,1188.109,1169.18
bert,1,10,32,default,29.29,1092.562,1074.47
bert,1,11,32,default,30.47,1050.380,1032.6
bert,1,12,32,default,32.50,984.554,967.39
