model,cores,batch_size,instances,throughput,mean_ts_latency,mean_predict_latency
bert,1,1,1,2.82,354.093,350.7
bert,2,1,1,4.66,214.748,211.56
bert,3,1,1,4.93,202.788,199.54
bert,4,1,1,11.67,85.704,82.82
bert,5,1,1,9.12,109.628,106.62
bert,6,1,1,16.26,61.512,58.76
bert,7,1,1,12.14,82.372,79.69
bert,8,1,1,19.53,51.197,48.59
bert,9,1,1,12.78,78.247,75.36
bert,10,1,1,21.47,46.577,43.97
bert,11,1,1,13.85,72.222,69.57
bert,12,1,1,22.16,45.125,42.48
bert,13,1,1,14.03,71.261,68.19
bert,14,1,1,23.12,43.248,40.53
bert,15,1,1,13.33,75.000,72.41
bert,16,1,1,26.67,37.498,35.0
bert,1,2,1,3.52,567.906,527.26
bert,2,2,1,5.94,336.705,306.99
bert,3,2,1,7.08,282.367,255.71
bert,4,2,1,11.38,175.682,163.5
bert,5,2,1,10.62,188.259,175.76
bert,6,2,1,14.43,138.627,127.36
bert,7,2,1,12.24,163.359,151.25
bert,8,2,1,16.57,120.714,109.85
bert,9,2,1,12.97,154.146,142.54
bert,10,2,1,17.66,113.256,102.6
bert,11,2,1,15.40,129.849,119.02
bert,12,2,1,19.69,101.559,91.34
bert,13,2,1,15.35,130.302,119.21
bert,14,2,1,19.85,100.730,90.38
bert,15,2,1,15.62,128.026,117.13
bert,16,2,1,20.76,96.355,86.16
bert,1,4,1,3.99,1001.523,940.0
bert,2,4,1,7.06,566.228,525.44
bert,3,4,1,9.40,425.490,391.37
bert,4,4,1,13.58,294.462,279.22
bert,5,4,1,14.52,275.482,260.58
bert,6,4,1,17.73,225.558,211.94
bert,7,4,1,17.46,229.148,215.23
bert,8,4,1,20.86,191.741,178.92
bert,9,4,1,18.73,213.597,200.18
bert,10,4,1,22.65,176.588,164.15
bert,11,4,1,20.35,196.569,183.51
bert,12,4,1,24.59,162.682,150.6
bert,13,4,1,20.88,191.557,178.85
bert,14,4,1,25.12,159.254,147.33
bert,15,4,1,22.25,179.743,167.21
bert,16,4,1,26.43,151.347,139.61
bert,1,8,1,4.34,1844.227,1741.9
bert,2,8,1,8.01,999.229,936.9
bert,3,8,1,10.94,731.273,681.86
bert,4,8,1,15.40,519.436,497.96
bert,5,8,1,17.83,448.805,429.18
bert,6,8,1,19.98,400.481,382.1
bert,7,8,1,22.43,356.709,339.14
bert,8,8,1,25.99,307.792,291.52
bert,9,8,1,25.56,312.960,296.81
bert,10,8,1,28.42,281.513,264.33
bert,11,8,1,27.96,286.137,270.21
bert,12,8,1,31.85,251.203,236.31
bert,13,8,1,28.85,277.297,261.61
bert,14,8,1,24.90,321.348,295.05
bert,15,8,1,30.78,259.869,244.75
bert,16,8,1,35.34,226.395,211.97
bert,1,16,1,4.52,3542.343,3356.52
bert,2,16,1,8.53,1875.104,1769.66
bert,3,16,1,12.28,1303.085,1225.17
bert,4,16,1,16.64,961.331,928.28
bert,5,16,1,19.79,808.670,779.14
bert,6,16,1,22.96,696.775,669.72
bert,7,16,1,25.95,616.557,591.76
bert,8,16,1,22.09,724.396,677.64
bert,9,16,1,29.70,538.747,515.73
bert,10,16,1,32.06,499.057,476.42
bert,11,16,1,34.09,469.305,448.13
bert,12,16,1,35.66,448.630,426.16
bert,13,16,1,36.13,442.806,422.15
bert,14,16,1,38.13,419.583,399.6
bert,15,16,1,39.23,407.823,388.01
bert,16,16,1,42.34,377.910,358.8
bert,1,32,1,4.61,6934.869,6588.01
bert,2,32,1,8.79,3638.673,3447.6
bert,3,32,1,13.09,2444.219,2310.35
bert,4,32,1,17.32,1847.437,1791.55
bert,5,32,1,21.22,1508.272,1460.32
bert,6,32,1,24.45,1308.711,1265.74
bert,7,32,1,27.87,1148.152,1109.11
bert,8,32,1,30.82,1038.320,1001.98
bert,9,32,1,32.00,999.996,964.55
bert,10,32,1,34.60,924.867,891.34
bert,11,32,1,36.44,878.196,845.89
bert,12,32,1,38.58,829.387,798.24
bert,13,32,1,39.57,808.681,777.98
bert,14,32,1,41.55,770.122,739.95
bert,15,32,1,43.32,738.633,709.58
bert,16,32,1,45.32,706.123,678.09
bert,1,64,1,4.65,13757.689,13081.96
bert,2,64,1,8.92,7178.288,6816.11
bert,3,64,1,13.52,4734.379,4488.54
bert,4,64,1,17.63,3630.208,3527.04
bert,5,64,1,21.93,2917.940,2832.13
bert,6,64,1,25.28,2531.353,2454.94
bert,7,64,1,29.17,2193.673,2125.66
bert,8,64,1,31.93,2004.233,1940.62
bert,9,64,1,32.89,1945.704,1883.71
bert,10,64,1,36.35,1760.719,1703.39
bert,11,64,1,39.07,1638.053,1583.47
bert,12,64,1,41.23,1552.259,1499.59
bert,13,64,1,41.74,1533.287,1481.34
bert,14,64,1,43.35,1476.405,1425.67
bert,15,64,1,45.75,1399.046,1350.44
bert,16,64,1,45.19,1416.290,1366.96
bert,1,128,1,4.60,27811.837,26619.21
bert,2,128,1,8.99,14243.227,13536.1
bert,3,128,1,13.75,9306.013,8835.88
bert,4,128,1,17.81,7185.242,6988.21
bert,5,128,1,22.38,5718.197,5556.8
bert,6,128,1,25.46,5028.020,4883.16
bert,7,128,1,29.88,4283.636,4157.07
bert,8,128,1,32.85,3896.375,3779.58
bert,9,128,1,34.96,3661.215,3550.46
bert,10,128,1,37.43,3419.296,3314.4
bert,11,128,1,40.84,3134.212,3036.24
bert,12,128,1,42.87,2985.558,2891.09
bert,13,128,1,43.58,2937.439,2844.27
bert,14,128,1,45.17,2833.658,2742.05
bert,15,128,1,46.79,2735.715,2647.02
bert,16,128,1,49.33,2594.610,2509.26
