benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
bert_manual_none,1,1,1,69.88356541842222,70.3313510864973,74.79691598564386
bert_manual_none,1,2,1,40.590567514300346,43.02294538356364,84.5519034191966
bert_manual_none,1,3,1,36.13403998315334,37.327256640419364,54.0695721283555
bert_manual_none,1,4,1,30.15028964728117,30.994598595425487,45.43069005012512
bert_manual_none,1,5,1,28.24216801673174,29.010384129360318,44.76702958345413
bert_manual_none,1,6,1,24.324593134224415,25.080059710890055,36.025249399244785
bert_manual_none,1,7,1,22.56498485803604,23.263841047883034,35.51220241934061
bert_manual_none,1,8,1,21.644028834998608,22.465132428333163,32.673073932528496
bert_manual_none,1,9,1,22.82309252768755,23.50635944865644,34.96665321290493
bert_manual_none,1,10,1,20.349720492959023,20.875786561518908,30.64444102346897
bert_manual_none,1,11,1,20.21582517772913,20.93139285221696,31.526687555015087
bert_manual_none,1,12,1,20.69383952766657,21.56344453804195,41.687820106744766
bert_manual_none,1,13,1,20.32479550689459,20.937273539602757,31.982621178030968
bert_manual_none,1,14,1,20.966995507478714,21.701723728328943,40.04193842411041
bert_manual_none,1,15,1,20.317042246460915,21.152222268283367,39.432382211089134
bert_manual_none,1,16,1,20.746042020618916,21.763573614880443,44.979386031627655
bert_manual_none,1,17,1,19.15899757295847,19.77974373847246,33.257020637393
bert_manual_none,1,18,1,19.04470194131136,19.968150574713945,44.15029473602772
bert_manual_none,1,1,8,180.72126898914576,187.2739725280553,224.73807074129581
bert_manual_none,1,2,8,98.77961128950119,102.72904196754098,133.38785711675882
bert_manual_none,1,3,8,97.06575609743595,102.40044965408742,175.80920085310936
bert_manual_none,1,4,8,61.09057553112507,64.35182088054717,92.72206015884876
bert_manual_none,1,5,8,72.98674713820219,77.46474847197533,114.51590247452259
bert_manual_none,1,6,8,48.47289528697729,51.56337878666818,72.34773132950068
bert_manual_none,1,7,8,63.18360473960638,66.66281440295279,105.75911309570074
bert_manual_none,1,8,8,41.859631426632404,45.73109314776957,73.77934362739325
bert_manual_none,1,9,8,63.439641147851944,68.17709406837821,110.51083356142044
bert_manual_none,1,10,8,40.369099006056786,42.94477786868811,59.2805715277791
bert_manual_none,1,11,8,59.56967640668154,64.19702930375934,122.208246961236
bert_manual_none,1,12,8,39.23950996249914,41.89942638389766,62.74862866848707
bert_manual_none,1,13,8,63.01409937441349,68.87775832787156,129.99118492007256
bert_manual_none,1,14,8,39.70323782414198,40.6578750256449,56.9757204502821
bert_manual_none,1,15,8,61.548865400254726,64.62319112382829,135.59626508504152
bert_manual_none,1,16,8,39.14665803313255,41.98863328434527,62.06548307090998
bert_manual_none,1,17,8,58.542221784591675,64.12647145800292,127.75973416864872
bert_manual_none,1,18,8,35.6889171525836,38.23392502963543,54.49493881314993
bert_manual_none,1,1,16,306.051155552268,314.75680159404874,378.4774374216795
bert_manual_none,1,2,16,170.6089163199067,179.54799668863416,223.9659233018756
bert_manual_none,1,3,16,143.47128756344318,153.0575349368155,227.35062148422003
bert_manual_none,1,4,16,98.2727762311697,102.18656719662249,133.42129904776812
bert_manual_none,1,5,16,118.271647952497,125.1064390409738,178.64698078483343
bert_manual_none,1,6,16,82.35999569296837,86.96758544072509,122.33916111290455
bert_manual_none,1,7,16,97.63956721872091,104.4957266561687,193.11470445245504
bert_manual_none,1,8,16,68.68664175271988,73.10648376122117,122.84372560679913
bert_manual_none,1,9,16,97.90818206965923,104.24029166810215,238.08158934116364
bert_manual_none,1,10,16,60.76320167630911,63.9349899161607,78.56386248022318
bert_manual_none,1,11,16,77.07110699266195,80.94222233630717,125.88601838797331
bert_manual_none,1,12,16,57.77358543127775,62.26339931599796,84.3666223809123
bert_manual_none,1,13,16,80.06010297685862,84.53698471188545,154.37687747180462
bert_manual_none,1,14,16,58.46654064953327,60.845806542783976,80.52543736994267
bert_manual_none,1,15,16,78.7134189158678,84.01313555426896,175.90131238102913
bert_manual_none,1,16,16,54.56054396927357,57.89867710322142,75.41655655950308
bert_manual_none,1,17,16,74.90665651857853,82.61059378273785,169.5283455774188
bert_manual_none,1,18,16,52.354056388139725,56.68200074695051,74.53474495559931
bert_manual_none,1,1,32,571.6806584969163,582.2744896635413,726.2600194662809
bert_manual_none,1,2,32,304.39699068665504,315.08889990858734,410.2061726152897
bert_manual_none,1,3,32,227.81434468925,241.8924388103187,292.41999611258507
bert_manual_none,1,4,32,176.47824995219707,185.9557985700667,245.38849387317896
bert_manual_none,1,5,32,177.7931796386838,184.71617351286113,241.61326605826616
bert_manual_none,1,6,32,142.1334259212017,150.24620125070214,220.13086080551147
bert_manual_none,1,7,32,145.70000860840082,155.76627490110695,250.8112946525216
bert_manual_none,1,8,32,117.40260664373636,122.4813517741859,151.05163399130106
bert_manual_none,1,9,32,140.41567035019398,147.66592063941061,237.9026161506772
bert_manual_none,1,10,32,112.33895923942327,119.9196411203593,174.7923083603382
bert_manual_none,1,11,32,127.49109324067831,135.60092652216554,263.22476007044315
bert_manual_none,1,12,32,103.074018843472,110.12170359492302,162.8381870687008
bert_manual_none,1,13,32,127.55587697029114,141.2030913028866,346.1756091564894
bert_manual_none,1,14,32,103.96778769791126,109.18315201997757,177.24799178540707
bert_manual_none,1,15,32,124.06080961227417,133.18690681830049,376.60705856978893
bert_manual_none,1,16,32,94.03147920966148,101.68308041058481,180.56099954992533
bert_manual_none,1,17,32,120.30681222677231,140.45393981039524,410.43736040592194
bert_manual_none,1,18,32,93.81560515612364,102.72113366983831,203.5681437700987
