benchmark,interop_threads,intraop_threads,batch_size,throughput
bert_manual_none,1,1,1,14.218410204720023
bert_manual_none,1,2,1,23.24341095396126
bert_manual_none,1,3,1,26.79007486762802
bert_manual_none,1,4,1,32.263686103926204
bert_manual_none,1,5,1,34.47041568084366
bert_manual_none,1,6,1,39.87231336477992
bert_manual_none,1,7,1,42.98516302367008
bert_manual_none,1,8,1,44.51342555803472
bert_manual_none,1,9,1,42.54167907983545
bert_manual_none,1,10,1,47.902386674298356
bert_manual_none,1,11,1,47.77512930268683
bert_manual_none,1,12,1,46.37478016259475
bert_manual_none,1,13,1,47.761710621419
bert_manual_none,1,14,1,46.079289024153525
bert_manual_none,1,15,1,47.27635646583796
bert_manual_none,1,16,1,45.94833632084523
bert_manual_none,1,17,1,50.55677228289649
bert_manual_none,1,18,1,50.07975056369614
bert_manual_none,1,1,8,42.71816255086664
bert_manual_none,1,2,8,77.87476498153013
bert_manual_none,1,3,8,78.12465694266287
bert_manual_none,1,4,8,124.31660659377411
bert_manual_none,1,5,8,103.27278094621563
bert_manual_none,1,6,8,155.1488709283034
bert_manual_none,1,7,8,120.0069344753864
bert_manual_none,1,8,8,174.93568269076422
bert_manual_none,1,9,8,117.34146357098179
bert_manual_none,1,10,8,186.28574641744646
bert_manual_none,1,11,8,124.61635821412573
bert_manual_none,1,12,8,190.93340149101599
bert_manual_none,1,13,8,116.14779856682385
bert_manual_none,1,14,8,196.76384943763074
bert_manual_none,1,15,8,123.79456756740363
bert_manual_none,1,16,8,190.5277541620451
bert_manual_none,1,17,8,124.75347260045768
bert_manual_none,1,18,8,209.23826140787622
bert_manual_none,1,1,16,50.83289676019671
bert_manual_none,1,2,16,89.1126623247523
bert_manual_none,1,3,16,104.53585317838188
bert_manual_none,1,4,16,156.57635283132242
bert_manual_none,1,5,16,127.89109915245703
bert_manual_none,1,6,16,183.97659218566204
bert_manual_none,1,7,16,153.11630926924101
bert_manual_none,1,8,16,218.85883682025874
bert_manual_none,1,9,16,153.4915121970639
bert_manual_none,1,10,16,250.2542038558407
bert_manual_none,1,11,16,197.6718644259795
bert_manual_none,1,12,16,256.97279904036594
bert_manual_none,1,13,16,189.26627267970778
bert_manual_none,1,14,16,262.95978160384044
bert_manual_none,1,15,16,190.4464092958972
bert_manual_none,1,16,16,276.34482859557045
bert_manual_none,1,17,16,193.67976027480543
bert_manual_none,1,18,16,282.27655674029467
bert_manual_none,1,1,32,54.95689845263653
bert_manual_none,1,2,32,101.5586395118449
bert_manual_none,1,3,32,132.29020368467565
bert_manual_none,1,4,32,172.0839051326633
bert_manual_none,1,5,32,173.23875539123787
bert_manual_none,1,6,32,212.98375422220838
bert_manual_none,1,7,32,205.4359971073083
bert_manual_none,1,8,32,261.2642621629222
bert_manual_none,1,9,32,216.70538375703939
bert_manual_none,1,10,32,266.84536161914195
bert_manual_none,1,11,32,235.9865881504079
bert_manual_none,1,12,32,290.5875858741737
bert_manual_none,1,13,32,226.6239336882409
bert_manual_none,1,14,32,293.085511894224
bert_manual_none,1,15,32,240.26385749506014
bert_manual_none,1,16,32,314.70329056503414
bert_manual_none,1,17,32,227.83269763168028
bert_manual_none,1,18,32,311.52304162503674
