benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,interleave,numactl,1,1,1,1,70.85117418318987,71.5110822673887,100.93195550143719,0.0
bert_manual_script,interleave,numactl,1,1,2,1,50.20712595432997,55.97341123968363,144.8546340689063,0.0
bert_manual_script,interleave,numactl,1,1,3,1,37.18949947506189,45.25908799842,246.28530349582434,0.0
bert_manual_script,interleave,numactl,1,1,4,1,29.341471381485462,30.306384805589914,54.39747031778097,0.0
bert_manual_script,interleave,numactl,1,1,5,1,25.616061873733997,26.258927136659622,43.807148933410645,0.0
bert_manual_script,interleave,numactl,1,1,6,1,22.189217619597912,23.490276783704758,76.06726698577404,0.0
bert_manual_script,interleave,numactl,1,1,7,1,20.81586793065071,22.26927992887795,45.399513095617294,0.0
bert_manual_script,interleave,numactl,1,1,8,1,21.57000545412302,23.582902643829584,104.1821613907814,0.0
bert_manual_script,interleave,numactl,1,1,9,1,20.301926881074905,24.025565274059772,120.4034574329853,0.0
bert_manual_script,interleave,numactl,1,1,10,1,18.68658047169447,21.388848898932338,85.00344213098288,0.0
bert_manual_script,interleave,numactl,1,1,11,1,18.76460574567318,21.424794839695096,120.82189042121172,0.0
bert_manual_script,interleave,numactl,1,1,12,1,19.38982680439949,21.987371994182467,76.98767445981503,0.0
bert_manual_script,interleave,numactl,1,1,13,1,17.839591950178146,20.214282860979438,104.60374690592289,0.0
bert_manual_script,interleave,numactl,1,1,14,1,18.400791101157665,19.68664220534265,88.10384199023247,0.0
bert_manual_script,interleave,numactl,1,1,15,1,19.085807725787163,20.322117349132895,78.51048745214939,0.0
bert_manual_script,interleave,numactl,1,1,16,1,19.326425157487392,20.56907843798399,77.25616730749607,0.0
bert_manual_script,interleave,numactl,1,1,17,1,17.993771471083164,18.46027153544128,21.296256221830845,0.0
bert_manual_script,interleave,numactl,1,1,18,1,18.836423754692078,19.73068719729781,68.25059466063976,0.0
bert_manual_script,interleave,numactl,1,1,1,2,87.14621048420668,88.0774867348373,95.1384911313653,0.0
