benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,7.206058006369593
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,11.584772144543361
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,18.034398428163154
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,23.2427602301674
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,26.92508292873774
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,28.93267923510965
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,32.94268208756552
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,35.71516067192414
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,35.59432898653898
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,38.828145055873385
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,39.783558789671815
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,38.7747890207303
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,39.70232713333204
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,41.521473771657675
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,40.953073640855465
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,41.599572674526634
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,15.27887071879966
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,23.849265945218765
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,20.33866745815951
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,39.77855664165158
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,22.61646476909776
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,2,49.29032740371822
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,2,22.815787968985756
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,2,61.3644094345867
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,2,22.98738886651957
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,2,65.82905751934204
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,2,22.769999199882538
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,2,68.45210820747519
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,2,21.959847040918557
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,2,71.63581955986436
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,2,21.535914333143207
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,2,76.0993697351308
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,23.124491346534175
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,38.11727508958873
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,4,35.16776568933906
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,66.00773438101038
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,4,41.759334854502505
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,4,82.13800785860612
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,4,42.344550173931786
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,4,102.00482806050344
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,4,43.19190703286703
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,4,109.33190213720931
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,4,43.61914869061097
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,4,115.04922631385105
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,4,42.530296996135874
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,4,120.54916698601245
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,4,41.277595033147435
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,4,127.72902032865288
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,8,28.534944208579276
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,8,52.870212931757095
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,8,52.66487402027907
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,8,96.61126961618413
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,8,68.89379925366354
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,8,126.02039213627535
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,8,77.57784656188527
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,8,157.15199656703058
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,8,77.82220508569404
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,8,167.39856685505092
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,8,80.27801226946895
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,8,179.84911579122493
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,8,76.10145000356893
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,8,185.06939540419535
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,8,74.9521270201261
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,8,203.30838608198863
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,16,33.343563630477455
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,16,69.0085175492357
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,16,75.68781081898523
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,16,127.5382795434522
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,16,97.12592776831025
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,16,143.79623515116535
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,16,121.17099792348107
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,16,200.06307501110146
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,16,128.68310173763308
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,16,183.85010542612358
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,16,137.3752280711637
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,16,235.90637308964907
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,16,132.20112962169446
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,16,199.2788576907406
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,16,136.86954681854178
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,16,245.5418050619182
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,32,40.69941376269703
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,32,76.05223680920844
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,32,103.28528485548661
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,32,147.01210583193256
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,32,132.767939877526
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,32,183.37083154422209
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,32,157.91137011937184
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,32,242.13539049549772
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,32,169.74517730549564
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,32,232.86927414125122
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,32,188.05059570089387
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,32,297.3401102675509
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,32,202.41160025859318
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,32,277.6602801178667
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,32,215.13611597003282
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,32,329.4048658975
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,64,42.86231849281562
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,64,82.67840908250358
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,64,117.98194664274234
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,64,157.71833100432863
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,64,181.90739546316098
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,64,216.76885738190808
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,64,232.2737600689155
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,64,273.75803105436773
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,64,220.42353237683372
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,64,281.9095381218575
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,64,250.54053161562845
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,64,340.65917828534924
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,64,248.95759382120764
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,64,326.7655507574494
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,64,263.0760712422244
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,64,391.4280840935955
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,128,43.85924384049061
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,128,85.43130841140406
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,128,124.98166388638617
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,128,166.17112570584877
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,128,195.51356877823136
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,128,232.22271156113683
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,128,259.0082653287003
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,128,297.01102088742505
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,128,298.15050258836675
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,128,324.48406726056794
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,128,349.29453922417076
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,128,376.0829633189942
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,128,359.6272962720254
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,128,388.9014799320975
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,128,325.7681781844777
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,128,427.95966043274956
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,256,44.30960338780559
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,256,87.19134198852831
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,256,130.26166513890468
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,256,171.4043300856931
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,256,201.94613461629675
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,256,241.71914914262982
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,256,263.0469356527282
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,256,306.4068605125364
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,256,312.377313943383
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,256,338.65407705731633
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,256,373.63449051366655
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,256,391.90976904488326
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,256,390.3915463913606
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,256,412.5639664650624
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,256,432.51052946334636
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,256,459.19302704180836
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,512,44.63250105046095
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,512,87.80420751434883
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,512,132.67260822788666
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,512,173.97884780930212
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,512,206.37586755078917
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,512,247.1606607628307
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,512,272.7448850630996
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,512,311.19916675281
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,512,318.7609838991096
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,512,346.21219987216523
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,512,376.6092315156423
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,512,399.63164502926725
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,512,388.8879473530124
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,512,409.3049945908695
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,512,439.1732078972075
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,512,462.47328387440797
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1024,44.59480481119576
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1024,88.18257165154098
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1024,133.68704413793228
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1024,175.2837022722199
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1024,209.1452654089171
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1024,250.23923585620022
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1024,279.2282548769346
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1024,315.83871371919673
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1024,325.05050738426985
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1024,351.206722553133
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1024,385.78348549871964
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1024,409.24422657481733
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1024,403.03844876789344
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1024,422.5117909742492
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1024,443.334815980164
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1024,468.11676523306716
