benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,1,138.01919699972132,138.28111567001088,138.5470830000486,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,1,85.67783999978928,86.10455342997284,86.79891899964787,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,1,56.295470999884856,56.67855011000029,57.0715469998504,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,1,43.01350200012166,43.18441532998804,43.35148300015135,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,1,37.52392800015514,37.81549063001421,38.030564000109734,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,1,34.986689999641385,35.17863821998162,35.34208400014904,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,1,30.683942999985447,30.894556299990654,31.211888000143517,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,8,1,28.618945999824064,28.821353469984388,29.157842000131495,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,9,1,28.845620000083727,29.005565170004957,29.26250699965749,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,10,1,26.524689000325452,26.73890164000568,27.054867000060767,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,11,1,25.643938000030175,25.856300879959235,26.092259000051854,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,12,1,26.008463999914966,26.301293679971423,26.547491000201262,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,13,1,25.898168999901827,26.099895090014797,26.39608599974963,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,14,1,24.89409700001488,25.300500039988947,25.64660999996704,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,15,1,25.52347299979374,25.849908849968415,26.11455999976897,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,16,1,24.597725000148785,24.91916336000486,26.188529999672028,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,2,131.62733599983767,132.45715892001954,143.58112900026754,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,2,84.33481300016865,85.28995518000102,90.55268199972488,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,2,99.01443000035215,99.85075920000781,104.7143849996246,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,2,50.64612800015311,51.21917654000299,56.450873000358115,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,2,88.61729699992793,89.55752722997659,94.06929999977365,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,2,41.44988000007288,43.13811651000833,47.28486099975271,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,2,87.28651199999149,88.27705983999294,92.59377199987284,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,8,2,33.19154199971308,34.4450002199892,38.82596100038427,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,9,2,87.3466789998929,87.7698203099726,92.66824399992402,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,10,2,31.130687999848305,33.06709989000865,36.94569000026604,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,11,2,88.30312000009144,90.47126156995546,94.09579399971335,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,12,2,29.953373999887845,31.311892590019852,35.51470100001097,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,13,2,91.02886299979218,92.23308284000723,96.90127999965625,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,14,2,28.793147000214958,30.098841929993796,34.558364000076836,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,15,2,93.35404800003744,93.86957416999849,99.21520099987902,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,16,2,27.648964000036358,28.966580389997034,33.40622200039434,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,4,173.58114200033015,175.70501358998627,197.45963900004426,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,4,104.89833899964651,107.6898320600094,120.73671300004207,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,4,114.31211499984784,115.7528548899927,124.25568900016515,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,4,61.474693000036496,63.185385690007934,70.99694299995463,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,4,96.01212899997336,98.83495405998929,104.63071399999535,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,4,49.50471700021808,51.71118893002131,58.84931200034771,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,4,93.94536299987521,96.29717467999399,102.77785500011305,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,8,4,39.378838000175165,43.21991967996382,49.21856199962349,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,9,4,91.36606799984293,93.86161559998527,100.86471999966307,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,10,4,36.94301199993788,38.533283589977145,46.56341200006864,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,11,4,91.12567200008925,93.40543793999132,100.66175100018881,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,12,4,35.364462999950774,36.94683900002019,44.95276100033152,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,13,4,93.61138599979313,97.00575523997031,103.35217600004398,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,14,4,33.77142299996194,35.77772506000656,43.06564699982118,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,15,4,96.88052399997105,98.88064509001197,105.49960500020461,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,16,4,32.11024100028226,34.543993299980684,42.78500999998869,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,8,286.4716130002307,292.61002428997017,339.393704000031,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,8,163.8423680001324,166.76105311002175,190.22199199980605,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,8,156.82501700030116,158.5900264499969,176.87871400039512,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,8,88.47568600003797,90.05241221000688,104.08542799996212,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,8,120.66871000024548,123.07982037999864,133.303221999995,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,8,68.50146799979484,69.969132730007,80.25760200007426,0.0
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,8,107.37033899977177,108.20895118999488,118.74369499992099,0.0
