benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,1,7.231645443086852
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,1,11.613787658898673
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,1,17.643358873140286
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,1,23.15650200097955
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,1,26.444189493241655
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,1,28.426341967722774
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,1,32.36816189524957
gpt2_manual_none,sequential,numactl,torch,default,1,1,8,1,34.69649685402306
gpt2_manual_none,sequential,numactl,torch,default,1,1,9,1,34.47614256570713
gpt2_manual_none,sequential,numactl,torch,default,1,1,10,1,37.39869398763335
gpt2_manual_none,sequential,numactl,torch,default,1,1,11,1,38.67529251932098
gpt2_manual_none,sequential,numactl,torch,default,1,1,12,1,38.02094346262159
gpt2_manual_none,sequential,numactl,torch,default,1,1,13,1,38.314330251180834
gpt2_manual_none,sequential,numactl,torch,default,1,1,14,1,39.52491051241835
gpt2_manual_none,sequential,numactl,torch,default,1,1,15,1,38.684855942972575
gpt2_manual_none,sequential,numactl,torch,default,1,1,16,1,40.12975819264443
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,2,15.099221637447643
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,2,23.44942022514938
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,2,20.029892772210825
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,2,39.047874938754006
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,2,22.33201453702668
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,2,46.36271033149968
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,2,22.655942592844738
gpt2_manual_none,sequential,numactl,torch,default,1,1,8,2,58.06357924885005
gpt2_manual_none,sequential,numactl,torch,default,1,1,9,2,22.78687586389824
gpt2_manual_none,sequential,numactl,torch,default,1,1,10,2,60.48307854794087
gpt2_manual_none,sequential,numactl,torch,default,1,1,11,2,22.106467460426998
gpt2_manual_none,sequential,numactl,torch,default,1,1,12,2,63.87349452768201
gpt2_manual_none,sequential,numactl,torch,default,1,1,13,2,21.68419333298567
gpt2_manual_none,sequential,numactl,torch,default,1,1,14,2,66.44773924032539
gpt2_manual_none,sequential,numactl,torch,default,1,1,15,2,21.306158227350487
gpt2_manual_none,sequential,numactl,torch,default,1,1,16,2,69.04508482094268
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,4,22.765428932689073
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,4,37.14371100301307
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,4,34.556383112982004
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,4,63.305778010508455
gpt2_manual_none,sequential,numactl,torch,default,1,1,5,4,40.47151170396804
gpt2_manual_none,sequential,numactl,torch,default,1,1,6,4,77.35269837661325
gpt2_manual_none,sequential,numactl,torch,default,1,1,7,4,41.53808264149427
gpt2_manual_none,sequential,numactl,torch,default,1,1,8,4,92.54991748294124
gpt2_manual_none,sequential,numactl,torch,default,1,1,9,4,42.6159295728192
gpt2_manual_none,sequential,numactl,torch,default,1,1,10,4,103.80636237915722
gpt2_manual_none,sequential,numactl,torch,default,1,1,11,4,42.82405915777426
gpt2_manual_none,sequential,numactl,torch,default,1,1,12,4,108.26365957850452
gpt2_manual_none,sequential,numactl,torch,default,1,1,13,4,41.234666851517254
gpt2_manual_none,sequential,numactl,torch,default,1,1,14,4,111.80140697294705
gpt2_manual_none,sequential,numactl,torch,default,1,1,15,4,40.452810520792646
gpt2_manual_none,sequential,numactl,torch,default,1,1,16,4,115.79437169478135
gpt2_manual_none,sequential,numactl,torch,default,1,1,1,8,27.34014331673126
gpt2_manual_none,sequential,numactl,torch,default,1,1,2,8,47.97283209000812
gpt2_manual_none,sequential,numactl,torch,default,1,1,3,8,50.44453411780206
gpt2_manual_none,sequential,numactl,torch,default,1,1,4,8,88.8371538714986
