benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,1,7.215392676813389
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,1,11.658045516048116
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,1,17.581259071971065
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,1,23.19416667574825
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,1,26.44959633339895
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,1,28.496702839280506
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,1,32.51720836479587
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,1,35.02127382947584
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,1,34.62104194645129
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,1,37.04721287901495
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,1,38.535233346738174
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,1,38.23657258543655
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,1,38.23151095915676
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,1,39.672996532786726
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,1,39.3193926495184
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,1,40.14667807736235
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,2,15.090649307530768
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,2,23.363414612956678
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,2,20.043204150500472
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,2,37.3694686190352
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,2,22.271780760717796
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,2,47.21547432111095
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,2,22.86202224144957
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,2,59.02393895049955
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,2,22.75729195950516
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,2,60.3214955274153
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,2,22.21563398312564
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,2,66.06882493697485
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,2,21.870873734217774
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,2,69.50530720197999
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,2,21.1873787425697
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,2,66.60706546368928
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,3,18.88435672193508
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,3,30.459167349904195
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,3,27.03376189360701
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,3,50.84586954344761
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,3,30.690528235359803
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,3,62.12211726983761
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,3,33.24738866217087
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,3,77.89468865874362
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,3,33.51462075397724
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,3,85.03324823656357
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,3,31.47378238529377
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,3,86.7302345709428
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,3,31.732858074240966
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,3,89.57472210074472
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,3,31.21499633385725
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,3,97.58784891054214
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,4,22.529321244690948
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,4,35.94120405754232
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,4,33.65695257336651
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,4,61.36288570828537
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,4,40.87018900536083
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,4,76.46169490760613
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,4,42.23958524289455
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,4,91.93864425662488
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,4,43.30995854984078
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,4,98.27186863517508
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,4,42.23146585704904
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,4,103.5422680225681
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,4,42.47644332437798
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,4,104.78749041822685
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,4,41.22361976925461
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,4,124.39971442054066
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,5,24.11777140802034
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,5,39.31305664880582
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,5,40.68057333331984
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,5,69.76949554196902
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,5,46.3925529597107
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,5,85.61139058149338
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,5,51.48717756821544
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,5,106.63875963650575
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,5,50.804903332989056
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,5,116.91414961335133
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,5,50.9186059276591
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,5,124.73313686331528
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,5,51.48285471005717
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,5,127.39373354057204
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,5,49.72003464155591
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,5,132.51502072892086
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,6,25.337640438154658
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,6,42.579198032914555
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,6,45.48826187165876
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,6,79.22816650310475
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,6,54.587070694946064
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,6,101.88560890820692
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,6,59.61897778562632
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,6,125.12268053486224
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,6,58.83972696425698
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,6,122.32453591505575
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,6,59.11446965911887
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,6,133.92346653946973
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,6,57.948149915222224
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,6,148.23142594512956
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,6,60.67810322520735
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,6,141.0808613381206
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,7,26.72069491882126
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,7,44.39825199349365
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,7,50.4996732394182
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,7,82.90745494189953
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,7,61.122150553613416
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,7,104.03587125217773
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,7,65.54995842449584
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,7,133.32414479597347
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,7,70.59514903542056
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,7,143.61253568700644
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,7,64.68623253073729
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,7,145.39062364678492
