model,instances,cores,batch_size,allocator,throughput,mean_ts_latency,mean_predict_latency
gpt2,1,1,1,default,2.28,438.577,436.37
gpt2,1,2,1,default,4.72,211.946,209.92
gpt2,1,3,1,default,5.19,192.654,190.36
gpt2,1,4,1,default,8.40,119.001,116.64
gpt2,1,5,1,default,6.56,152.510,150.23
gpt2,1,6,1,default,10.04,99.643,97.41
gpt2,1,7,1,default,8.23,121.469,119.08
gpt2,1,8,1,default,12.51,79.940,77.57
gpt2,1,9,1,default,8.72,114.617,112.6
gpt2,1,10,1,default,12.19,82.041,79.84
gpt2,1,11,1,default,9.01,110.939,109.05
gpt2,1,12,1,default,15.02,66.582,64.42
gpt2,1,13,1,default,9.04,110.673,108.36
gpt2,1,14,1,default,13.35,74.880,72.81
gpt2,1,15,1,default,8.83,113.224,110.8
gpt2,1,16,1,default,15.22,65.685,63.5
gpt2,1,1,2,default,2.68,746.197,734.22
gpt2,1,2,2,default,4.71,425.018,416.4
gpt2,1,3,2,default,6.31,317.123,309.82
gpt2,1,4,2,default,9.09,220.079,213.46
gpt2,1,5,2,default,8.79,227.410,221.04
gpt2,1,6,2,default,11.53,173.475,167.34
gpt2,1,7,2,default,10.03,199.340,192.91
gpt2,1,8,2,default,14.56,137.339,131.54
gpt2,1,9,2,default,11.03,181.248,175.29
gpt2,1,10,2,default,14.51,137.805,132.11
gpt2,1,11,2,default,12.37,161.620,155.68
gpt2,1,12,2,default,17.16,116.537,111.15
gpt2,1,13,2,default,12.20,163.918,158.01
gpt2,1,14,2,default,15.72,127.215,121.45
gpt2,1,15,2,default,12.78,156.545,150.96
gpt2,1,16,2,default,18.07,110.658,105.15
gpt2,1,1,4,default,2.80,1426.405,1407.8
gpt2,1,2,4,default,5.29,756.422,744.41
gpt2,1,3,4,default,7.18,557.252,547.17
gpt2,1,4,4,default,9.31,429.528,420.9
gpt2,1,5,4,default,10.87,367.991,359.72
gpt2,1,6,4,default,12.67,315.598,307.95
gpt2,1,7,4,default,12.86,310.933,303.36
gpt2,1,8,4,default,16.59,241.097,234.29
gpt2,1,9,4,default,14.13,283.039,275.89
gpt2,1,10,4,default,17.43,229.426,222.73
gpt2,1,11,4,default,15.33,260.881,253.82
gpt2,1,12,4,default,20.55,194.647,188.23
gpt2,1,13,4,default,16.17,247.301,240.36
gpt2,1,14,4,default,19.47,205.469,198.85
gpt2,1,15,4,default,16.97,235.733,228.97
gpt2,1,16,4,default,22.37,178.841,172.58
gpt2,1,1,8,default,2.79,2868.733,2835.43
gpt2,1,2,8,default,5.48,1459.114,1439.88
gpt2,1,3,8,default,7.83,1021.576,1006.45
gpt2,1,4,8,default,9.83,813.972,801.1
gpt2,1,5,8,default,11.70,683.870,672.2
gpt2,1,6,8,default,13.62,587.374,576.71
gpt2,1,7,8,default,14.94,535.506,525.28
gpt2,1,8,8,default,16.77,476.930,467.27
gpt2,1,9,8,default,17.21,464.811,455.33
gpt2,1,10,8,default,19.18,417.140,408.15
gpt2,1,11,8,default,19.08,419.365,410.38
