benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
gpt2_manual_none,1,1,1,122.21216224133968,124.99937012325972,193.32373095676303
gpt2_manual_none,1,2,1,75.55826380848885,80.86892437189817,115.49327801913023
gpt2_manual_none,1,3,1,49.97114930301905,54.84891834203154,101.9358360208571
gpt2_manual_none,1,4,1,40.74170859530568,43.46638213377446,107.33520099893212
gpt2_manual_none,1,5,1,35.54275492206216,37.37442536279559,83.90968572348356
gpt2_manual_none,1,6,1,32.31886401772499,35.10759560856968,82.60159101337194
gpt2_manual_none,1,7,1,29.08256510272622,31.94557607639581,78.78846488893032
gpt2_manual_none,1,8,1,27.451809030026197,30.60681939125061,91.88660886138678
gpt2_manual_none,1,9,1,26.159668806940317,29.424439421854913,92.5293299369514
gpt2_manual_none,1,10,1,24.917019996792078,28.614773750305176,102.78776381164789
gpt2_manual_none,1,11,1,24.31820100173354,27.540184957906604,94.30235205218196
gpt2_manual_none,1,12,1,24.315721821039915,26.51620872784406,76.61581737920642
gpt2_manual_none,1,13,1,24.801464285701513,27.91495207697153,123.28735925257206
gpt2_manual_none,1,14,1,23.438718169927597,26.268401062116027,90.80451307818294
gpt2_manual_none,1,15,1,23.63380091264844,25.775799602270126,89.1884439624846
gpt2_manual_none,1,16,1,23.56324205175042,25.73568222578615,86.50953602045774
gpt2_manual_none,1,17,1,23.237997200340033,27.261124765500426,156.9408206269145
gpt2_manual_none,1,18,1,23.822159972041845,26.17409930098802,96.71366075053811
gpt2_manual_none,1,1,8,288.42809330672026,292.0945009915158,342.6141790114343
gpt2_manual_none,1,2,8,160.45276913791895,173.58882746193558,253.53525718674064
gpt2_manual_none,1,3,8,150.87167639285326,167.66142525244504,272.0957878045738
gpt2_manual_none,1,4,8,87.6700165681541,93.15820334013551,127.1829791367054
gpt2_manual_none,1,5,8,109.34144537895918,116.84595190454274,189.60153590887785
gpt2_manual_none,1,6,8,64.95216535404325,68.25189445633441,89.29773326963186
gpt2_manual_none,1,7,8,94.80670001357794,101.44639195408672,171.82187689468265
gpt2_manual_none,1,8,8,54.04348578304052,57.15842499863356,74.65155702084303
gpt2_manual_none,1,9,8,92.53698121756315,101.01956179365516,198.4590762294829
gpt2_manual_none,1,10,8,49.447369296103716,51.949690519832075,75.49909083172679
gpt2_manual_none,1,11,8,88.00534484907985,96.61658767610788,223.3254611492157
gpt2_manual_none,1,12,8,44.84521318227053,47.347217425704,69.59045678377151
gpt2_manual_none,1,13,8,94.45124585181475,104.37320891302079,258.4783937782049
gpt2_manual_none,1,14,8,44.968845788389444,47.23634249065071,76.43403997644782
gpt2_manual_none,1,15,8,98.23488397523761,112.92260221671313,305.5260647088289
gpt2_manual_none,1,16,8,42.052451986819506,44.4146714033559,71.6844773851335
gpt2_manual_none,1,17,8,101.55775770545006,118.54635576717556,328.23238987475634
gpt2_manual_none,1,18,8,41.088169906288385,42.7556974766776,70.2709136530757
gpt2_manual_none,1,1,16,523.0965507216752,537.5070768920705,628.174580167979
gpt2_manual_none,1,2,16,253.56558104977012,270.4995729215443,315.2345917187631
gpt2_manual_none,1,3,16,219.17949616909027,229.7135273553431,317.05309404060245
gpt2_manual_none,1,4,16,138.26271705329418,146.2652835343033,189.44980576634407
gpt2_manual_none,1,5,16,166.5955251082778,179.8136882437393,255.45043405145407
gpt2_manual_none,1,6,16,116.53542891144753,125.26034623850138,166.09181324020028
gpt2_manual_none,1,7,16,128.65514308214188,135.8644309360534,209.09150503575802
gpt2_manual_none,1,8,16,86.06554195284843,92.04351593274623,121.04358011856675
gpt2_manual_none,1,9,16,114.47410332038999,123.09271007310599,233.2540526986122
gpt2_manual_none,1,10,16,83.86303670704365,90.12831679079682,143.52101413533092
gpt2_manual_none,1,11,16,106.6037300042808,118.69821406435221,244.32899290695786
gpt2_manual_none,1,12,16,70.32726192846894,77.25062531419098,145.48981888219714
gpt2_manual_none,1,13,16,114.26686123013496,128.0197666818276,292.3335856758058
gpt2_manual_none,1,14,16,77.19889795407653,84.34086487162858,162.9664129577577
gpt2_manual_none,1,15,16,108.81444718688726,124.86116495914757,317.2295647673309
gpt2_manual_none,1,16,16,66.46723207086325,74.69630272593349,153.63670559599996
gpt2_manual_none,1,17,16,109.83911389485002,127.82772748265414,295.2688643708825
gpt2_manual_none,1,18,16,70.92658337205648,79.4844042416662,179.38292399048805
gpt2_manual_none,1,1,32,884.7070997580886,913.4499506466091,1096.5754468925297
gpt2_manual_none,1,2,32,473.93187414854765,505.1476287655532,595.1503408141434
gpt2_manual_none,1,3,32,343.8096269965172,370.07521357852966,473.90863159671426
gpt2_manual_none,1,4,32,248.13779909163713,263.10189547017217,319.98435501009226
gpt2_manual_none,1,5,32,251.02261593565345,266.7702170321718,391.3567019626498
gpt2_manual_none,1,6,32,190.99662685766816,203.214434213005,267.5326131284237
gpt2_manual_none,1,7,32,202.89001474156976,216.0333440406248,287.7845289185643
gpt2_manual_none,1,8,32,145.86712419986725,157.6947827404365,212.39600889384747
gpt2_manual_none,1,9,32,183.3520382642746,199.09855890087783,290.1649228297174
gpt2_manual_none,1,10,32,137.44825590401888,146.59414658788592,194.11825435236096
gpt2_manual_none,1,11,32,158.5256760008633,176.48662798572332,295.64020363613963
gpt2_manual_none,1,12,32,113.22320718318224,123.90604547224939,175.8018620312214
gpt2_manual_none,1,13,32,151.80320106446743,167.3868326935917,333.1764889881015
gpt2_manual_none,1,14,32,115.05414079874754,125.97788260318337,197.5901499390602
gpt2_manual_none,1,15,32,140.31111123040318,157.59529121685773,341.8968729674816
gpt2_manual_none,1,16,32,101.3627271167934,110.7389551633969,202.9188061133027
gpt2_manual_none,1,17,32,136.9083928875625,149.20006760396063,315.4255342669785
gpt2_manual_none,1,18,32,104.26265420392156,116.98551304172724,225.55561596527696
