benchmark,interop_threads,intraop_threads,batch_size,throughput
gpt2_manual_none,1,1,1,8.000040312314512
gpt2_manual_none,1,2,1,12.36568938893292
gpt2_manual_none,1,3,1,18.231900103555645
gpt2_manual_none,1,4,1,23.00628556851929
gpt2_manual_none,1,5,1,26.756264217922958
gpt2_manual_none,1,6,1,28.48386460723338
gpt2_manual_none,1,7,1,31.30323890884183
gpt2_manual_none,1,8,1,32.67245731145341
gpt2_manual_none,1,9,1,33.985354339741576
gpt2_manual_none,1,10,1,34.946982587599
gpt2_manual_none,1,11,1,36.31057676367953
gpt2_manual_none,1,12,1,37.71278202942803
gpt2_manual_none,1,13,1,35.82309571023592
gpt2_manual_none,1,14,1,38.06855231254208
gpt2_manual_none,1,15,1,38.79608064270984
gpt2_manual_none,1,16,1,38.85655687021341
gpt2_manual_none,1,17,1,36.68227223205122
gpt2_manual_none,1,18,1,38.205708188867916
gpt2_manual_none,1,1,8,27.388396470470934
gpt2_manual_none,1,2,8,46.08591530324285
gpt2_manual_none,1,3,8,47.71520931516914
gpt2_manual_none,1,4,8,85.87542173597659
gpt2_manual_none,1,5,8,68.4662144439167
gpt2_manual_none,1,6,8,117.21286366810182
gpt2_manual_none,1,7,8,78.85938421171936
gpt2_manual_none,1,8,8,139.9618691416226
gpt2_manual_none,1,9,8,79.19258268354976
gpt2_manual_none,1,10,8,153.99514260717217
gpt2_manual_none,1,11,8,82.80151672111168
gpt2_manual_none,1,12,8,168.96452283713163
gpt2_manual_none,1,13,8,76.6480218756787
gpt2_manual_none,1,14,8,169.36112277497787
gpt2_manual_none,1,15,8,70.84498446685599
gpt2_manual_none,1,16,8,180.12066164685243
gpt2_manual_none,1,17,8,67.48414953988092
gpt2_manual_none,1,18,8,187.10956602599794
gpt2_manual_none,1,1,16,29.767049938233175
gpt2_manual_none,1,2,16,59.14981612425924
gpt2_manual_none,1,3,16,69.65197123654652
gpt2_manual_none,1,4,16,109.39027781153244
gpt2_manual_none,1,5,16,88.98099002514111
gpt2_manual_none,1,6,16,127.73395955281231
gpt2_manual_none,1,7,16,117.7644501196243
gpt2_manual_none,1,8,16,173.8308216267051
gpt2_manual_none,1,9,16,129.98332712390066
gpt2_manual_none,1,10,16,177.52467337361605
gpt2_manual_none,1,11,16,134.79562541122652
gpt2_manual_none,1,12,16,207.11806454543728
gpt2_manual_none,1,13,16,124.98069958028753
gpt2_manual_none,1,14,16,189.70637809267046
gpt2_manual_none,1,15,16,128.14232515958764
gpt2_manual_none,1,16,16,214.200695564615
gpt2_manual_none,1,17,16,125.16846160916968
gpt2_manual_none,1,18,16,201.29735075264873
gpt2_manual_none,1,1,32,35.03202334988138
gpt2_manual_none,1,2,32,63.347817900678876
gpt2_manual_none,1,3,32,86.46890909166395
gpt2_manual_none,1,4,32,121.62588164868556
gpt2_manual_none,1,5,32,119.95342042301853
gpt2_manual_none,1,6,32,157.46912921775177
gpt2_manual_none,1,7,32,148.12528196565083
gpt2_manual_none,1,8,32,202.92364429501495
gpt2_manual_none,1,9,32,160.7244179799983
gpt2_manual_none,1,10,32,218.2897526594993
gpt2_manual_none,1,11,32,181.31685309659042
gpt2_manual_none,1,12,32,258.2601993150276
gpt2_manual_none,1,13,32,191.17393814707802
gpt2_manual_none,1,14,32,254.01284208591213
gpt2_manual_none,1,15,32,203.05175207276122
gpt2_manual_none,1,16,32,288.9678700036816
gpt2_manual_none,1,17,32,214.47711461459508
gpt2_manual_none,1,18,32,273.5381430398652
