benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,13.311747714974878
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,23.7657501778834
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,33.16005448483799
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,42.08098152801616
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,48.502552939547925
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,55.822206637868796
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,59.37533936726398
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,63.8602580609142
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,62.409864280315546
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,65.91157930780702
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,67.94263529090236
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,71.39587318965295
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,67.69251537278497
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,67.7368698780469
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,67.84189129712891
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,66.66171876707466
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,14.674546921064355
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,27.224730992651423
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,38.652922318567455
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,49.211407131313784
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,57.09846867905861
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,2,66.55675034551679
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,2,72.18145363596886
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,2,80.44310582167344
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,2,81.84338229962118
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,2,86.89412888340387
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,2,90.2404598414644
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,2,96.59711494215605
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,2,93.59024230457231
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,2,95.88900854919878
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,2,98.31703944610479
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,2,102.07684216092123
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,15.213662750051752
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,28.86244040437214
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,4,41.85722022289785
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,54.784575173775345
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,4,65.41071989286725
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,4,76.75566947219647
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,4,86.16693876946354
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,4,96.43618189998055
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,4,98.66547680848456
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,4,106.90014599277121
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,4,112.25182910294086
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,4,120.69308203912401
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,4,117.4030880929236
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,4,123.13958240758261
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,4,128.2901862433499
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,4,132.90210953477788
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,8,15.36075943928668
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,8,29.622575668243993
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,8,43.58874757779074
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,8,57.37519025878322
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,8,69.5145692816063
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,8,81.93322634770854
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,8,93.11596447194324
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,8,106.04601373530721
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,8,110.04532349800702
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,8,119.94525343000542
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,8,128.7855521193862
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,8,139.13107309202312
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,8,138.26000117604954
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,8,146.58909652730716
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,8,153.31459475082303
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,8,162.38462609368236
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,16,15.206429172446244
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,16,29.399516882820187
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,16,43.72167371987461
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,16,57.68997109109513
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,16,70.54261191068893
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,16,83.31965846405528
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,16,95.4011053236317
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,16,109.00109022325418
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,16,114.89682818378347
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,16,125.6012113836432
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,16,135.87547811981105
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,16,146.71131021536831
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,16,149.0318409908425
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,16,157.39008968203126
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,16,166.44171273398882
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,16,176.57396557993994
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,32,15.009821179664211
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,32,29.16499830898954
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,32,43.363363093316245
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,32,57.404477655113595
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,32,70.06641658907357
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,32,83.09401706568632
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,32,94.74228194562914
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,32,108.14863035862534
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,32,114.64635556576268
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,32,126.09007276919752
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,32,135.51888892322802
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,32,147.46483194534284
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,32,149.17313101329572
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,32,159.11101442316527
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,32,166.47298863617743
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,32,176.9331588382293
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,64,14.88534934480289
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,64,29.046073173109388
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,64,43.31257590266989
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,64,57.28183086249724
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,64,70.13743329626917
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,64,82.52921281318582
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,64,94.14937377924736
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,64,107.33095428564673
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,64,113.9925999085992
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,64,124.93179654552597
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,64,134.6773198815975
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,64,145.2281207370666
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,64,147.96460738959178
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,64,156.99811348522712
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,64,165.46837614290007
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,64,174.2762228799882
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,128,14.704928132330949
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,128,28.873327380081825
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,128,43.150753193306166
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,128,57.04978095294021
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,128,69.71841861162883
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,128,81.93309984522332
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,128,93.60643985619365
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,128,106.04024924447586
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,128,113.22305305959719
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,128,123.54457574176145
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,128,133.48775351703614
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,128,143.57183560802642
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,128,146.91564794640436
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,128,155.50684527524695
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,128,163.51328519628643
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,128,172.0566746358642
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,256,14.637176002580937
