benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,default,1,1,1,1,15.903611045763967
inception_manual_script,sequential,numactl,default,1,1,2,1,27.88832460209643
inception_manual_script,sequential,numactl,default,1,1,3,1,36.63774070285412
inception_manual_script,sequential,numactl,default,1,1,4,1,44.702253228454616
inception_manual_script,sequential,numactl,default,1,1,5,1,46.280391739678954
inception_manual_script,sequential,numactl,default,1,1,6,1,52.88819139327515
inception_manual_script,sequential,numactl,default,1,1,7,1,55.695857390503
inception_manual_script,sequential,numactl,default,1,1,8,1,59.416973097384776
inception_manual_script,sequential,numactl,default,1,1,9,1,54.654495105942594
inception_manual_script,sequential,numactl,default,1,1,10,1,56.992732454513515
inception_manual_script,sequential,numactl,default,1,1,11,1,58.72846299042119
inception_manual_script,sequential,numactl,default,1,1,12,1,63.00410609859875
inception_manual_script,sequential,numactl,default,1,1,13,1,57.82531320942963
inception_manual_script,sequential,numactl,default,1,1,14,1,58.14545614568334
inception_manual_script,sequential,numactl,default,1,1,15,1,58.529018240219
inception_manual_script,sequential,numactl,default,1,1,16,1,57.78019073047346
inception_manual_script,sequential,numactl,default,1,1,1,2,18.083517145954126
inception_manual_script,sequential,numactl,default,1,1,2,2,33.133972747404094
inception_manual_script,sequential,numactl,default,1,1,3,2,44.25071795752347
inception_manual_script,sequential,numactl,default,1,1,4,2,55.16880459722215
inception_manual_script,sequential,numactl,default,1,1,5,2,56.74167987882502
inception_manual_script,sequential,numactl,default,1,1,6,2,65.52653327267386
inception_manual_script,sequential,numactl,default,1,1,7,2,70.06246567053994
inception_manual_script,sequential,numactl,default,1,1,8,2,77.93816498815305
inception_manual_script,sequential,numactl,default,1,1,9,2,73.26748551727277
inception_manual_script,sequential,numactl,default,1,1,10,2,78.44494866586471
inception_manual_script,sequential,numactl,default,1,1,11,2,80.35580541483282
inception_manual_script,sequential,numactl,default,1,1,12,2,86.49347163738415
inception_manual_script,sequential,numactl,default,1,1,13,2,82.54410500743643
inception_manual_script,sequential,numactl,default,1,1,14,2,84.68435002081847
inception_manual_script,sequential,numactl,default,1,1,15,2,88.07854001345828
inception_manual_script,sequential,numactl,default,1,1,16,2,91.07770182782096
inception_manual_script,sequential,numactl,default,1,1,1,4,19.204215276249723
inception_manual_script,sequential,numactl,default,1,1,2,4,36.318000979765586
inception_manual_script,sequential,numactl,default,1,1,3,4,49.92602433017064
inception_manual_script,sequential,numactl,default,1,1,4,4,63.828251076942756
inception_manual_script,sequential,numactl,default,1,1,5,4,67.627817497832
inception_manual_script,sequential,numactl,default,1,1,6,4,79.12108527756884
inception_manual_script,sequential,numactl,default,1,1,7,4,88.12601893527737
inception_manual_script,sequential,numactl,default,1,1,8,4,98.27608342638653
inception_manual_script,sequential,numactl,default,1,1,9,4,93.80342021485035
inception_manual_script,sequential,numactl,default,1,1,10,4,101.86508691267095
inception_manual_script,sequential,numactl,default,1,1,11,4,105.37739411894958
inception_manual_script,sequential,numactl,default,1,1,12,4,113.69112927067685
inception_manual_script,sequential,numactl,default,1,1,13,4,110.14505204674794
inception_manual_script,sequential,numactl,default,1,1,14,4,114.53456120066609
inception_manual_script,sequential,numactl,default,1,1,15,4,117.85187505243321
inception_manual_script,sequential,numactl,default,1,1,16,4,122.91707523810767
inception_manual_script,sequential,numactl,default,1,1,1,8,18.532433350762417
inception_manual_script,sequential,numactl,default,1,1,2,8,37.527206418393924
inception_manual_script,sequential,numactl,default,1,1,3,8,49.29692856048088
inception_manual_script,sequential,numactl,default,1,1,4,8,68.30550595083048
inception_manual_script,sequential,numactl,default,1,1,5,8,74.50460855693899
inception_manual_script,sequential,numactl,default,1,1,6,8,86.34289590703523
inception_manual_script,sequential,numactl,default,1,1,7,8,97.89221182631621
inception_manual_script,sequential,numactl,default,1,1,8,8,102.8112521142888
inception_manual_script,sequential,numactl,default,1,1,9,8,109.20311944028342
inception_manual_script,sequential,numactl,default,1,1,10,8,118.49949780434659
inception_manual_script,sequential,numactl,default,1,1,11,8,126.22397638759996
inception_manual_script,sequential,numactl,default,1,1,12,8,136.83583527520395
inception_manual_script,sequential,numactl,default,1,1,13,8,134.28824901366508
inception_manual_script,sequential,numactl,default,1,1,14,8,131.53537707472512
inception_manual_script,sequential,numactl,default,1,1,15,8,135.82420060735296
inception_manual_script,sequential,numactl,default,1,1,16,8,156.5622801931906
inception_manual_script,sequential,numactl,default,1,1,1,16,18.742124239369055
inception_manual_script,sequential,numactl,default,1,1,2,16,35.868234699677565
inception_manual_script,sequential,numactl,default,1,1,3,16,51.593800481195125
inception_manual_script,sequential,numactl,default,1,1,4,16,66.75268562352944
inception_manual_script,sequential,numactl,default,1,1,5,16,74.28401432366164
inception_manual_script,sequential,numactl,default,1,1,6,16,86.97660310176349
inception_manual_script,sequential,numactl,default,1,1,7,16,97.45168748201165
inception_manual_script,sequential,numactl,default,1,1,8,16,110.49510016624328
inception_manual_script,sequential,numactl,default,1,1,9,16,112.948237982607
inception_manual_script,sequential,numactl,default,1,1,10,16,122.85231177849644
inception_manual_script,sequential,numactl,default,1,1,11,16,132.11061089989556
inception_manual_script,sequential,numactl,default,1,1,12,16,141.12782734395
inception_manual_script,sequential,numactl,default,1,1,13,16,142.42265945021134
inception_manual_script,sequential,numactl,default,1,1,14,16,149.93775608458722
inception_manual_script,sequential,numactl,default,1,1,15,16,156.4195458185849
inception_manual_script,sequential,numactl,default,1,1,16,16,166.68232711385227
inception_manual_script,sequential,numactl,default,1,1,1,32,16.93268638344488
inception_manual_script,sequential,numactl,default,1,1,2,32,32.96844763151143
inception_manual_script,sequential,numactl,default,1,1,3,32,46.3515777080268
inception_manual_script,sequential,numactl,default,1,1,4,32,60.16865663656372
inception_manual_script,sequential,numactl,default,1,1,5,32,67.00332382591607
inception_manual_script,sequential,numactl,default,1,1,6,32,78.73992671465756
inception_manual_script,sequential,numactl,default,1,1,7,32,89.2012232482623
inception_manual_script,sequential,numactl,default,1,1,8,32,106.39559562866604
inception_manual_script,sequential,numactl,default,1,1,9,32,101.95707408474996
inception_manual_script,sequential,numactl,default,1,1,10,32,117.35493500593827
inception_manual_script,sequential,numactl,default,1,1,11,32,119.4386694455668
inception_manual_script,sequential,numactl,default,1,1,12,32,129.70458980251908
inception_manual_script,sequential,numactl,default,1,1,13,32,135.683952444874
inception_manual_script,sequential,numactl,default,1,1,14,32,136.53649238774784
inception_manual_script,sequential,numactl,default,1,1,15,32,142.67832611744245
inception_manual_script,sequential,numactl,default,1,1,16,32,150.38471975278708
inception_manual_script,sequential,numactl,default,1,1,1,64,15.67037743593221
inception_manual_script,sequential,numactl,default,1,1,2,64,29.137834644509873
inception_manual_script,sequential,numactl,default,1,1,3,64,43.28837103428769
inception_manual_script,sequential,numactl,default,1,1,4,64,56.46352207061699
inception_manual_script,sequential,numactl,default,1,1,5,64,63.48938905075905
inception_manual_script,sequential,numactl,default,1,1,6,64,69.77935082427452
inception_manual_script,sequential,numactl,default,1,1,7,64,79.43239207829555
inception_manual_script,sequential,numactl,default,1,1,8,64,93.35879114681853
inception_manual_script,sequential,numactl,default,1,1,9,64,91.36771801425026
inception_manual_script,sequential,numactl,default,1,1,10,64,99.71645890578289
inception_manual_script,sequential,numactl,default,1,1,11,64,113.36507969241218
inception_manual_script,sequential,numactl,default,1,1,12,64,121.4092184436947
inception_manual_script,sequential,numactl,default,1,1,13,64,122.10429999796925
inception_manual_script,sequential,numactl,default,1,1,14,64,120.37423518415571
inception_manual_script,sequential,numactl,default,1,1,15,64,132.72741085533323
inception_manual_script,sequential,numactl,default,1,1,16,64,140.54202766206996
inception_manual_script,sequential,numactl,default,1,1,1,128,14.041312041154015
inception_manual_script,sequential,numactl,default,1,1,2,128,27.064248601053283
inception_manual_script,sequential,numactl,default,1,1,3,128,38.174538151395424
inception_manual_script,sequential,numactl,default,1,1,4,128,51.248998461228844
