benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,74.87926799967681,75.12161598999228,75.86444199932885,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,41.91879700010759,42.077358909991744,42.54842099999223,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,30.038599999897997,30.156765890033057,30.47651599990786,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,23.61144300084561,23.76370425994537,24.524032000044826,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,20.50134299952333,20.617471440036752,20.90964899980463,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,17.798077999941597,17.914017740058625,18.185900999924343,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,16.701084000487754,16.842008999974496,17.152548000012757,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,15.377749999970547,15.659191340037067,16.289334000248346,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,15.951909000250453,16.023108070039598,16.331564000211074,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,15.100493000318238,15.171840980019624,15.36836899958871,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,14.63426200007234,14.718298690040683,14.965992000725237,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,13.828068999828247,14.006411789987396,14.50556800045888,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,14.699825999741734,14.772681950034894,15.189039999313536,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,14.674577000732825,14.763008710033318,15.06141200025013,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,14.625306999732857,14.740155100043921,15.485268999327673,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,14.838604000033229,15.001113360040108,15.301022999665292,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,135.89065599990136,136.2904088799587,137.15904699984094,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,73.21866299935209,73.46261752007194,73.98069300052157,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,51.5458870004295,51.742530189994795,52.34309299976303,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,40.47327100033726,40.640983800021786,40.998815999955696,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,34.90010400037136,35.02720907003095,35.46459799963486,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,2,29.897060000621423,30.049544029980098,30.313399999613466,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,2,27.535645999705594,27.7079484999922,28.088808000575227,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,2,24.451262000184215,24.862292169991633,25.826125999628857,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,2,24.260934999801975,24.436917729990455,25.277079999796115,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,2,22.90683100000024,23.016514759974598,23.398583000016515,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,2,22.02863099955721,22.163007629987987,22.44889699977648,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,2,20.472266000069794,20.70455211004628,21.235842000351113,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,2,21.254681000755227,21.369749139994383,21.634572000039043,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,2,20.722264000141877,20.857447900025363,21.219340000243392,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,2,20.217700000102923,20.342353790019843,20.65613700051472,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,2,19.43415699952311,19.593082599940317,20.809815000575327,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,262.41775499875075,262.9215637099878,263.720385999477,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,138.20601599945803,138.58841955006937,139.19905700095114,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,4,95.30301899940241,95.56296329998077,96.09408600044844,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,72.75103199935984,73.0132521300402,73.45670199902088,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,4,60.9368009991158,61.15205590996993,61.49456299863232,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,4,51.91092700079025,52.113414259893034,52.40444400078559,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,4,46.147809000103734,46.42151685000499,46.92484199949831,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,4,41.075000999626354,41.478207879990805,42.22687500077882,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,4,40.38811399914266,40.54102943995531,40.83458400054951,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,4,37.26295800152002,37.418096699984744,37.65790099896549,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,4,35.49268799906713,35.63416322002013,36.041289000422694,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,4,32.942787000138196,33.14191611001661,33.55520799959777,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,4,33.882579000419355,34.07065406008769,34.36469200096326,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,4,32.339154999135644,32.48346243988635,32.77210200030822,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,4,31.017436000183807,31.179314000000886,31.478052000238677,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,4,29.93587600030878,30.09734017015944,30.33220799989067,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,8,519.8236470005213,520.8075832200848,522.0689230009157,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,8,269.60316299846454,270.0642945298023,270.7353779987898,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,8,183.07587499839428,183.53360544995667,184.20918800075015,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,8,139.07614699928672,139.4330888301556,139.79984399884415,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,8,114.73338499854435,115.08378866006751,115.49696299880452,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,8,97.33454899833305,97.64048551011001,98.045374999856,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,8,85.56385599877103,85.91437617993506,86.21892600058345,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,8,74.9676029990951,75.43895068010897,76.00128699959896,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,8,72.41218399940408,72.69731912001589,73.07094700081507,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,8,66.38705399927858,66.69709530997352,67.56189999941853,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,8,61.866374000601354,62.11876929008213,62.48454699925787,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,8,57.193458000256214,57.4997361998976,58.82218700025987,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,8,57.61933299982047,57.86199863989168,58.14552099946013,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,8,54.31765399953292,54.57431821001592,54.89317800129356,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,8,51.94366199975775,52.180289900006755,52.50427300052252,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,8,49.004383999999845,49.26574757997514,49.99257799863699,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,16,1051.159184999051,1052.186533640106,1055.061396000383,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,16,543.5116629996628,544.2266301100244,545.1157819989021,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,16,365.4072420013108,365.95122369999444,366.8613579993689,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,16,276.94352899925434,277.3445660899233,277.7296429994749,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,16,226.1131329996715,226.81326317002458,237.87432000062836,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,16,191.62109500030056,192.03151206989787,192.4431759998697,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,16,167.3509419997572,167.71294154006682,168.1123739999748,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,16,146.15050100110238,146.78752264981085,148.3845820002898,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,16,138.92185599979712,139.25536721002572,139.55389500006277,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,16,126.96114500067779,127.38730641003713,127.72256900098,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,16,117.37435500072024,117.7548754300733,118.05501799972262,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,16,108.63293599868484,109.05771325000387,110.02376400028879,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,16,107.06489699987287,107.35960781014,107.66222500024014,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,16,101.37301800023124,101.65824310999596,101.96509299930767,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,16,95.80468999956793,96.12974858995585,96.4437810016534,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,16,90.31379000043671,90.61358477989415,92.04513499935274,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,32,2129.670504000387,2131.937457279946,2134.877037999104,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,32,1096.2223669994273,1097.2056182199958,1098.1388800009881,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,32,737.0063459984522,737.9501430997698,739.0745949996926,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,32,556.8480389993056,557.4478038500092,558.0046559989569,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,32,453.632534999997,456.70952729999044,493.44197400023404,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,32,384.6345559995825,385.1059454100505,386.0940069989738,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,32,337.28512800007593,337.758383509954,338.89373099918885,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,32,294.69756000071357,295.8890916499513,299.8327680015791,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,32,278.7569540014374,279.1192083000351,279.8413509990496,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,32,253.305714999442,253.78683108998302,259.7075510002469,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,32,235.5819460008206,236.12944479000362,236.65866300143534,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,32,216.64112100006605,217.0008915200924,218.91624099953333,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,32,214.0695380003308,214.51584331998674,215.11010599897418,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,32,200.79917300063244,201.11744064992308,201.44141700075124,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,32,191.8709019992093,192.22337667004467,192.66163999964192,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,32,179.50304400073946,180.85925899993526,247.14033900090726,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,64,4295.211227999971,4299.529592319923,4302.905198999724,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,64,2201.131166999403,2203.3959502398648,2220.0336330006394,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,64,1476.4322279988846,1477.6308881701698,1478.7115729996003,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,64,1116.2049990016385,1117.2827236201556,1118.09897099738,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,64,910.39429599914,912.4941845199282,913.9759899990167,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,64,773.9445240003988,775.4829813398464,798.8535679978668,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,64,678.6720950003655,679.7708516900093,681.973589998961,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,64,595.0819039971975,596.2865086401143,597.618498999509,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,64,560.9739409992471,561.439953569934,562.6762169995345,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,64,511.3129570017918,512.2795138600122,512.8610809988459,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,64,474.6326640015468,475.2099318301407,475.81351599728805,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,64,439.42235500071547,440.6860026500726,443.84419999914826,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,64,431.2146650008799,432.53586873979657,433.26252800034126,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,64,407.2948550019646,407.64821041000687,408.4718080011953,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,64,386.4149319997523,386.7808549999245,387.12953200229094,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,64,365.7564389977779,367.2331138601294,372.6914229991962,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,128,8691.949759999261,8704.564813110046,8720.057619997533,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,128,4428.190275997622,4433.1572289898395,4435.744727998099,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,128,2964.542303001508,2966.3445137698363,2983.8503719984146,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,128,2242.5862409982074,2243.6545392801054,2245.236015001865,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,128,1835.1019919973623,1835.9567320801216,1837.0928570002434,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,128,1560.0683640004718,1562.2501802299666,1564.527757000178,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,128,1366.2966430019878,1367.4272859500343,1371.0906019987306,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,128,1201.5892739982519,1207.0888262898734,1272.8594459986198,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,128,1129.8752889997559,1130.5118219398719,1131.1993159979465,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,128,1035.0655339971127,1036.0632931999498,1049.3955569982063,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,128,958.1867970009625,958.8894608497867,959.8787760005507,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,128,888.8232440003776,891.5397609699721,894.4535370028461,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,128,870.7524339988595,871.2482420299784,871.6767420010001,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,128,821.4685489983822,823.1148910097181,823.7330980009574,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,128,781.0815920020104,782.8110104102234,784.2825230000017,0.0
inception_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,128,741.6234000011173,743.9409152297958,747.3121789989818,0.0
