benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,torch,default,1,1,1,1,12.89088624036188
inception_manual_script,sequential,numactl,torch,default,1,1,2,1,22.69071076289871
inception_manual_script,sequential,numactl,torch,default,1,1,3,1,31.133832799196636
inception_manual_script,sequential,numactl,torch,default,1,1,4,1,38.24974366331665
inception_manual_script,sequential,numactl,torch,default,1,1,5,1,44.161312003921715
inception_manual_script,sequential,numactl,torch,default,1,1,6,1,49.7976824497256
inception_manual_script,sequential,numactl,torch,default,1,1,7,1,53.642850928330596
inception_manual_script,sequential,numactl,torch,default,1,1,8,1,57.03357061438711
inception_manual_script,sequential,numactl,torch,default,1,1,9,1,55.436726370522926
inception_manual_script,sequential,numactl,torch,default,1,1,10,1,57.777647997026754
inception_manual_script,sequential,numactl,torch,default,1,1,11,1,59.27603272184421
inception_manual_script,sequential,numactl,torch,default,1,1,12,1,62.279680920532094
inception_manual_script,sequential,numactl,torch,default,1,1,13,1,58.48168683756877
inception_manual_script,sequential,numactl,torch,default,1,1,14,1,58.85573233292341
inception_manual_script,sequential,numactl,torch,default,1,1,15,1,59.346740741760776
inception_manual_script,sequential,numactl,torch,default,1,1,16,1,57.29288805454175
inception_manual_script,sequential,numactl,torch,default,1,1,1,2,14.475053864891072
inception_manual_script,sequential,numactl,torch,default,1,1,2,2,26.316518988753774
inception_manual_script,sequential,numactl,torch,default,1,1,3,2,37.139298333815546
inception_manual_script,sequential,numactl,torch,default,1,1,4,2,46.93530374421544
inception_manual_script,sequential,numactl,torch,default,1,1,5,2,53.5537916821669
inception_manual_script,sequential,numactl,torch,default,1,1,6,2,62.35371397993063
inception_manual_script,sequential,numactl,torch,default,1,1,7,2,67.43750624557809
inception_manual_script,sequential,numactl,torch,default,1,1,8,2,73.63307351890091
inception_manual_script,sequential,numactl,torch,default,1,1,9,2,74.93125798645907
inception_manual_script,sequential,numactl,torch,default,1,1,10,2,79.33153159540268
inception_manual_script,sequential,numactl,torch,default,1,1,11,2,82.05396753023726
inception_manual_script,sequential,numactl,torch,default,1,1,12,2,86.43148111766695
inception_manual_script,sequential,numactl,torch,default,1,1,13,2,84.13887205712955
inception_manual_script,sequential,numactl,torch,default,1,1,14,2,86.06234167816255
inception_manual_script,sequential,numactl,torch,default,1,1,15,2,88.49651981424749
inception_manual_script,sequential,numactl,torch,default,1,1,16,2,90.9693614890334
inception_manual_script,sequential,numactl,torch,default,1,1,1,3,14.849098450112045
inception_manual_script,sequential,numactl,torch,default,1,1,2,3,27.68655637676138
inception_manual_script,sequential,numactl,torch,default,1,1,3,3,39.95539275781724
inception_manual_script,sequential,numactl,torch,default,1,1,4,3,50.31542825368841
