model,instances,cores,batch_size,allocator,throughput,mean_ts_latency,mean_predict_latency
inception,1,1,1,default,14.02,71.328,68.53
inception,1,2,1,default,22.81,43.848,41.38
inception,1,3,1,default,29.54,33.848,31.61
inception,1,4,1,default,34.80,28.732,26.58
inception,1,5,1,default,36.96,27.057,24.5
inception,1,6,1,default,39.87,25.081,22.64
inception,1,7,1,default,41.58,24.048,21.64
inception,1,8,1,default,43.52,22.978,20.57
inception,1,9,1,default,43.19,23.153,20.74
inception,1,10,1,default,44.88,22.280,19.74
inception,1,11,1,default,45.39,22.030,19.69
inception,1,12,1,default,46.51,21.503,19.03
inception,1,13,1,default,43.57,22.949,19.8
inception,1,14,1,default,44.41,22.518,20.12
inception,1,15,1,default,46.14,21.675,19.25
inception,1,16,1,default,45.12,22.163,19.68
inception,1,1,2,default,16.83,118.805,113.02
inception,1,2,2,default,28.03,71.348,66.23
inception,1,3,2,default,20.89,95.726,90.03
inception,1,4,2,default,27.66,72.306,66.87
inception,1,5,2,default,13.48,148.366,142.09
inception,1,6,2,default,15.60,128.198,122.48
inception,1,7,2,default,15.20,131.595,125.93
inception,1,8,2,default,61.04,32.766,27.84
inception,1,9,2,default,26.02,76.862,71.55
inception,1,10,2,default,35.38,56.533,51.12
inception,1,11,2,default,39.73,50.335,45.09
inception,1,12,2,default,27.95,71.547,66.28
inception,1,13,2,default,28.57,70.007,64.75
inception,1,14,2,default,44.60,44.844,39.76
inception,1,15,2,default,31.38,63.728,58.42
inception,1,16,2,default,49.16,40.686,35.43
inception,1,1,4,default,17.39,230.082,223.05
inception,1,2,4,default,29.68,134.767,128.54
inception,1,3,4,default,13.52,295.929,288.06
inception,1,4,4,default,35.84,111.593,105.5
inception,1,5,4,default,19.53,204.805,197.97
inception,1,6,4,default,21.95,182.218,175.59
inception,1,7,4,default,22.34,179.020,172.41
inception,1,8,4,default,55.09,72.615,66.84
inception,1,9,4,default,35.52,112.628,106.78
inception,1,10,4,default,42.06,95.097,89.13
inception,1,11,4,default,41.68,95.971,90.34
inception,1,12,4,default,42.01,95.223,89.44
inception,1,13,4,default,35.55,112.521,106.53
inception,1,14,4,default,36.73,108.911,103.05
inception,1,15,4,default,71.18,56.198,50.68
inception,1,16,4,default,66.21,60.418,54.92
inception,1,1,8,default,18.71,427.585,418.02
inception,1,2,8,default,33.01,242.330,234.58
inception,1,3,8,default,21.71,368.460,359.45
inception,1,4,8,default,48.90,163.590,156.56
inception,1,5,8,default,39.79,201.056,193.67
inception,1,6,8,default,36.03,222.057,214.56
inception,1,7,8,default,59.24,135.035,128.44
inception,1,8,8,default,76.38,104.740,98.25
inception,1,9,8,default,51.89,154.165,147.2
inception,1,10,8,default,59.96,133.412,126.65
inception,1,11,8,default,72.39,110.509,104.06
inception,1,12,8,default,71.51,111.867,105.52
inception,1,13,8,default,74.91,106.790,100.11
inception,1,14,8,default,65.10,122.886,116.26
inception,1,15,8,default,92.91,86.105,79.98
inception,1,16,8,default,88.48,90.416,84.03
inception,1,1,16,default,18.70,855.756,840.24
inception,1,2,16,default,33.32,480.219,468.45
inception,1,3,16,default,29.73,538.156,525.43
inception,1,4,16,default,54.59,293.108,283.08
inception,1,5,16,default,53.31,300.150,289.83
inception,1,6,16,default,52.75,303.312,293.15
inception,1,7,16,default,75.92,210.754,201.55
inception,1,8,16,default,89.41,178.955,169.95
inception,1,9,16,default,75.24,212.641,203.24
inception,1,10,16,default,91.04,175.754,166.93
inception,1,11,16,default,92.68,172.643,163.85
inception,1,12,16,default,85.76,186.576,177.36
inception,1,13,16,default,98.97,161.659,152.64
inception,1,14,16,default,121.34,131.857,123.42
inception,1,15,16,default,88.93,179.917,170.77
inception,1,16,16,default,112.07,142.768,134.0
inception,1,1,32,default,17.08,1874.022,1846.36
inception,1,2,32,default,32.27,991.579,972.65
inception,1,3,32,default,35.92,890.798,872.87
inception,1,4,32,default,56.34,567.997,553.56
inception,1,5,32,default,59.48,538.030,523.37
inception,1,6,32,default,63.03,507.731,493.66
inception,1,7,32,default,81.24,393.918,380.98
inception,1,8,32,default,95.29,335.831,323.7
inception,1,9,32,default,87.76,364.613,351.95
inception,1,10,32,default,101.51,315.251,303.28
inception,1,11,32,default,102.48,312.242,300.33
inception,1,12,32,default,102.83,311.193,298.89
inception,1,13,32,default,108.70,294.381,282.52
inception,1,14,32,default,124.94,256.129,244.66
inception,1,15,32,default,110.78,288.856,277.16
inception,1,16,32,default,126.97,252.037,240.24
inception,1,1,64,default,16.36,3912.759,3860.59
inception,1,2,64,default,29.54,2166.394,2131.27
inception,1,3,64,default,38.79,1650.118,1620.3
inception,1,4,64,default,55.71,1148.894,1124.13
inception,1,5,64,default,62.97,1016.385,992.71
inception,1,6,64,default,69.76,917.461,894.7
inception,1,7,64,default,85.88,745.244,724.34
inception,1,8,64,default,97.35,657.406,637.55
inception,1,9,64,default,95.51,670.080,650.11
inception,1,10,64,default,103.82,616.428,584.9
inception,1,11,64,default,109.59,583.986,564.64
inception,1,12,64,default,109.59,584.021,564.61
inception,1,13,64,default,116.68,548.528,529.57
inception,1,14,64,default,127.68,501.236,482.78
inception,1,15,64,default,121.40,527.193,508.86
inception,1,16,64,default,130.79,489.346,470.48
inception,1,1,128,default,15.83,8084.324,7981.74
inception,1,2,128,default,29.82,4292.896,4227.63
inception,1,3,128,default,40.89,3130.395,3076.41
inception,1,4,128,default,54.30,2357.120,2310.9
inception,1,5,128,default,63.64,2011.225,1968.74
inception,1,6,128,default,71.13,1799.508,1758.97
inception,1,7,128,default,82.94,1543.239,1505.37
inception,1,8,128,default,91.61,1397.249,1348.04
inception,1,9,128,default,93.57,1368.024,1331.76
inception,1,10,128,default,102.25,1251.879,1217.17
inception,1,11,128,default,106.68,1199.821,1165.64
inception,1,12,128,default,110.99,1153.288,1119.75
inception,1,13,128,default,114.28,1120.072,1086.27
