benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
inception_manual_none,1,1,1,118.28956520184875,119.34843816328794,133.42908304184675
inception_manual_none,1,2,1,72.51941226422787,73.95330770406872,104.62176287546754
inception_manual_none,1,3,1,54.57415618002415,55.77186509501189,76.03084668517113
inception_manual_none,1,4,1,45.31494714319706,46.06117432937026,60.66564889624715
inception_manual_none,1,5,1,40.4594917781651,41.1596111766994,53.53862326592207
inception_manual_none,1,6,1,36.45139001309872,37.08233598154038,50.520905293524265
inception_manual_none,1,7,1,34.58882123231888,35.4214286012575,46.51568038389087
inception_manual_none,1,8,1,32.37555408850312,33.14431432168931,45.47630017623305
inception_manual_none,1,9,1,31.330341938883066,32.114411792717874,41.448512114584446
inception_manual_none,1,10,1,30.65586369484663,31.398806874640286,42.25847776979208
inception_manual_none,1,11,1,29.91411928087473,30.706286472268403,41.78133001551032
inception_manual_none,1,12,1,29.155712109059095,30.12003701645881,39.94675911962986
inception_manual_none,1,13,1,30.72839416563511,31.341777546331286,40.737925097346306
inception_manual_none,1,14,1,30.420678202062845,31.030306490138173,41.94324882701039
inception_manual_none,1,15,1,29.86393216997385,30.396911245770752,42.56406333297491
inception_manual_none,1,16,1,29.484054073691368,30.221783169545233,41.171486023813486
inception_manual_none,1,17,1,29.31374730542302,29.919083071872592,40.73604615405202
inception_manual_none,1,18,1,28.973933774977922,29.74378473125398,41.596440598368645
inception_manual_none,1,1,8,784.576304256916,821.2352323718369,978.0030357651412
inception_manual_none,1,2,8,399.97162902727723,420.19016669131815,521.1566812358797
inception_manual_none,1,3,8,274.6360576711595,287.07818113733083,346.6087491251528
inception_manual_none,1,4,8,210.19571600481868,215.49619351979345,278.15308002755046
inception_manual_none,1,5,8,175.77123222872615,182.11051244288683,225.44933715835214
inception_manual_none,1,6,8,151.20923798531294,159.27448553964496,197.1508590504527
inception_manual_none,1,7,8,134.74086904898286,141.03404288645834,174.59210706874728
inception_manual_none,1,8,8,119.18433289974928,126.17289619054645,159.64550897479057
inception_manual_none,1,9,8,110.75251596048474,118.62762238830328,143.21214985102415
inception_manual_none,1,10,8,103.16905798390508,107.46374545618892,131.23091915622354
inception_manual_none,1,11,8,97.39245101809502,103.56672539375722,125.98657794296741
inception_manual_none,1,12,8,92.37883565947413,96.66595468297601,118.74985694885254
inception_manual_none,1,13,8,91.72743419185281,95.2411278616637,124.13179501891136
inception_manual_none,1,14,8,87.45208289474249,93.47087272442877,123.77899792045355
inception_manual_none,1,15,8,84.90358060225844,90.89862849097699,114.05098671093583
inception_manual_none,1,16,8,80.66321909427643,85.64678370952606,110.34258967265487
inception_manual_none,1,17,8,78.8595899939537,82.11910015903413,101.07908025383949
inception_manual_none,1,18,8,76.59688964486122,80.85411926265806,99.28491991013288
inception_manual_none,1,1,16,1563.7813098728657,1611.8756064865738,1989.9341859854758
inception_manual_none,1,2,16,778.8291736505926,812.5644614547491,1029.8804179765284
inception_manual_none,1,3,16,530.0107449293137,543.2726011658087,706.2193308956921
inception_manual_none,1,4,16,403.54656614363194,415.3125857003033,548.3350800350308
inception_manual_none,1,5,16,330.8170619420707,348.7423454923555,445.99636923521757
inception_manual_none,1,6,16,281.8155111745,287.01008359435946,386.7608509026468
inception_manual_none,1,7,16,247.887771576643,263.69362846482545,347.8419277817011
inception_manual_none,1,8,16,218.3341048657894,229.74999228026718,301.6248713247478
inception_manual_none,1,9,16,200.0506198965013,205.2081351308152,276.03783225640655
inception_manual_none,1,10,16,184.0830259025097,202.32011781539768,256.69072894379497
