benchmark,interop_threads,intraop_threads,batch_size,throughput
inception_manual_none,1,1,1,8.378827703064188
inception_manual_none,1,2,1,13.522045612910192
inception_manual_none,1,3,1,17.93018752907795
inception_manual_none,1,4,1,21.710258467343593
inception_manual_none,1,5,1,24.295661970832793
inception_manual_none,1,6,1,26.96701740952352
inception_manual_none,1,7,1,28.231498262170568
inception_manual_none,1,8,1,30.171087272896457
inception_manual_none,1,9,1,31.138667787362547
inception_manual_none,1,10,1,31.848343919324684
inception_manual_none,1,11,1,32.56662119996582
inception_manual_none,1,12,1,33.20049040622226
inception_manual_none,1,13,1,31.90629499305648
inception_manual_none,1,14,1,32.22655890678401
inception_manual_none,1,15,1,32.89807941058926
inception_manual_none,1,16,1,33.08871598972059
inception_manual_none,1,17,1,33.423484188929436
inception_manual_none,1,18,1,33.62046925216032
inception_manual_none,1,1,8,9.741423266625974
inception_manual_none,1,2,8,19.03899861101936
inception_manual_none,1,3,8,27.866973269462807
inception_manual_none,1,4,8,37.123625570050706
inception_manual_none,1,5,8,43.92936954976142
inception_manual_none,1,6,8,50.22775602065104
inception_manual_none,1,7,8,56.7238932974539
inception_manual_none,1,8,8,63.40505957728347
inception_manual_none,1,9,8,67.43791908610993
inception_manual_none,1,10,8,74.44371090956865
inception_manual_none,1,11,8,77.2448869999922
inception_manual_none,1,12,8,82.75923024022947
inception_manual_none,1,13,8,83.99732531118153
inception_manual_none,1,14,8,85.58815989217983
inception_manual_none,1,15,8,88.01012878642186
inception_manual_none,1,16,8,93.40689344660353
inception_manual_none,1,17,8,97.41947956695796
inception_manual_none,1,18,8,98.94362925420853
inception_manual_none,1,1,16,9.92632429922766
inception_manual_none,1,2,16,19.69074548418584
inception_manual_none,1,3,16,29.45114472120552
inception_manual_none,1,4,16,38.52519897277053
inception_manual_none,1,5,16,45.87914317491657
inception_manual_none,1,6,16,55.74717027229368
inception_manual_none,1,7,16,60.67647554910212
inception_manual_none,1,8,16,69.64091637697179
inception_manual_none,1,9,16,77.96961845494278
inception_manual_none,1,10,16,79.0825953086822
inception_manual_none,1,11,16,88.82966736592553
inception_manual_none,1,12,16,93.6981054773627
inception_manual_none,1,13,16,93.55944630894831
inception_manual_none,1,14,16,102.40824259152683
inception_manual_none,1,15,16,105.32314271293906
inception_manual_none,1,16,16,108.09455929554633
inception_manual_none,1,17,16,115.21846130678266
inception_manual_none,1,18,16,114.00788311950902
inception_manual_none,1,1,32,9.80992393023572
inception_manual_none,1,2,32,19.361214622796595
inception_manual_none,1,3,32,28.532068455534915
inception_manual_none,1,4,32,35.840975897799545
inception_manual_none,1,5,32,47.0311650352652
inception_manual_none,1,6,32,53.177452418953955
inception_manual_none,1,7,32,63.21444316340869
inception_manual_none,1,8,32,68.14075842829156
inception_manual_none,1,9,32,75.98424871213447
inception_manual_none,1,10,32,82.81218324106248
inception_manual_none,1,11,32,87.91447574496935
inception_manual_none,1,12,32,100.50688428679409
inception_manual_none,1,13,32,99.1049212146314
inception_manual_none,1,14,32,98.6795861846919
inception_manual_none,1,15,32,105.37946936198674
inception_manual_none,1,16,32,114.03892216712978
inception_manual_none,1,17,32,120.33361200357982
inception_manual_none,1,18,32,118.31262717954263
inception_manual_script,1,1,1,12.032600064960599
inception_manual_script,1,2,1,21.348637041500766
inception_manual_script,1,3,1,29.427944528610645
inception_manual_script,1,4,1,36.65899793283842
inception_manual_script,1,5,1,42.36374442515781
inception_manual_script,1,6,1,46.34305803957197
inception_manual_script,1,7,1,51.042688683962005
inception_manual_script,1,8,1,55.320308519394956
inception_manual_script,1,9,1,56.44068311149632
inception_manual_script,1,10,1,58.476971848695555
inception_manual_script,1,11,1,60.81617103352784
inception_manual_script,1,12,1,62.897047072744236
inception_manual_script,1,13,1,59.12479769067811
inception_manual_script,1,14,1,58.900878758953695
inception_manual_script,1,15,1,59.99658073600109
inception_manual_script,1,16,1,59.30052623107784
inception_manual_script,1,17,1,58.40649877314835
inception_manual_script,1,18,1,56.98158658870869
inception_manual_script,1,1,8,13.24131233318383
inception_manual_script,1,2,8,27.25485408808264
inception_manual_script,1,3,8,40.193162398608266
inception_manual_script,1,4,8,52.76388355426506
inception_manual_script,1,5,8,64.09277399128591
inception_manual_script,1,6,8,74.20566445275868
inception_manual_script,1,7,8,84.62020114191544
inception_manual_script,1,8,8,96.00086188017244
inception_manual_script,1,9,8,104.25544173271196
inception_manual_script,1,10,8,105.28505533256237
inception_manual_script,1,11,8,121.64856570245944
inception_manual_script,1,12,8,129.87005403704893
inception_manual_script,1,13,8,128.5814916755195
inception_manual_script,1,14,8,137.61270322705843
inception_manual_script,1,15,8,144.3693543892068
inception_manual_script,1,16,8,153.04586655248224
inception_manual_script,1,17,8,155.22551586158022
inception_manual_script,1,18,8,159.35564969954814
inception_manual_script,1,1,16,13.446492141337082
inception_manual_script,1,2,16,26.441418458778134
inception_manual_script,1,3,16,39.24031905459376
inception_manual_script,1,4,16,51.78369986929906
inception_manual_script,1,5,16,62.83807840019615
inception_manual_script,1,6,16,73.71734231384299
inception_manual_script,1,7,16,84.73985613547616
inception_manual_script,1,8,16,96.84949567284083
inception_manual_script,1,9,16,106.92241317830455
inception_manual_script,1,10,16,116.22146144648245
inception_manual_script,1,11,16,125.21696978673293
inception_manual_script,1,12,16,133.9192902583955
inception_manual_script,1,13,16,135.3507505124832
inception_manual_script,1,14,16,144.35814013308212
inception_manual_script,1,15,16,151.40740096296372
inception_manual_script,1,16,16,161.01279892574263
inception_manual_script,1,17,16,165.43678863391813
inception_manual_script,1,18,16,173.10615298882246
inception_manual_script,1,1,32,12.488019596344637
inception_manual_script,1,2,32,23.808926227949343
inception_manual_script,1,3,32,35.45958503397306
inception_manual_script,1,4,32,47.06378110626541
inception_manual_script,1,5,32,57.92754584954128
inception_manual_script,1,6,32,70.0113892617033
inception_manual_script,1,7,32,75.53984417150812
inception_manual_script,1,8,32,86.55010993905883
inception_manual_script,1,9,32,103.66895502768935
inception_manual_script,1,10,32,106.42618720963867
inception_manual_script,1,11,32,112.15545354136438
inception_manual_script,1,12,32,129.62600424240188
inception_manual_script,1,13,32,128.8995905993694
inception_manual_script,1,14,32,129.361089017755
inception_manual_script,1,15,32,137.54964418505503
inception_manual_script,1,16,32,142.1235854042031
inception_manual_script,1,17,32,150.70139058060653
inception_manual_script,1,18,32,164.20151498966516
