benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
inception_manual_script,sequential,numactl,1,1,1,1,79.54954821616411,80.39563819766045,86.99249383062124,0.0
inception_manual_script,sequential,numactl,1,1,2,1,50.45993719249964,51.8424526322633,69.8338458314538,0.0
inception_manual_script,sequential,numactl,1,1,3,1,39.15445599704981,40.121447294950485,54.5885618776083,0.0
inception_manual_script,sequential,numactl,1,1,4,1,32.82365668565035,33.72282932512462,44.82951108366251,0.0
inception_manual_script,sequential,numactl,1,1,5,1,33.04055705666542,33.75680046156049,44.68734189867973,0.0
inception_manual_script,sequential,numactl,1,1,6,1,30.180261470377445,30.838662693277,40.90542159974575,0.0
inception_manual_script,sequential,numactl,1,1,7,1,28.49938813596964,29.290560269728303,38.44059072434902,0.0
inception_manual_script,sequential,numactl,1,1,8,1,26.749679818749428,27.479128381237388,35.758850164711475,0.0
inception_manual_script,sequential,numactl,1,1,9,1,28.833414427936077,29.3291325122118,39.10326026380062,0.0
inception_manual_script,sequential,numactl,1,1,10,1,28.085729107260704,28.614635188132524,37.05149330198765,0.0
inception_manual_script,sequential,numactl,1,1,11,1,27.57089212536812,28.11045665293932,37.751732394099236,0.0
inception_manual_script,sequential,numactl,1,1,12,1,27.377291582524776,28.085207967087626,37.57624141871929,0.0
inception_manual_script,sequential,numactl,1,1,13,1,30.309993773698807,32.23784651607275,40.94100743532181,0.0
inception_manual_script,sequential,numactl,1,1,14,1,31.379240565001965,32.20146176405251,41.192119009792805,0.0
inception_manual_script,sequential,numactl,1,1,15,1,31.46515041589737,32.11617160588503,41.832239367067814,0.0
inception_manual_script,sequential,numactl,1,1,16,1,28.886305168271065,32.31372909620404,54.48586028069258,0.0
inception_manual_script,sequential,numactl,1,1,17,1,28.434600681066513,44.7570975124836,71.33050356060266,0.0
inception_manual_script,sequential,numactl,1,1,18,1,27.939182706177235,40.124239306896925,72.27768935263157,0.0
inception_manual_script,sequential,numactl,1,1,1,2,138.2882734760642,139.48081525042653,161.59594152122736,0.0
inception_manual_script,sequential,numactl,1,1,2,2,80.81723656505346,83.08195012621582,101.89337655901909,0.0
inception_manual_script,sequential,numactl,1,1,3,2,60.97580585628748,62.36816613934934,74.45869874209166,0.0
inception_manual_script,sequential,numactl,1,1,4,2,50.20036082714796,51.789643140509725,64.98999800533056,0.0
inception_manual_script,sequential,numactl,1,1,5,2,49.392261542379856,50.35389645025134,62.77243606746197,0.0
inception_manual_script,sequential,numactl,1,1,6,2,44.0130140632391,45.59465781785548,53.721497766673565,0.0
inception_manual_script,sequential,numactl,1,1,7,2,40.567560121417046,43.022170988842845,56.40756990760565,0.0
inception_manual_script,sequential,numactl,1,1,8,2,37.37733419984579,39.97298564761877,53.21967788040638,0.0
inception_manual_script,sequential,numactl,1,1,9,2,39.595707319676876,40.48666479997337,50.20975228399038,0.0
inception_manual_script,sequential,numactl,1,1,10,2,38.407256826758385,39.111777590587735,48.97552356123924,0.0
inception_manual_script,sequential,numactl,1,1,11,2,41.56921990215778,42.309876112267375,52.282789722085,0.0
inception_manual_script,sequential,numactl,1,1,12,2,35.18986888229847,37.47197242453694,47.5273197516799,0.0
inception_manual_script,sequential,numactl,1,1,13,2,38.13211899250746,38.855421813204885,48.963683657348156,0.0
inception_manual_script,sequential,numactl,1,1,14,2,37.68796566873789,38.473963933065534,51.12709850072861,0.0
inception_manual_script,sequential,numactl,1,1,15,2,37.20462508499622,38.08981271460652,51.82311870157719,0.0
inception_manual_script,sequential,numactl,1,1,16,2,36.0441105440259,36.82363442145288,47.14289400726557,0.0
inception_manual_script,sequential,numactl,1,1,17,2,36.55407391488552,37.30825552716851,46.964327804744244,0.0
inception_manual_script,sequential,numactl,1,1,18,2,36.09203454107046,36.886740662157536,50.94203818589449,0.0
inception_manual_script,sequential,numactl,1,1,1,4,255.97440730780363,270.91897532343864,311.89553812146187,0.0
inception_manual_script,sequential,numactl,1,1,2,4,141.48971065878868,145.7107279356569,178.47144976258278,0.0
inception_manual_script,sequential,numactl,1,1,3,4,103.59749477356672,106.29772892221808,134.48564056307077,0.0
inception_manual_script,sequential,numactl,1,1,4,4,82.4741329997778,85.29381171800196,106.07067588716745,0.0
inception_manual_script,sequential,numactl,1,1,5,4,77.79355719685555,80.11550112627447,99.17338471859694,0.0
inception_manual_script,sequential,numactl,1,1,6,4,68.72282456606627,72.33804164454341,91.39507357031107,0.0
inception_manual_script,sequential,numactl,1,1,7,4,62.03584745526314,64.20286729000509,77.14343629777431,0.0
inception_manual_script,sequential,numactl,1,1,8,4,56.31326790899038,60.39396128617227,78.9387533441186,0.0
inception_manual_script,sequential,numactl,1,1,9,4,58.31282678991556,59.83560210093856,73.37848749011755,0.0
inception_manual_script,sequential,numactl,1,1,10,4,54.978497326374054,56.38965238817036,69.78972535580397,0.0
inception_manual_script,sequential,numactl,1,1,11,4,52.83224303275347,53.98016570135951,66.64181221276522,0.0
inception_manual_script,sequential,numactl,1,1,12,4,50.80296006053686,52.19104370102286,64.32866957038641,0.0
inception_manual_script,sequential,numactl,1,1,13,4,53.6364046856761,54.88502899184823,68.47239471971989,0.0
inception_manual_script,sequential,numactl,1,1,14,4,52.402728237211704,53.632425013929605,67.73083657026291,0.0
inception_manual_script,sequential,numactl,1,1,15,4,50.585935823619366,51.859062761068344,63.8097058981657,0.0
inception_manual_script,sequential,numactl,1,1,16,4,48.88117965310812,50.120952036231756,62.82583437860012,0.0
inception_manual_script,sequential,numactl,1,1,17,4,48.81998244673014,50.05292364396155,62.14295048266649,0.0
inception_manual_script,sequential,numactl,1,1,18,4,47.745710238814354,48.86661625467241,61.423120088875294,0.0
inception_manual_script,sequential,numactl,1,1,1,8,492.4577586352825,514.4758762512356,607.2733271867037,0.0
inception_manual_script,sequential,numactl,1,1,2,8,266.3194006308913,283.16101932898164,362.4596269801259,0.0
inception_manual_script,sequential,numactl,1,1,3,8,189.10670280456543,198.61068909056485,252.63235997408628,0.0
inception_manual_script,sequential,numactl,1,1,4,8,148.9635929465294,163.31556268036366,192.928371950984,0.0
inception_manual_script,sequential,numactl,1,1,5,8,134.68328677117825,145.66930531524122,183.6386090144515,0.0
inception_manual_script,sequential,numactl,1,1,6,8,116.44632462412119,121.74215598031878,148.24239537119865,0.0
inception_manual_script,sequential,numactl,1,1,7,8,104.45880703628063,112.66641604714096,134.70773119479418,0.0
inception_manual_script,sequential,numactl,1,1,8,8,93.43474265187979,99.21791520901024,119.97841484844685,0.0
inception_manual_script,sequential,numactl,1,1,9,8,95.25847062468529,101.57699456438422,122.22102656960487,0.0
inception_manual_script,sequential,numactl,1,1,10,8,88.54634128510952,95.32673556357622,114.41908031702042,0.0
inception_manual_script,sequential,numactl,1,1,11,8,84.54857673496008,89.75537081249058,108.42811688780785,0.0
inception_manual_script,sequential,numactl,1,1,12,8,80.06248250603676,86.45624341443181,103.00381574779749,0.0
inception_manual_script,sequential,numactl,1,1,13,8,83.76978989690542,88.99076393805444,108.05181507021189,0.0
inception_manual_script,sequential,numactl,1,1,14,8,80.77412284910679,87.11466854438186,102.27843560278416,0.0
inception_manual_script,sequential,numactl,1,1,15,8,76.79637614637613,79.96002395637333,103.72275207191706,0.0
inception_manual_script,sequential,numactl,1,1,16,8,74.04485810548067,77.20847929827869,95.47481592744589,0.0
inception_manual_script,sequential,numactl,1,1,17,8,72.90871813893318,78.42587764374912,97.62090817093849,0.0
inception_manual_script,sequential,numactl,1,1,18,8,70.2067269012332,75.22340717725456,94.83813960105181,0.0
inception_manual_script,sequential,numactl,1,1,1,16,1006.1239516362548,1050.450062500313,1295.016411691904,0.0
inception_manual_script,sequential,numactl,1,1,2,16,515.6540982425213,550.7945551443845,701.6721153631806,0.0
inception_manual_script,sequential,numactl,1,1,3,16,364.9301007390022,394.8143494129181,491.2806525826454,0.0
inception_manual_script,sequential,numactl,1,1,4,16,283.48101768642664,318.83976325392723,408.0795431509614,0.0
inception_manual_script,sequential,numactl,1,1,5,16,252.52074282616377,269.03397544287145,337.22867630422115,0.0
inception_manual_script,sequential,numactl,1,1,6,16,217.19423402100801,241.1604239884764,293.0102413520217,0.0
inception_manual_script,sequential,numactl,1,1,7,16,192.07059498876333,202.46108178049326,258.29911790788174,0.0
inception_manual_script,sequential,numactl,1,1,8,16,171.1302539333701,191.47602759301662,228.40167954564095,0.0
inception_manual_script,sequential,numactl,1,1,9,16,169.1483510658145,189.7249153163284,229.16558478027582,0.0
inception_manual_script,sequential,numactl,1,1,10,16,156.80978912860155,165.55343536660075,215.23517370224,0.0
inception_manual_script,sequential,numactl,1,1,11,16,146.54234237968922,155.85781608708203,195.75020764023066,0.0
inception_manual_script,sequential,numactl,1,1,12,16,140.08796028792858,168.75636686570942,210.10573394596577,0.0
inception_manual_script,sequential,numactl,1,1,13,16,142.1517701819539,148.23679226450622,194.12223994731903,0.0
inception_manual_script,sequential,numactl,1,1,14,16,136.2220849841833,147.72341787815094,182.4413351714611,0.0
inception_manual_script,sequential,numactl,1,1,15,16,130.48231322318316,138.30592323094606,175.4433298483491,0.0
inception_manual_script,sequential,numactl,1,1,16,16,123.78285080194473,138.335071625188,169.31865364313126,0.0
inception_manual_script,sequential,numactl,1,1,17,16,122.38012161105871,131.99870634824038,165.26866052299738,0.0
inception_manual_script,sequential,numactl,1,1,18,16,118.58917213976383,128.7095492426306,161.63505520671606,0.0
inception_manual_script,sequential,numactl,1,1,1,32,2013.290323317051,2201.3628119509667,2714.696063660085,0.0
inception_manual_script,sequential,numactl,1,1,2,32,1041.1801673471928,1213.1063145026565,1493.176101706922,0.0
inception_manual_script,sequential,numactl,1,1,3,32,730.7168263942003,844.8217434529215,1034.5777831971645,0.0
inception_manual_script,sequential,numactl,1,1,4,32,558.9038720354438,629.6074612718076,872.9902300983667,0.0
inception_manual_script,sequential,numactl,1,1,5,32,491.50350503623486,564.0287773869932,723.9295393228531,0.0
inception_manual_script,sequential,numactl,1,1,6,32,423.3882026746869,483.085599290207,601.9105948507786,0.0
inception_manual_script,sequential,numactl,1,1,7,32,369.8621904477477,417.9432449862361,545.9576491266489,0.0
inception_manual_script,sequential,numactl,1,1,8,32,330.1759157329798,370.4860431049019,505.95180224627256,0.0
inception_manual_script,sequential,numactl,1,1,9,32,323.67696706205606,354.7346241399646,459.05787218362093,0.0
inception_manual_script,sequential,numactl,1,1,10,32,297.5363451987505,330.1993848197162,426.27344746142626,0.0
inception_manual_script,sequential,numactl,1,1,11,32,276.07839833945036,310.82395570352674,410.57685669511557,0.0
inception_manual_script,sequential,numactl,1,1,12,32,262.4033708125353,301.83621602132916,386.5838795900345,0.0
inception_manual_script,sequential,numactl,1,1,13,32,268.14928743988276,329.8308571521193,413.26846089214087,0.0
inception_manual_script,sequential,numactl,1,1,14,32,252.79375910758972,280.82291037775576,356.9093970581889,0.0
inception_manual_script,sequential,numactl,1,1,15,32,241.2848984822631,276.21710462495685,346.35206032544374,0.0
inception_manual_script,sequential,numactl,1,1,16,32,230.64040951430798,263.8825910165906,359.14936289191246,0.0
inception_manual_script,sequential,numactl,1,1,17,32,223.03445544093847,236.72371363267303,332.18218479305506,0.0
inception_manual_script,sequential,numactl,1,1,18,32,216.8904934078455,260.01827425323427,325.0340921804309,0.0
inception_manual_script,sequential,numactl,1,1,1,64,4054.835873655975,4533.226134730503,5767.248008400202,0.0
inception_manual_script,sequential,numactl,1,1,2,64,2071.456574834883,2438.966695824638,3042.163770645857,0.0
inception_manual_script,sequential,numactl,1,1,3,64,1443.207879550755,1637.856734516099,2132.2219958528876,0.0
inception_manual_script,sequential,numactl,1,1,4,64,1114.1762165352702,1281.5480470005423,1691.8396968394518,0.0
inception_manual_script,sequential,numactl,1,1,5,64,977.2464763373137,1112.839297503233,1492.8396521136165,0.0
inception_manual_script,sequential,numactl,1,1,6,64,834.0243939310312,978.2844712678343,1262.5725576654077,0.0
inception_manual_script,sequential,numactl,1,1,7,64,732.0258216932416,845.6495197489858,1113.788223825395,0.0
inception_manual_script,sequential,numactl,1,1,8,64,655.536787584424,769.5266880095005,1003.6396943032742,0.0
inception_manual_script,sequential,numactl,1,1,9,64,639.0285342931747,760.9445679280907,1010.9244361519814,0.0
inception_manual_script,sequential,numactl,1,1,10,64,590.9622050821781,666.8504801206291,914.9587666615844,0.0
inception_manual_script,sequential,numactl,1,1,11,64,545.5454243347049,591.5145948156714,817.9371282458305,0.0
inception_manual_script,sequential,numactl,1,1,12,64,519.1988432779908,588.1938610970974,773.3235396444798,0.0
inception_manual_script,sequential,numactl,1,1,13,64,520.7338137552142,598.0140110012144,833.1050211563706,0.0
inception_manual_script,sequential,numactl,1,1,14,64,494.09979674965143,554.8761751223356,802.1947480738163,0.0
inception_manual_script,sequential,numactl,1,1,15,64,476.10939387232065,534.6020999457687,717.2050634399056,0.0
inception_manual_script,sequential,numactl,1,1,16,64,450.3486901521683,512.5472193118185,731.3032737001777,0.0
inception_manual_script,sequential,numactl,1,1,17,64,439.9866107851267,522.5713034532964,672.0878751948476,0.0
inception_manual_script,sequential,numactl,1,1,18,64,422.2527826204896,522.5419033318758,658.174792304635,0.0
inception_manual_script,sequential,numactl,1,1,1,128,8154.959781095386,8910.704438313842,12089.723581448197,0.0
inception_manual_script,sequential,numactl,1,1,2,128,4133.265218697488,4634.493732787669,6398.169149644673,0.0
inception_manual_script,sequential,numactl,1,1,3,128,2913.4998749941587,3532.111210003495,4711.886618286371,0.0
inception_manual_script,sequential,numactl,1,1,4,128,2229.427463375032,2553.2754578068852,3493.037298321724,0.0
inception_manual_script,sequential,numactl,1,1,5,128,1949.3072256445885,2218.8320957962424,3055.392370559275,0.0
inception_manual_script,sequential,numactl,1,1,6,128,1684.0931484475732,2077.286038370803,2613.8735925778747,0.0
inception_manual_script,sequential,numactl,1,1,7,128,1471.4506464079022,1674.7596660908312,2356.8293573334813,0.0
inception_manual_script,sequential,numactl,1,1,8,128,1313.669841736555,1461.7610812187195,2094.6526555344462,0.0
inception_manual_script,sequential,numactl,1,1,9,128,1272.6113302633166,1488.9002172090113,2028.789204545319,0.0
inception_manual_script,sequential,numactl,1,1,10,128,1186.6478798910975,1536.4647110458463,1980.6094830855727,0.0
inception_manual_script,sequential,numactl,1,1,11,128,1100.1585572957993,1362.9271797370166,1816.7567737400532,0.0
inception_manual_script,sequential,numactl,1,1,12,128,1028.5474741831422,1130.9342241380364,1620.3044904395938,0.0
inception_manual_script,sequential,numactl,1,1,13,128,1047.1348594874144,1202.4974193889648,1650.3573097288609,0.0
inception_manual_script,sequential,numactl,1,1,14,128,1000.0399583950639,1318.8509424682707,1670.9923660382628,0.0
inception_manual_script,sequential,numactl,1,1,15,128,946.9618648290634,1044.0966479107738,1501.8345611169934,0.0
inception_manual_script,sequential,numactl,1,1,16,128,906.8226777017117,1107.663150029257,1542.1243673190475,0.0
inception_manual_script,sequential,numactl,1,1,17,128,883.1884125247598,1031.7982240673155,1417.6260093227029,0.0
inception_manual_script,sequential,numactl,1,1,18,128,849.9091919511557,1115.9107105713338,1396.8329494819045,0.0
inception_manual_script,sequential,numactl,1,1,1,256,18491.336804814637,22314.197308188304,25225.327864289284,0.0
inception_manual_script,sequential,numactl,1,1,2,256,10630.714769475162,12371.137955784798,13374.638604931533,0.0
inception_manual_script,sequential,numactl,1,1,3,256,6934.741415083408,9130.968600548804,9441.534381359816,0.0
inception_manual_script,sequential,numactl,1,1,4,256,4816.969444043934,6323.589425254613,7355.257716029882,0.0
inception_manual_script,sequential,numactl,1,1,5,256,4475.7113652303815,5251.270278757438,6399.8866602778435,0.0
inception_manual_script,sequential,numactl,1,1,6,256,3915.9724675118923,5068.931122748181,5582.97988306731,0.0
inception_manual_script,sequential,numactl,1,1,7,256,3444.3210111930966,4388.704662108794,4872.942350804806,0.0
inception_manual_script,sequential,numactl,1,1,8,256,3326.3287832960486,3922.227312270552,4738.20957262069,0.0
inception_manual_script,sequential,numactl,1,1,9,256,2907.6391737908125,3580.4896270576864,4223.423128016293,0.0
inception_manual_script,sequential,numactl,1,1,10,256,2663.7157844379544,3374.3607380520552,3895.8863662555814,0.0
inception_manual_script,sequential,numactl,1,1,11,256,2512.289791367948,3158.9898272696882,3718.9618134871125,0.0
inception_manual_script,sequential,numactl,1,1,12,256,2110.8138551935554,2731.6473947744817,3552.3470295593143,0.0
inception_manual_script,sequential,numactl,1,1,13,256,2506.162610836327,3114.280237518251,3593.850021250546,0.0
inception_manual_script,sequential,numactl,1,1,14,256,2595.934571698308,3123.959555597976,3427.178146317601,0.0
inception_manual_script,sequential,numactl,1,1,15,256,2277.8554251417518,3021.075278148055,3368.741875514388,0.0
inception_manual_script,sequential,numactl,1,1,16,256,2058.0345606431365,2710.4322172515094,3155.369097366929,0.0
