benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,1,1,1,1,12.438485748958213
inception_manual_script,sequential,numactl,1,1,2,1,19.28921085376401
inception_manual_script,sequential,numactl,1,1,3,1,24.92432520314031
inception_manual_script,sequential,numactl,1,1,4,1,29.653502390292235
inception_manual_script,sequential,numactl,1,1,5,1,29.62366060547471
inception_manual_script,sequential,numactl,1,1,6,1,32.42682764638836
inception_manual_script,sequential,numactl,1,1,7,1,34.14069211347578
inception_manual_script,sequential,numactl,1,1,8,1,36.39125616090484
inception_manual_script,sequential,numactl,1,1,9,1,34.0957919428278
inception_manual_script,sequential,numactl,1,1,10,1,34.947151813234875
inception_manual_script,sequential,numactl,1,1,11,1,35.573950731086285
inception_manual_script,sequential,numactl,1,1,12,1,35.60593181905136
inception_manual_script,sequential,numactl,1,1,13,1,31.019441683284654
inception_manual_script,sequential,numactl,1,1,14,1,31.05449085905569
inception_manual_script,sequential,numactl,1,1,15,1,31.136961536746742
inception_manual_script,sequential,numactl,1,1,16,1,30.94659848830236
inception_manual_script,sequential,numactl,1,1,17,1,22.34282506190401
inception_manual_script,sequential,numactl,1,1,18,1,24.92259086462259
inception_manual_script,sequential,numactl,1,1,1,2,14.338889519746221
inception_manual_script,sequential,numactl,1,1,2,2,24.07261742125281
inception_manual_script,sequential,numactl,1,1,3,2,32.06764161593905
inception_manual_script,sequential,numactl,1,1,4,2,38.61775982070062
inception_manual_script,sequential,numactl,1,1,5,2,39.718872639299335
inception_manual_script,sequential,numactl,1,1,6,2,43.864788019459006
inception_manual_script,sequential,numactl,1,1,7,2,46.487658666008976
inception_manual_script,sequential,numactl,1,1,8,2,50.033790761364905
inception_manual_script,sequential,numactl,1,1,9,2,49.39898136537331
inception_manual_script,sequential,numactl,1,1,10,2,51.135492253394816
inception_manual_script,sequential,numactl,1,1,11,2,47.270287312898034
inception_manual_script,sequential,numactl,1,1,12,2,53.37322458879651
inception_manual_script,sequential,numactl,1,1,13,2,51.47286804953194
inception_manual_script,sequential,numactl,1,1,14,2,51.98320618794227
inception_manual_script,sequential,numactl,1,1,15,2,52.50747791765981
inception_manual_script,sequential,numactl,1,1,16,2,54.3129441572674
inception_manual_script,sequential,numactl,1,1,17,2,53.60743813238777
inception_manual_script,sequential,numactl,1,1,18,2,54.220024976395365
inception_manual_script,sequential,numactl,1,1,1,4,14.764561969956405
inception_manual_script,sequential,numactl,1,1,2,4,27.45165065516881
inception_manual_script,sequential,numactl,1,1,3,4,37.63015485426735
inception_manual_script,sequential,numactl,1,1,4,4,46.89671993115729
inception_manual_script,sequential,numactl,1,1,5,4,49.92791586855806
inception_manual_script,sequential,numactl,1,1,6,4,55.2959398549287
inception_manual_script,sequential,numactl,1,1,7,4,62.30251340538973
inception_manual_script,sequential,numactl,1,1,8,4,66.23178733129127
inception_manual_script,sequential,numactl,1,1,9,4,66.84983286793495
inception_manual_script,sequential,numactl,1,1,10,4,70.93500013912367
inception_manual_script,sequential,numactl,1,1,11,4,74.10129161384287
inception_manual_script,sequential,numactl,1,1,12,4,76.64150237948981
inception_manual_script,sequential,numactl,1,1,13,4,72.87961896848223
inception_manual_script,sequential,numactl,1,1,14,4,74.58174786915016
inception_manual_script,sequential,numactl,1,1,15,4,77.13213056759834
inception_manual_script,sequential,numactl,1,1,16,4,79.80694375295295
inception_manual_script,sequential,numactl,1,1,17,4,79.91541170407865
inception_manual_script,sequential,numactl,1,1,18,4,81.85547325711421
inception_manual_script,sequential,numactl,1,1,1,8,15.549805869018696
inception_manual_script,sequential,numactl,1,1,2,8,28.25247634352331
inception_manual_script,sequential,numactl,1,1,3,8,40.279805868615995
inception_manual_script,sequential,numactl,1,1,4,8,48.98492139207432
inception_manual_script,sequential,numactl,1,1,5,8,54.918913649566015
inception_manual_script,sequential,numactl,1,1,6,8,65.7126525777423
inception_manual_script,sequential,numactl,1,1,7,8,71.00607510806685
inception_manual_script,sequential,numactl,1,1,8,8,80.63059965679967
inception_manual_script,sequential,numactl,1,1,9,8,78.75799076659261
inception_manual_script,sequential,numactl,1,1,10,8,83.92189192993568
inception_manual_script,sequential,numactl,1,1,11,8,89.13115647099193
inception_manual_script,sequential,numactl,1,1,12,8,92.53235722551173
inception_manual_script,sequential,numactl,1,1,13,8,89.89696959527977
