benchmark,topology,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,1,1,1,1,12.69799717347609
inception_manual_script,sequential,1,1,2,1,22.44872564767428
inception_manual_script,sequential,1,1,3,1,30.895203140829317
inception_manual_script,sequential,1,1,4,1,38.256294498132185
inception_manual_script,sequential,1,1,5,1,43.29438768911666
inception_manual_script,sequential,1,1,6,1,49.081705719696835
inception_manual_script,sequential,1,1,7,1,52.08493106339168
inception_manual_script,sequential,1,1,8,1,55.91244765646384
inception_manual_script,sequential,1,1,9,1,56.82963715322225
inception_manual_script,sequential,1,1,10,1,58.25474067424372
inception_manual_script,sequential,1,1,11,1,59.84622272384449
inception_manual_script,sequential,1,1,12,1,63.07767297341713
inception_manual_script,sequential,1,1,13,1,58.66576780318903
inception_manual_script,sequential,1,1,14,1,59.500924972542116
inception_manual_script,sequential,1,1,15,1,58.81253157551786
inception_manual_script,sequential,1,1,16,1,59.14555621524277
inception_manual_script,sequential,1,1,17,1,58.4558065255395
inception_manual_script,sequential,1,1,18,1,56.907173662963395
inception_manual_script,sequential,1,1,1,2,14.170599666213038
inception_manual_script,sequential,1,1,2,2,26.48227126429875
inception_manual_script,sequential,1,1,3,2,36.800584549151566
inception_manual_script,sequential,1,1,4,2,46.41965948396855
inception_manual_script,sequential,1,1,5,2,52.92218677700318
inception_manual_script,sequential,1,1,6,2,61.64266213851656
inception_manual_script,sequential,1,1,7,2,66.39116611652811
inception_manual_script,sequential,1,1,8,2,73.29485758264543
inception_manual_script,sequential,1,1,9,2,77.30012465799186
inception_manual_script,sequential,1,1,10,2,81.44183609862348
inception_manual_script,sequential,1,1,11,2,84.07295348577047
inception_manual_script,sequential,1,1,12,2,89.69316038162854
inception_manual_script,sequential,1,1,13,2,86.23709093402522
inception_manual_script,sequential,1,1,14,2,87.49261392729385
inception_manual_script,sequential,1,1,15,2,88.63969074672066
inception_manual_script,sequential,1,1,16,2,92.10023305529218
inception_manual_script,sequential,1,1,17,2,89.9565348998667
inception_manual_script,sequential,1,1,18,2,91.83463961672689
inception_manual_script,sequential,1,1,1,4,14.748105901136237
inception_manual_script,sequential,1,1,2,4,28.236683397025683
inception_manual_script,sequential,1,1,3,4,40.627169126616124
inception_manual_script,sequential,1,1,4,4,52.39352236435727
inception_manual_script,sequential,1,1,5,4,62.03813916248047
inception_manual_script,sequential,1,1,6,4,72.25707386602966
inception_manual_script,sequential,1,1,7,4,80.5671356964362
inception_manual_script,sequential,1,1,8,4,90.03845379825623
inception_manual_script,sequential,1,1,9,4,96.40925197688463
inception_manual_script,sequential,1,1,10,4,103.25090718836972
inception_manual_script,sequential,1,1,11,4,108.03044634965232
inception_manual_script,sequential,1,1,12,4,116.0038734126017
inception_manual_script,sequential,1,1,13,4,111.46527829753131
inception_manual_script,sequential,1,1,14,4,116.09530859383531
inception_manual_script,sequential,1,1,15,4,121.39711502621613
inception_manual_script,sequential,1,1,16,4,126.60997686892101
inception_manual_script,sequential,1,1,17,4,128.69262588706945
inception_manual_script,sequential,1,1,18,4,131.46143001392102
inception_manual_script,sequential,1,1,1,8,14.860583312307579
inception_manual_script,sequential,1,1,2,8,29.07055519922462
inception_manual_script,sequential,1,1,3,8,42.42449965453156
inception_manual_script,sequential,1,1,4,8,55.5753867082441
inception_manual_script,sequential,1,1,5,8,67.13687869841094
inception_manual_script,sequential,1,1,6,8,78.57525504560742
inception_manual_script,sequential,1,1,7,8,88.9134592862972
inception_manual_script,sequential,1,1,8,8,101.53124939385884
inception_manual_script,sequential,1,1,9,8,110.39122105657138
inception_manual_script,sequential,1,1,10,8,118.93251105023113
inception_manual_script,sequential,1,1,11,8,127.30547894150249
inception_manual_script,sequential,1,1,12,8,135.25206286749545
inception_manual_script,sequential,1,1,13,8,134.09937943080448
inception_manual_script,sequential,1,1,14,8,142.07134116936234
inception_manual_script,sequential,1,1,15,8,148.0163187831419
inception_manual_script,sequential,1,1,16,8,155.71387547126488
inception_manual_script,sequential,1,1,17,8,159.90002534983836
inception_manual_script,sequential,1,1,18,8,163.26757805671937
inception_manual_script,sequential,1,1,1,16,14.41683932889397
inception_manual_script,sequential,1,1,2,16,28.20944190009535
inception_manual_script,sequential,1,1,3,16,41.59015566847641
inception_manual_script,sequential,1,1,4,16,54.709758534905255
inception_manual_script,sequential,1,1,5,16,66.79553607090895
inception_manual_script,sequential,1,1,6,16,78.35287871599678
inception_manual_script,sequential,1,1,7,16,89.59667056554085
inception_manual_script,sequential,1,1,8,16,101.94746244422593
inception_manual_script,sequential,1,1,9,16,111.41414156386337
inception_manual_script,sequential,1,1,10,16,121.82873731080589
inception_manual_script,sequential,1,1,11,16,130.74891270533865
inception_manual_script,sequential,1,1,12,16,139.4132192691196
inception_manual_script,sequential,1,1,13,16,141.1729982261448
inception_manual_script,sequential,1,1,14,16,148.20284275823934
inception_manual_script,sequential,1,1,15,16,156.63879194377225
inception_manual_script,sequential,1,1,16,16,165.43445782707354
inception_manual_script,sequential,1,1,17,16,169.53802746454735
inception_manual_script,sequential,1,1,18,16,176.62102314601077
inception_manual_script,sequential,1,1,1,32,13.103970531901073
inception_manual_script,sequential,1,1,2,32,26.867363453891887
inception_manual_script,sequential,1,1,3,32,39.59737767117002
inception_manual_script,sequential,1,1,4,32,49.99852102637492
inception_manual_script,sequential,1,1,5,32,60.98573366315677
inception_manual_script,sequential,1,1,6,32,70.08268011500913
inception_manual_script,sequential,1,1,7,32,85.21711380862183
inception_manual_script,sequential,1,1,8,32,97.10861895738303
inception_manual_script,sequential,1,1,9,32,102.04600102533657
inception_manual_script,sequential,1,1,10,32,110.96279010361808
inception_manual_script,sequential,1,1,11,32,124.59164489355796
inception_manual_script,sequential,1,1,12,32,131.80346127404343
inception_manual_script,sequential,1,1,13,32,127.9845570601462
inception_manual_script,sequential,1,1,14,32,143.15204967863238
inception_manual_script,sequential,1,1,15,32,150.4703570180915
inception_manual_script,sequential,1,1,16,32,157.68569729713158
inception_manual_script,sequential,1,1,17,32,156.27891876710197
inception_manual_script,sequential,1,1,18,32,162.33064399798982
inception_manual_script,sequential,1,1,1,64,12.384591633337728
inception_manual_script,sequential,1,1,2,64,24.02304694443163
inception_manual_script,sequential,1,1,3,64,34.664659233421126
inception_manual_script,sequential,1,1,4,64,45.08587480347505
inception_manual_script,sequential,1,1,5,64,55.09481047083118
inception_manual_script,sequential,1,1,6,64,66.97000592803789
inception_manual_script,sequential,1,1,7,64,73.53381479854467
inception_manual_script,sequential,1,1,8,64,82.41017255100309
inception_manual_script,sequential,1,1,9,64,91.40495812025911
inception_manual_script,sequential,1,1,10,64,100.22287115169004
inception_manual_script,sequential,1,1,11,64,104.23508099100175
inception_manual_script,sequential,1,1,12,64,121.20545734374197
inception_manual_script,sequential,1,1,13,64,121.26718761494017
inception_manual_script,sequential,1,1,14,64,120.96349026292981
inception_manual_script,sequential,1,1,15,64,133.05390988364562
inception_manual_script,sequential,1,1,16,64,133.961324361122
inception_manual_script,sequential,1,1,17,64,144.34761037751133
inception_manual_script,sequential,1,1,18,64,140.0313700549738
inception_manual_script,sequential,1,1,1,128,10.827694130883392
inception_manual_script,sequential,1,1,2,128,20.784114235275435
inception_manual_script,sequential,1,1,3,128,30.97679995243408
inception_manual_script,sequential,1,1,4,128,40.356505190767386
inception_manual_script,sequential,1,1,5,128,48.24576126738009
inception_manual_script,sequential,1,1,6,128,56.626739338094055
inception_manual_script,sequential,1,1,7,128,65.04399857091686
inception_manual_script,sequential,1,1,8,128,70.52486556608372
inception_manual_script,sequential,1,1,9,128,77.57790276037514
inception_manual_script,sequential,1,1,10,128,84.21287130789186
inception_manual_script,sequential,1,1,11,128,90.84092199507376
inception_manual_script,sequential,1,1,12,128,96.26501067764676
inception_manual_script,sequential,1,1,13,128,101.04301324498985
inception_manual_script,sequential,1,1,14,128,103.54989506847743
inception_manual_script,sequential,1,1,15,128,104.94732324042458
inception_manual_script,sequential,1,1,16,128,112.35405898597834
inception_manual_script,sequential,1,1,17,128,113.60859061234699
inception_manual_script,sequential,1,1,18,128,121.4590533823922
inception_manual_script,sequential,1,1,1,256,10.426217620080001
inception_manual_script,sequential,1,1,2,256,20.36743048561852
inception_manual_script,sequential,1,1,3,256,29.684632152747277
inception_manual_script,sequential,1,1,4,256,39.015601354277685
inception_manual_script,sequential,1,1,5,256,44.87873059927299
inception_manual_script,sequential,1,1,6,256,52.53787046933551
inception_manual_script,sequential,1,1,7,256,59.436615236271905
inception_manual_script,sequential,1,1,8,256,66.66927196325835
inception_manual_script,sequential,1,1,9,256,72.76809067013325
inception_manual_script,sequential,1,1,10,256,79.75250566113569
inception_manual_script,sequential,1,1,11,256,84.95958946995192
inception_manual_script,sequential,1,1,12,256,90.87013822843576
inception_manual_script,sequential,1,1,13,256,90.32462461295468
inception_manual_script,sequential,1,1,14,256,96.70574576108967
inception_manual_script,sequential,1,1,15,256,98.73474513668032
inception_manual_script,sequential,1,1,16,256,103.43781830786878
inception_manual_script,sequential,1,1,17,256,110.60815991187638
inception_manual_script,sequential,1,1,18,256,107.86259970700411
inception_manual_script,sequential,1,1,1,512,9.89564871314651
inception_manual_script,sequential,1,1,2,512,19.05811782119927
inception_manual_script,sequential,1,1,3,512,27.47491612717986
inception_manual_script,sequential,1,1,4,512,35.87972332456106
inception_manual_script,sequential,1,1,5,512,42.70605075874258
