model,cores,batch_size,instances,allocator,throughput,mean_ts_latency,mean_predict_latency
mobilenet,1,1,1,default,40.61,24.625,22.31
mobilenet,2,1,1,default,54.00,18.520,15.95
mobilenet,3,1,1,default,63.69,15.701,13.23
mobilenet,4,1,1,default,70.29,14.227,11.76
mobilenet,5,1,1,default,73.33,13.637,11.16
mobilenet,6,1,1,default,76.38,13.093,10.68
mobilenet,7,1,1,default,79.28,12.614,10.35
mobilenet,8,1,1,default,80.84,12.370,10.13
mobilenet,9,1,1,default,74.56,13.413,10.74
mobilenet,10,1,1,default,78.54,12.732,10.31
mobilenet,11,1,1,default,91.69,10.906,8.75
mobilenet,12,1,1,default,89.79,11.137,8.86
mobilenet,13,1,1,default,76.79,13.023,10.65
mobilenet,14,1,1,default,84.74,11.800,9.7
mobilenet,15,1,1,default,78.31,12.770,10.46
mobilenet,16,1,1,default,70.37,14.210,11.84
mobilenet,1,2,1,default,42.33,47.249,42.27
mobilenet,2,2,1,default,62.19,32.161,27.18
mobilenet,3,2,1,default,62.29,32.108,27.3
mobilenet,4,2,1,default,84.57,23.650,18.72
mobilenet,5,2,1,default,69.40,28.817,23.95
mobilenet,6,2,1,default,53.17,37.619,32.53
mobilenet,7,2,1,default,100.10,19.979,15.19
mobilenet,8,2,1,default,77.57,25.782,20.65
mobilenet,9,2,1,default,101.95,19.617,14.76
mobilenet,10,2,1,default,74.52,26.837,21.98
mobilenet,11,2,1,default,83.48,23.959,18.96
mobilenet,12,2,1,default,71.52,27.965,23.06
mobilenet,13,2,1,default,68.35,29.263,24.23
mobilenet,14,2,1,default,99.05,20.192,15.41
mobilenet,15,2,1,default,91.61,21.832,16.97
mobilenet,16,2,1,default,71.46,27.988,22.83
mobilenet,1,4,1,default,45.95,87.059,81.17
mobilenet,2,4,1,default,74.96,53.364,48.11
mobilenet,3,4,1,default,76.62,52.206,46.92
mobilenet,4,4,1,default,113.11,35.363,30.1
mobilenet,5,4,1,default,92.23,43.370,38.14
mobilenet,6,4,1,default,90.37,44.264,38.96
mobilenet,7,4,1,default,131.62,30.390,25.21
mobilenet,8,4,1,default,121.05,33.044,27.84
mobilenet,9,4,1,default,140.01,28.570,23.55
mobilenet,10,4,1,default,128.43,31.146,25.93
mobilenet,11,4,1,default,145.84,27.427,22.17
mobilenet,12,4,1,default,138.05,28.975,23.9
mobilenet,13,4,1,default,137.88,29.012,23.98
mobilenet,14,4,1,default,148.24,26.984,21.82
mobilenet,15,4,1,default,126.81,31.544,26.37
mobilenet,16,4,1,default,126.89,31.524,26.31
mobilenet,1,8,1,default,45.26,176.738,169.68
mobilenet,2,8,1,default,67.75,118.076,111.3
mobilenet,3,8,1,default,77.40,103.365,96.96
mobilenet,4,8,1,default,135.21,59.167,53.26
mobilenet,5,8,1,default,115.49,69.269,63.13
mobilenet,6,8,1,default,104.22,76.758,70.73
mobilenet,7,8,1,default,134.49,59.484,53.52
mobilenet,8,8,1,default,133.97,59.716,53.73
mobilenet,9,8,1,default,146.57,54.580,48.67
mobilenet,10,8,1,default,162.09,49.354,43.35
mobilenet,11,8,1,default,151.24,52.895,46.82
mobilenet,12,8,1,default,164.26,48.703,42.85
mobilenet,13,8,1,default,163.21,49.017,43.11
mobilenet,14,8,1,default,165.09,48.458,42.65
mobilenet,15,8,1,default,155.89,51.317,45.36
mobilenet,16,8,1,default,155.45,51.464,45.46
