benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
bert_manual_script,sequential,numactl,1,1,16,8,196.14552825545024
bert_manual_script,sequential,numactl,1,1,8,4,99.77325749438813
bert_manual_script,sequential,numactl,2,1,8,4,100.54258096404557
bert_manual_script,sequential,numactl,1,1,16,16,278.62228156095256
bert_manual_script,sequential,numactl,1,1,8,8,148.33811923526912
bert_manual_script,sequential,numactl,2,1,8,8,147.02438390417643
bert_manual_script,sequential,numactl,1,1,16,32,324.4186319086133
bert_manual_script,sequential,numactl,1,1,4,8,89.0284959936623
bert_manual_script,sequential,numactl,2,1,4,8,88.68473826511355
bert_manual_script,sequential,numactl,4,1,4,8,88.91067571479986
bert_manual_script,sequential,numactl,3,1,4,8,88.35300027124063
bert_manual_script,sequential,numactl,1,1,16,64,403.9534792589285
bert_manual_script,sequential,numactl,3,1,4,16,110.21722862059406
bert_manual_script,sequential,numactl,4,1,4,16,109.48097678499718
bert_manual_script,sequential,numactl,2,1,4,16,109.70154180226398
bert_manual_script,sequential,numactl,1,1,4,16,109.23999351471176
bert_manual_script,sequential,numactl,1,1,16,128,452.1054825670126
bert_manual_script,sequential,numactl,6,1,2,16,58.39367134343678
bert_manual_script,sequential,numactl,4,1,2,16,58.320393847215094
bert_manual_script,sequential,numactl,5,1,2,16,58.260769423165634
bert_manual_script,sequential,numactl,1,1,2,16,58.22668154993554
bert_manual_script,sequential,numactl,8,1,2,16,58.07989511139488
bert_manual_script,sequential,numactl,3,1,2,16,57.94498678495894
bert_manual_script,sequential,numactl,2,1,2,16,58.009110504038645
bert_manual_script,sequential,numactl,7,1,2,16,57.820563432194746
bert_manual_script,sequential,numactl,1,1,16,256,462.37650996599484
bert_manual_script,sequential,numactl,1,1,2,32,62.55506697114466
bert_manual_script,sequential,numactl,4,1,2,32,62.23542672414035
bert_manual_script,sequential,numactl,2,1,2,32,62.39769262064954
bert_manual_script,sequential,numactl,6,1,2,32,62.390291430668775
bert_manual_script,sequential,numactl,8,1,2,32,61.99902322877054
bert_manual_script,sequential,numactl,3,1,2,32,61.92137654064577
bert_manual_script,sequential,numactl,7,1,2,32,61.8264910600791
bert_manual_script,sequential,numactl,5,1,2,32,61.653990461616935
bert_manual_script,sequential,numactl,1,1,16,512,471.4480397685045
bert_manual_script,sequential,numactl,3,1,1,32,33.17355295144188
bert_manual_script,sequential,numactl,4,1,1,32,33.04339633108711
bert_manual_script,sequential,numactl,12,1,1,32,32.98871851359467
bert_manual_script,sequential,numactl,16,1,1,32,32.857733993480636
bert_manual_script,sequential,numactl,7,1,1,32,32.872898405208645
bert_manual_script,sequential,numactl,8,1,1,32,32.880011479089646
bert_manual_script,sequential,numactl,6,1,1,32,32.82420473661511
bert_manual_script,sequential,numactl,2,1,1,32,32.85335884489684
bert_manual_script,sequential,numactl,9,1,1,32,32.7888383922381
bert_manual_script,sequential,numactl,11,1,1,32,32.85099856091036
bert_manual_script,sequential,numactl,15,1,1,32,32.76460849980786
bert_manual_script,sequential,numactl,5,1,1,32,32.78914669688439
bert_manual_script,sequential,numactl,14,1,1,32,32.69432756877858
bert_manual_script,sequential,numactl,10,1,1,32,32.725360311367375
bert_manual_script,sequential,numactl,1,1,1,32,32.740975894202855
bert_manual_script,sequential,numactl,13,1,1,32,32.706892978867025
bert_manual_script,sequential,numactl,1,1,16,1024,362.1087344012305
bert_manual_script,sequential,numactl,11,1,1,64,35.30082259876107
bert_manual_script,sequential,numactl,12,1,1,64,35.28868348190656
bert_manual_script,sequential,numactl,8,1,1,64,35.25887524388438
bert_manual_script,sequential,numactl,15,1,1,64,35.13989423708045
bert_manual_script,sequential,numactl,16,1,1,64,35.30484492974762
bert_manual_script,sequential,numactl,3,1,1,64,35.226055617684025
bert_manual_script,sequential,numactl,13,1,1,64,35.268002298187525
bert_manual_script,sequential,numactl,5,1,1,64,35.12770818306913
bert_manual_script,sequential,numactl,4,1,1,64,35.06509017969135
bert_manual_script,sequential,numactl,7,1,1,64,35.070478411766025
bert_manual_script,sequential,numactl,6,1,1,64,35.004601741920304
bert_manual_script,sequential,numactl,2,1,1,64,35.074481403767145
bert_manual_script,sequential,numactl,9,1,1,64,35.02416440850087
bert_manual_script,sequential,numactl,1,1,1,64,35.056009550061695
bert_manual_script,sequential,numactl,10,1,1,64,34.913188152762146
bert_manual_script,sequential,numactl,14,1,1,64,34.77761859236303
