benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,1,1,16,8,47.98998706974089,49.23285808414221,68.19825805723667,0.0
resnet_manual_script,sequential,numactl,4,1,2,1,47.69038106314838,49.03873950475827,67.97555298544466,0.0
resnet_manual_script,sequential,numactl,5,1,2,1,47.55745595321059,49.24256460973993,69.59722493775189,0.0
resnet_manual_script,sequential,numactl,8,1,2,1,47.14110982604325,48.829443315044045,71.12464588135481,0.0
resnet_manual_script,sequential,numactl,1,1,2,1,47.10828000679612,49.33240645332262,67.67878006212413,0.0
resnet_manual_script,sequential,numactl,7,1,2,1,47.23029304295778,49.307370849419385,70.42306498624384,0.0
resnet_manual_script,sequential,numactl,6,1,2,1,45.486151007935405,49.09723111893982,73.3374000992626,0.0
resnet_manual_script,sequential,numactl,3,1,2,1,44.32186111807823,48.88520256849006,70.75718999840319,0.0
resnet_manual_script,sequential,numactl,2,1,2,1,42.99462796188891,49.18993125902489,65.68573694676161,0.0
resnet_manual_script,sequential,numactl,1,1,16,16,119.77201607078314,121.75160486716777,145.2161509077996,0.0
resnet_manual_script,sequential,numactl,3,1,2,2,92.20100496895611,94.42108453949913,121.77315098233521,0.0
resnet_manual_script,sequential,numactl,8,1,2,2,91.99401293881238,94.81302441563457,123.85681900195777,0.0
resnet_manual_script,sequential,numactl,4,1,2,2,91.73193597234786,94.63471165159717,122.90979595854878,0.0
resnet_manual_script,sequential,numactl,2,1,2,2,91.4508558344096,94.75866633700207,120.11956702917814,0.0
resnet_manual_script,sequential,numactl,5,1,2,2,91.98493184521794,95.14080754714087,122.41012416779995,0.0
resnet_manual_script,sequential,numactl,7,1,2,2,91.1625160370022,94.46953696198761,126.36928097344935,0.0
resnet_manual_script,sequential,numactl,6,1,2,2,91.54935600236058,94.86070171231404,121.652398025617,0.0
resnet_manual_script,sequential,numactl,1,1,2,2,90.8209930639714,95.10782207828015,119.58510498516262,0.0
resnet_manual_script,sequential,numactl,1,1,16,32,268.5209799092263,280.37004094338045,302.5540141388774,0.0
resnet_manual_script,sequential,numactl,6,1,2,4,177.38643591292202,182.60151081020012,204.73366999067366,0.0
resnet_manual_script,sequential,numactl,8,1,2,4,178.38925495743752,182.70732211647555,215.76565713621676,0.0
resnet_manual_script,sequential,numactl,7,1,2,4,177.46586399152875,182.22394571173936,218.20238092914224,0.0
resnet_manual_script,sequential,numactl,4,1,2,4,175.76891789212823,182.8608540771529,214.05044803395867,0.0
resnet_manual_script,sequential,numactl,3,1,2,4,172.84898995421827,184.00942776817828,216.84425114654005,0.0
resnet_manual_script,sequential,numactl,2,1,2,4,171.88841407187283,183.74692803947255,215.35847010090947,0.0
resnet_manual_script,sequential,numactl,5,1,2,4,169.75090093910694,184.1144970152527,210.85212705656886,0.0
resnet_manual_script,sequential,numactl,1,1,2,4,169.36274711042643,183.96085527027026,218.19044114090502,0.0
resnet_manual_script,sequential,numactl,1,1,16,64,588.7079851236194,600.9558597207069,623.7626590300351,0.0
