benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,1,1,16,8,162.49310544448733
resnet_manual_script,sequential,numactl,4,1,2,1,20.392041273878363
resnet_manual_script,sequential,numactl,5,1,2,1,20.3076344200441
resnet_manual_script,sequential,numactl,8,1,2,1,20.479447073522262
resnet_manual_script,sequential,numactl,1,1,2,1,20.270651117459288
resnet_manual_script,sequential,numactl,7,1,2,1,20.280943452732796
resnet_manual_script,sequential,numactl,6,1,2,1,20.367747370059707
resnet_manual_script,sequential,numactl,3,1,2,1,20.456087884651012
resnet_manual_script,sequential,numactl,2,1,2,1,20.32936364017646
resnet_manual_script,sequential,numactl,1,1,16,16,131.41510551303338
resnet_manual_script,sequential,numactl,3,1,2,2,21.18170967590762
resnet_manual_script,sequential,numactl,8,1,2,2,21.09414832325718
resnet_manual_script,sequential,numactl,4,1,2,2,21.13389437232195
resnet_manual_script,sequential,numactl,2,1,2,2,21.106248930173315
resnet_manual_script,sequential,numactl,5,1,2,2,21.021473871861236
resnet_manual_script,sequential,numactl,7,1,2,2,21.170845801909184
resnet_manual_script,sequential,numactl,6,1,2,2,21.083546335820287
resnet_manual_script,sequential,numactl,1,1,2,2,21.028764577889977
resnet_manual_script,sequential,numactl,1,1,16,32,114.13487650937094
resnet_manual_script,sequential,numactl,6,1,2,4,21.905623793867097
resnet_manual_script,sequential,numactl,8,1,2,4,21.892937588182743
resnet_manual_script,sequential,numactl,7,1,2,4,21.951011895701196
resnet_manual_script,sequential,numactl,4,1,2,4,21.874556039819844
resnet_manual_script,sequential,numactl,3,1,2,4,21.738016625101103
resnet_manual_script,sequential,numactl,2,1,2,4,21.769071421649667
resnet_manual_script,sequential,numactl,5,1,2,4,21.72561131711766
resnet_manual_script,sequential,numactl,1,1,2,4,21.743756268817677
resnet_manual_script,sequential,numactl,1,1,16,64,106.4970063354468
resnet_manual_script,sequential,numactl,8,1,1,4,11.188632820477771
resnet_manual_script,sequential,numactl,13,1,1,4,11.206459636771495
resnet_manual_script,sequential,numactl,16,1,1,4,11.176787783425707
resnet_manual_script,sequential,numactl,11,1,1,4,11.149637218700137
resnet_manual_script,sequential,numactl,9,1,1,4,11.167030703299163
resnet_manual_script,sequential,numactl,1,1,1,4,11.167532101120885
resnet_manual_script,sequential,numactl,4,1,1,4,11.15693089011699
resnet_manual_script,sequential,numactl,3,1,1,4,11.191512707548931
resnet_manual_script,sequential,numactl,10,1,1,4,11.153271646748752
resnet_manual_script,sequential,numactl,6,1,1,4,11.179538931065181
resnet_manual_script,sequential,numactl,7,1,1,4,11.127549728364087
resnet_manual_script,sequential,numactl,15,1,1,4,11.115631834395986
resnet_manual_script,sequential,numactl,14,1,1,4,11.141709019004153
resnet_manual_script,sequential,numactl,5,1,1,4,11.100894233553898
resnet_manual_script,sequential,numactl,2,1,1,4,11.089630926518968
resnet_manual_script,sequential,numactl,12,1,1,4,11.083369131384515
resnet_manual_script,sequential,numactl,1,1,16,128,105.07841246114573
resnet_manual_script,sequential,numactl,13,1,1,8,11.318971448354624
resnet_manual_script,sequential,numactl,6,1,1,8,11.320814341215394
resnet_manual_script,sequential,numactl,11,1,1,8,11.298059789320257
resnet_manual_script,sequential,numactl,4,1,1,8,11.304278096129014
resnet_manual_script,sequential,numactl,10,1,1,8,11.280006617909727
resnet_manual_script,sequential,numactl,7,1,1,8,11.27281356368344
resnet_manual_script,sequential,numactl,16,1,1,8,11.276204700726874
resnet_manual_script,sequential,numactl,8,1,1,8,11.27455536139293
resnet_manual_script,sequential,numactl,9,1,1,8,11.26286529712949
resnet_manual_script,sequential,numactl,12,1,1,8,11.25706796103228
resnet_manual_script,sequential,numactl,15,1,1,8,11.239640188230299
resnet_manual_script,sequential,numactl,14,1,1,8,11.216247182545086
resnet_manual_script,sequential,numactl,3,1,1,8,11.213334091027177
resnet_manual_script,sequential,numactl,5,1,1,8,11.210235697734102
resnet_manual_script,sequential,numactl,1,1,1,8,11.19696053891919
resnet_manual_script,sequential,numactl,2,1,1,8,11.199701029968045
resnet_manual_script,sequential,numactl,1,1,16,256,103.1567978760757
resnet_manual_script,sequential,numactl,8,1,1,16,10.49173426655887
resnet_manual_script,sequential,numactl,3,1,1,16,10.48230158415187
resnet_manual_script,sequential,numactl,13,1,1,16,10.486247937680325
resnet_manual_script,sequential,numactl,11,1,1,16,10.464761045538339
resnet_manual_script,sequential,numactl,1,1,1,16,10.430265511177344
resnet_manual_script,sequential,numactl,12,1,1,16,10.305286833804287
resnet_manual_script,sequential,numactl,5,1,1,16,10.290637945024171
resnet_manual_script,sequential,numactl,7,1,1,16,10.284331873812055
resnet_manual_script,sequential,numactl,4,1,1,16,10.289858360018991
resnet_manual_script,sequential,numactl,9,1,1,16,10.266690806570779
resnet_manual_script,sequential,numactl,10,1,1,16,10.252711791435068
resnet_manual_script,sequential,numactl,2,1,1,16,10.247152472332395
resnet_manual_script,sequential,numactl,16,1,1,16,10.17140459776064
resnet_manual_script,sequential,numactl,14,1,1,16,10.179273343221492
resnet_manual_script,sequential,numactl,15,1,1,16,10.128033526352878
resnet_manual_script,sequential,numactl,6,1,1,16,10.105117536778211
resnet_manual_script,sequential,numactl,1,1,16,512,103.62747082892544
resnet_manual_script,sequential,numactl,9,1,1,32,9.785012261790545
resnet_manual_script,sequential,numactl,16,1,1,32,9.699852395068696
resnet_manual_script,sequential,numactl,8,1,1,32,9.577425447333058
resnet_manual_script,sequential,numactl,11,1,1,32,9.554420546746094
resnet_manual_script,sequential,numactl,3,1,1,32,9.511431562208982
resnet_manual_script,sequential,numactl,12,1,1,32,9.50504781047028
resnet_manual_script,sequential,numactl,15,1,1,32,9.49782582532646
resnet_manual_script,sequential,numactl,2,1,1,32,9.480653183558314
resnet_manual_script,sequential,numactl,4,1,1,32,9.463954369079275
resnet_manual_script,sequential,numactl,7,1,1,32,9.443662154698776
resnet_manual_script,sequential,numactl,10,1,1,32,9.442422713529396
resnet_manual_script,sequential,numactl,6,1,1,32,9.407898306998606
resnet_manual_script,sequential,numactl,1,1,1,32,9.336885061479057
resnet_manual_script,sequential,numactl,13,1,1,32,9.269769782498436
resnet_manual_script,sequential,numactl,5,1,1,32,9.243100535135795
resnet_manual_script,sequential,numactl,14,1,1,32,9.235361372462132
resnet_manual_script,sequential,numactl,1,1,16,1024,103.78079726421902
resnet_manual_script,sequential,numactl,6,1,1,64,9.021888816756263
