benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,8,46.83861800003797,47.068601999781094,47.448477998841554,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,40.22321299999021,44.686249749793205,45.66787599469535,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,4,2,41.293352987850085,44.28338013996836,44.953731005080044,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,4,2,40.931260999059305,44.37218856997788,45.57144900900312,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,4,2,36.7416639928706,44.05506396986311,46.03912401944399,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,16,95.09221301414073,95.48998485057382,96.88027700758539,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,4,4,80.07347202510573,86.45152966928435,88.45307800220326,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,4,4,80.00127199920826,86.6678980688448,88.4884360129945,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,4,4,76.75901401671581,86.15465807117289,88.78752499003895,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,69.58290899638087,85.41449750890024,88.62387097906321,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,32,193.58862799708731,193.93880842922954,195.8142039948143,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,1,2,4,176.7364899860695,181.97440767951775,187.27688697981648,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,2,4,175.99266598699614,180.1952828411595,184.76236399146728,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,2,4,173.0074459919706,179.7527691698633,186.41569701139815,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,2,4,173.1040310114622,179.8091551201651,186.7731119855307,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,7,1,2,4,159.4063800002914,181.80148733052192,187.10790300974622,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,2,4,159.21444300329313,179.07293189928168,184.2574899783358,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,142.68814798560925,179.04655773047125,186.3919270108454,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,5,1,2,4,136.03562899515964,177.19604921818245,185.82249598694034,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,64,392.06554502015933,392.5750184588833,394.0290470200125,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,346.35714898467995,353.3440148088266,356.8485370196868,89.89009793808052
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,1,4,350.0467230041977,353.2327194607933,359.0867139864713,89.91842020038408
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,1,4,351.23793699312955,354.1854829591466,360.4997129878029,89.676538495124
resnet_manual_script,sequential,numactl,torch,tcmalloc,9,1,1,4,348.36180400452577,352.60507385013625,356.86375698423944,90.07847717613814
resnet_manual_script,sequential,numactl,torch,tcmalloc,7,1,1,4,348.57934998581186,351.75145543093095,357.29430700303055,90.29707654823544
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,1,4,348.9077289996203,352.81433954747627,358.5523509827908,90.02504869200745
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,1,1,4,348.3719300129451,352.29730003047734,357.0552759920247,90.15717149763069
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,1,1,4,349.15938301128335,353.7136209299206,358.68543799733743,89.79616904063998
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,1,1,4,348.98054497898556,353.31663892866345,358.1988840014674,89.8970628536205
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,1,1,4,349.96616598800756,353.335566012247,358.4673650038894,89.8922473485137
resnet_manual_script,sequential,numactl,torch,tcmalloc,13,1,1,4,348.9702910010237,352.20015869126655,356.6952980181668,90.18203800652518
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,1,1,4,348.0740519880783,352.05601020978065,357.2895199758932,90.21896282376719
resnet_manual_script,sequential,numactl,torch,tcmalloc,11,1,1,4,349.0186179988086,353.25737686944194,357.4885360139888,89.91214388351969
resnet_manual_script,sequential,numactl,torch,tcmalloc,5,1,1,4,350.4507729958277,353.4457482691505,357.0729870116338,89.86422457347824
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,1,4,349.2510300129652,353.56039966020035,357.6566860137973,89.83508370147203
