benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,8,169.96468261447848
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,44.756496935822085
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,4,2,45.16367074235334
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,4,2,45.07327820546574
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,4,2,45.397732287215526
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,16,167.55683881443042
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,4,4,46.26870126302893
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,4,4,46.15319038685573
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,4,4,46.42813388796199
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,46.83045755298388
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,32,165.00049814257346
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,1,2,4,21.981112899372953
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,2,4,22.198139357099397
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,2,4,22.252786527144224
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,2,4,22.24580832564855
resnet_manual_script,sequential,numactl,torch,tcmalloc,7,1,2,4,22.00202021850267
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,2,4,22.33726760139144
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,22.34055795711763
resnet_manual_script,sequential,numactl,torch,tcmalloc,5,1,2,4,22.573866729245065
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,64,163.02616567718024
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,11.320412494220855
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,1,4,11.323979290780212
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,1,4,11.29351764104171
resnet_manual_script,sequential,numactl,torch,tcmalloc,9,1,1,4,11.34413624944057
resnet_manual_script,sequential,numactl,torch,tcmalloc,7,1,1,4,11.371665811871615
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,1,4,11.337407672064707
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,1,1,4,11.35404670899822
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,1,1,4,11.308583450882992
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,1,1,4,11.321289628840892
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,1,1,4,11.320683182686896
resnet_manual_script,sequential,numactl,torch,tcmalloc,13,1,1,4,11.357178301291853
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,1,1,4,11.36182847046556
resnet_manual_script,sequential,numactl,torch,tcmalloc,11,1,1,4,11.32318887562349
resnet_manual_script,sequential,numactl,torch,tcmalloc,5,1,1,4,11.317154102399847
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,1,4,11.313484213289492
resnet_manual_script,sequential,numactl,torch,tcmalloc,15,1,1,4,11.270664916069151
resnet_manual_script,sequential,numactl,torch,tcmalloc,0,1,16,128,161.62967510426637
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,8,11.397350895325125
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,1,8,11.392621271945847
resnet_manual_script,sequential,numactl,torch,tcmalloc,13,1,1,8,11.409136604749849
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,1,8,11.45212727580429
resnet_manual_script,sequential,numactl,torch,tcmalloc,9,1,1,8,11.407789270260093
resnet_manual_script,sequential,numactl,torch,tcmalloc,3,1,1,8,11.38212625168085
resnet_manual_script,sequential,numactl,torch,tcmalloc,7,1,1,8,11.408953982998588
resnet_manual_script,sequential,numactl,torch,tcmalloc,15,1,1,8,11.40280259937295
resnet_manual_script,sequential,numactl,torch,tcmalloc,11,1,1,8,11.358753539633382
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,1,1,8,11.357059926763977
