benchmark,allocator,pinning,source,instances,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_none,default,numactl,torch,2,0,1,1,16,1620.8177929511294,1810.9887971088756,2612.611452001147,0.0
resnet_manual_none,default,numactl,torch,2,1,1,1,16,1666.4396409178153,2220.6817915209103,2645.5369730247185,0.0
resnet_manual_none,default,numactl,torch,2,2,1,1,16,1643.0513269733638,2240.435340454569,2674.5500169927254,0.0
resnet_manual_none,default,numactl,torch,4,0,1,1,16,1619.717066991143,1982.4064974451903,2627.238271990791,0.0
resnet_manual_none,default,numactl,torch,4,2,1,1,16,1666.4373120293021,1852.113020468969,2652.5746500119567,0.0
resnet_manual_none,default,numactl,torch,4,4,1,1,16,1651.020088000223,2144.1818020422943,2678.4427169477567,0.0
resnet_manual_none,default,numactl,torch,4,1,1,1,16,1670.0524870539084,2221.4132547634654,2654.9874970223755,0.0
resnet_manual_none,default,numactl,torch,4,3,1,1,16,1707.5049510458484,2287.4049283307977,2659.1235799714923,0.0
resnet_manual_none,default,numactl,torch,6,0,1,1,16,1787.6708980184048,2411.6398571280297,2679.3053989531472,0.0
resnet_manual_none,default,numactl,torch,6,2,1,1,16,1682.0405449252576,1856.77021429874,2668.5246949782595,0.0
resnet_manual_none,default,numactl,torch,6,3,1,1,16,1678.503890056163,2263.44695573207,2717.596592963673,0.0
resnet_manual_none,default,numactl,torch,6,1,1,1,16,1678.5141190048307,2309.9692620290443,2728.382998961024,0.0
resnet_manual_none,default,numactl,torch,6,4,1,1,16,1717.6901360508054,2491.6456531058066,2689.982617041096,0.0
resnet_manual_none,default,numactl,torch,6,6,1,1,16,2042.1575150685385,2652.5237027939875,2719.462147913873,0.0
resnet_manual_none,default,numactl,torch,6,5,1,1,16,1770.9931279532611,2661.142770331353,2732.2264899266884,0.0
resnet_manual_none,default,numactl,torch,8,0,1,1,16,1783.9319759514183,2402.836572303204,2668.263969011605,0.0
resnet_manual_none,default,numactl,torch,8,2,1,1,16,1709.6869910601526,1892.5734600087162,2722.005477990024,0.0
