benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,1,1,16,8,38.92052173614502,40.786043256521225,67.0720674097538,0.0
bert_manual_script,sequential,numactl,1,1,8,4,38.33036869764328,40.090903118252754,53.440019488334656,0.0
bert_manual_script,sequential,numactl,2,1,8,4,38.473423570394516,39.78413883596659,54.64552342891693,0.0
bert_manual_script,sequential,numactl,1,1,16,16,54.00223284959793,57.425414472818375,77.87443697452545,0.0
bert_manual_script,sequential,numactl,1,1,8,8,51.12603306770325,53.930844217538834,83.54771882295609,0.0
bert_manual_script,sequential,numactl,2,1,8,8,47.40658774971962,54.412742890417576,85.60673147439957,0.0
bert_manual_script,sequential,numactl,1,1,16,32,93.1580662727356,98.63798454403877,139.87168669700623,0.0
bert_manual_script,sequential,numactl,1,1,4,8,86.30342409014702,89.85886946320534,130.2313134074211,0.0
bert_manual_script,sequential,numactl,2,1,4,8,86.0215276479721,90.20717833191156,129.50607389211655,0.0
bert_manual_script,sequential,numactl,4,1,4,8,84.30175483226776,89.9779462441802,134.2424340546131,0.0
bert_manual_script,sequential,numactl,3,1,4,8,86.11240983009338,90.54587818682194,130.2952617406845,0.0
bert_manual_script,sequential,numactl,1,1,16,64,148.99298176169395,158.43408532440662,208.76384899020195,0.0
bert_manual_script,sequential,numactl,3,1,4,16,140.134297311306,145.16786713153124,175.24558305740356,0.0
bert_manual_script,sequential,numactl,4,1,4,16,140.06660133600235,146.1441107839346,174.20127242803574,0.0
bert_manual_script,sequential,numactl,2,1,4,16,140.47589525580406,145.8502746373415,174.15818944573402,0.0
bert_manual_script,sequential,numactl,1,1,4,16,135.3851854801178,146.46650448441505,181.0646988451481,0.0
bert_manual_script,sequential,numactl,1,1,16,128,268.05364713072777,283.11976946890354,340.3991647064686,0.0
bert_manual_script,sequential,numactl,6,1,2,16,264.92932066321373,274.00229565799236,354.8193648457527,0.0
bert_manual_script,sequential,numactl,4,1,2,16,264.9323046207428,274.34656977653503,355.3115501999855,0.0
bert_manual_script,sequential,numactl,5,1,2,16,264.79025185108185,274.62733771651983,320.69050893187523,0.0
bert_manual_script,sequential,numactl,1,1,2,16,264.6075449883938,274.78811386972666,321.3934563100338,0.0
bert_manual_script,sequential,numactl,8,1,2,16,264.96975868940353,275.4825911670923,356.8945564329624,0.0
bert_manual_script,sequential,numactl,3,1,2,16,265.55217057466507,276.12397357821465,359.1351769864559,0.0
bert_manual_script,sequential,numactl,2,1,2,16,265.36185294389725,275.81874400377274,358.0891899764538,0.0
bert_manual_script,sequential,numactl,7,1,2,16,253.07606533169746,276.71816132962704,359.34802144765854,0.0
bert_manual_script,sequential,numactl,1,1,16,256,518.6391547322273,553.6613441258669,793.728806078434,0.0
bert_manual_script,sequential,numactl,1,1,2,32,496.31060659885406,511.549288481474,606.2966771423817,0.0
bert_manual_script,sequential,numactl,4,1,2,32,494.6666248142719,514.1765981912613,612.0132431387901,0.0
bert_manual_script,sequential,numactl,2,1,2,32,496.9932474195957,512.8394762054086,618.4489168226719,0.0
bert_manual_script,sequential,numactl,6,1,2,32,496.42857536673546,512.9003129526973,615.4129393398762,0.0
bert_manual_script,sequential,numactl,8,1,2,32,484.96949672698975,516.1371636763215,630.5003054440022,0.0
bert_manual_script,sequential,numactl,3,1,2,32,455.25679737329483,516.7843770235777,620.4151399433613,0.0
bert_manual_script,sequential,numactl,7,1,2,32,444.74202021956444,517.5774890556931,631.412923336029,0.0
bert_manual_script,sequential,numactl,5,1,2,32,434.6478059887886,519.0256098657846,639.8430913686752,0.0
bert_manual_script,sequential,numactl,1,1,16,512,1028.203722089529,1086.01575743407,1346.2553843855858,0.0
bert_manual_script,sequential,numactl,3,1,1,32,955.1465064287186,964.6238389611244,1157.5648412108421,0.0
bert_manual_script,sequential,numactl,4,1,1,32,956.3222266733646,968.4234537929296,1135.4928016662598,0.0
bert_manual_script,sequential,numactl,12,1,1,32,953.40621098876,970.0285867974162,1179.4579923152924,0.0
bert_manual_script,sequential,numactl,16,1,1,32,948.3827650547028,973.8955220207572,1148.7110890448093,0.0
bert_manual_script,sequential,numactl,7,1,1,32,959.7794227302074,973.4462597593665,1147.4000327289104,0.0
bert_manual_script,sequential,numactl,8,1,1,32,958.0592624843121,973.2356699556112,1145.0061425566673,0.0
bert_manual_script,sequential,numactl,6,1,1,32,926.4039099216461,974.8903364688158,1137.1575072407722,0.0
bert_manual_script,sequential,numactl,2,1,1,32,919.3657487630844,974.025217667222,1148.8517709076405,0.0
bert_manual_script,sequential,numactl,9,1,1,32,922.5307367742062,975.9418622031808,1143.4291489422321,0.0
bert_manual_script,sequential,numactl,11,1,1,32,915.8347323536873,974.0951995924115,1140.6126469373703,0.0
bert_manual_script,sequential,numactl,15,1,1,32,957.2234712541103,976.6635850444436,1159.2432707548141,0.0
bert_manual_script,sequential,numactl,5,1,1,32,959.566980600357,975.9326857700944,1150.2684988081455,0.0
bert_manual_script,sequential,numactl,14,1,1,32,892.41524040699,978.7630570679903,1145.8990015089512,0.0
