benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
gpt2_manual_script,sequential,numactl,1,1,16,8,182.66127386826142
gpt2_manual_script,sequential,numactl,2,1,8,4,90.04763810853147
gpt2_manual_script,sequential,numactl,1,1,8,4,88.52136898128056
gpt2_manual_script,sequential,numactl,1,1,16,16,225.06539585570405
gpt2_manual_script,sequential,numactl,2,1,8,8,127.71580003461942
gpt2_manual_script,sequential,numactl,1,1,8,8,128.40915004923212
gpt2_manual_script,sequential,numactl,1,1,16,32,298.10024948827976
gpt2_manual_script,sequential,numactl,3,1,4,8,76.81518563144941
gpt2_manual_script,sequential,numactl,2,1,4,8,76.88508738371598
gpt2_manual_script,sequential,numactl,1,1,4,8,76.94222627542983
gpt2_manual_script,sequential,numactl,4,1,4,8,76.8210534780187
gpt2_manual_script,sequential,numactl,1,1,16,64,332.47101398625887
gpt2_manual_script,sequential,numactl,1,1,4,16,97.95004779636118
gpt2_manual_script,sequential,numactl,3,1,4,16,96.20306188199523
gpt2_manual_script,sequential,numactl,2,1,4,16,96.06869241797384
gpt2_manual_script,sequential,numactl,4,1,4,16,95.58103339462679
gpt2_manual_script,sequential,numactl,1,1,16,128,366.44373052888653
gpt2_manual_script,sequential,numactl,6,1,2,16,53.434894262375394
gpt2_manual_script,sequential,numactl,8,1,2,16,52.93232352843292
gpt2_manual_script,sequential,numactl,2,1,2,16,52.92136726670735
gpt2_manual_script,sequential,numactl,7,1,2,16,52.89479374458041
gpt2_manual_script,sequential,numactl,5,1,2,16,52.91276828867639
gpt2_manual_script,sequential,numactl,3,1,2,16,52.780473576524386
gpt2_manual_script,sequential,numactl,1,1,2,16,52.68167330517678
gpt2_manual_script,sequential,numactl,4,1,2,16,52.60222174907024
gpt2_manual_script,sequential,numactl,1,1,16,256,385.1420031976222
gpt2_manual_script,sequential,numactl,6,1,2,32,55.15378068800784
gpt2_manual_script,sequential,numactl,5,1,2,32,54.951105842705545
gpt2_manual_script,sequential,numactl,7,1,2,32,54.912745059711625
gpt2_manual_script,sequential,numactl,4,1,2,32,54.818699281020585
gpt2_manual_script,sequential,numactl,3,1,2,32,54.70976742733576
gpt2_manual_script,sequential,numactl,8,1,2,32,54.812978521384856
gpt2_manual_script,sequential,numactl,1,1,2,32,54.45529124137842
gpt2_manual_script,sequential,numactl,2,1,2,32,54.56665278485743
gpt2_manual_script,sequential,numactl,1,1,16,512,382.27703598645996
gpt2_manual_script,sequential,numactl,13,1,1,32,30.87941527733072
gpt2_manual_script,sequential,numactl,8,1,1,32,30.439126561501137
gpt2_manual_script,sequential,numactl,7,1,1,32,30.351530913954058
gpt2_manual_script,sequential,numactl,2,1,1,32,30.342390311730057
gpt2_manual_script,sequential,numactl,5,1,1,32,30.36268849552612
gpt2_manual_script,sequential,numactl,12,1,1,32,30.309936262507613
gpt2_manual_script,sequential,numactl,3,1,1,32,30.304116188590584
gpt2_manual_script,sequential,numactl,11,1,1,32,30.2403430322048
gpt2_manual_script,sequential,numactl,6,1,1,32,30.280408424163152
gpt2_manual_script,sequential,numactl,15,1,1,32,30.217398209841388
gpt2_manual_script,sequential,numactl,1,1,1,32,30.213963776018062
gpt2_manual_script,sequential,numactl,4,1,1,32,30.238441566335734
gpt2_manual_script,sequential,numactl,16,1,1,32,30.239876638050266
gpt2_manual_script,sequential,numactl,9,1,1,32,30.130132598991857
gpt2_manual_script,sequential,numactl,14,1,1,32,30.093383830952153
gpt2_manual_script,sequential,numactl,10,1,1,32,30.053046481033515
gpt2_manual_script,sequential,numactl,1,1,16,1024,270.2340437045677
gpt2_manual_script,sequential,numactl,9,1,1,64,30.975707333775162
gpt2_manual_script,sequential,numactl,8,1,1,64,30.855785022635438
gpt2_manual_script,sequential,numactl,4,1,1,64,30.883216419552156
gpt2_manual_script,sequential,numactl,16,1,1,64,30.912460449926737
gpt2_manual_script,sequential,numactl,15,1,1,64,30.821022478567276
gpt2_manual_script,sequential,numactl,13,1,1,64,30.830800214104602
gpt2_manual_script,sequential,numactl,7,1,1,64,30.768658326203624
gpt2_manual_script,sequential,numactl,2,1,1,64,30.814605767702794
gpt2_manual_script,sequential,numactl,10,1,1,64,30.638677196759755
gpt2_manual_script,sequential,numactl,3,1,1,64,30.661338995526656
gpt2_manual_script,sequential,numactl,1,1,1,64,30.595884247450815
gpt2_manual_script,sequential,numactl,12,1,1,64,30.56529620849672
gpt2_manual_script,sequential,numactl,5,1,1,64,30.542298930405977
gpt2_manual_script,sequential,numactl,14,1,1,64,30.710161734902933
gpt2_manual_script,sequential,numactl,11,1,1,64,30.43649023913057
gpt2_manual_script,sequential,numactl,6,1,1,64,30.407890563575144
