benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,1,1,16,8,149.55149360546895
inception_manual_script,sequential,numactl,4,1,4,2,38.820109298737
inception_manual_script,sequential,numactl,3,1,4,2,38.745033333333986
inception_manual_script,sequential,numactl,2,1,4,2,38.732651024723474
inception_manual_script,sequential,numactl,1,1,4,2,38.76072771818206
inception_manual_script,sequential,numactl,1,1,16,16,157.99811266267423
inception_manual_script,sequential,numactl,16,1,1,1,11.128537168966194
inception_manual_script,sequential,numactl,12,1,1,1,11.08788065880476
inception_manual_script,sequential,numactl,9,1,1,1,11.073871907325632
inception_manual_script,sequential,numactl,2,1,1,1,11.07954303728946
inception_manual_script,sequential,numactl,3,1,1,1,11.06560894401796
inception_manual_script,sequential,numactl,5,1,1,1,11.052872823125655
inception_manual_script,sequential,numactl,4,1,1,1,11.047471811349514
inception_manual_script,sequential,numactl,14,1,1,1,11.040175866480428
inception_manual_script,sequential,numactl,11,1,1,1,11.052133497286354
inception_manual_script,sequential,numactl,10,1,1,1,11.036483551309965
inception_manual_script,sequential,numactl,15,1,1,1,11.074766238098345
inception_manual_script,sequential,numactl,1,1,1,1,11.028421560333403
inception_manual_script,sequential,numactl,1,1,16,32,150.56571531699086
inception_manual_script,sequential,numactl,8,1,1,2,11.778202120974237
inception_manual_script,sequential,numactl,2,1,1,2,11.763507322066312
inception_manual_script,sequential,numactl,13,1,1,2,11.759603056754926
inception_manual_script,sequential,numactl,7,1,1,2,11.7345367290756
inception_manual_script,sequential,numactl,6,1,1,2,11.71852342611525
inception_manual_script,sequential,numactl,12,1,1,2,11.726409270551464
inception_manual_script,sequential,numactl,9,1,1,2,11.733060294634763
inception_manual_script,sequential,numactl,15,1,1,2,11.705581991438512
inception_manual_script,sequential,numactl,4,1,1,2,11.696108865477056
inception_manual_script,sequential,numactl,10,1,1,2,11.67790243836912
inception_manual_script,sequential,numactl,16,1,1,2,11.744207966826032
inception_manual_script,sequential,numactl,11,1,1,2,11.70473111635706
inception_manual_script,sequential,numactl,1,1,1,2,11.672622434568925
inception_manual_script,sequential,numactl,1,1,16,64,119.38252726446467
inception_manual_script,sequential,numactl,7,1,1,4,13.091887166547606
inception_manual_script,sequential,numactl,16,1,1,4,13.074694938986141
inception_manual_script,sequential,numactl,15,1,1,4,13.054100149787661
inception_manual_script,sequential,numactl,2,1,1,4,13.054040538407985
inception_manual_script,sequential,numactl,8,1,1,4,13.053359257461288
inception_manual_script,sequential,numactl,12,1,1,4,13.05646191640655
