benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
gpt2_manual_script,sequential,numactl,1,1,16,8,41.86243936419487,43.7969134375453,70.17545774579048,0.0
gpt2_manual_script,sequential,numactl,2,1,8,4,42.23470762372017,44.42093189805746,64.59261476993561,0.0
gpt2_manual_script,sequential,numactl,1,1,8,4,42.09931939840317,45.186829417943954,64.92750346660614,0.0
gpt2_manual_script,sequential,numactl,1,1,16,16,66.3348063826561,71.09044879674911,129.18654456734657,0.0
gpt2_manual_script,sequential,numactl,2,1,8,8,58.98565053939819,62.63907831162214,79.67324927449226,0.0
gpt2_manual_script,sequential,numactl,1,1,8,8,59.32836979627609,62.30085626244545,85.38445085287094,0.0
gpt2_manual_script,sequential,numactl,1,1,16,32,100.78362002968788,107.34643816947937,210.75104922056198,0.0
gpt2_manual_script,sequential,numactl,3,1,4,8,99.97233003377914,104.14607390761375,131.75898417830467,0.0
gpt2_manual_script,sequential,numactl,2,1,4,8,100.32805800437927,104.05138723552227,130.3263194859028,0.0
gpt2_manual_script,sequential,numactl,1,1,4,8,100.34757480025291,103.97411651909351,128.96428629755974,0.0
gpt2_manual_script,sequential,numactl,4,1,4,8,96.95639461278915,104.13811888545752,138.33845406770706,0.0
gpt2_manual_script,sequential,numactl,1,1,16,64,177.9966950416565,192.4979842081666,338.40346708893776,0.0
gpt2_manual_script,sequential,numactl,1,1,4,16,157.76313841342926,163.34856756031513,197.83684611320496,0.0
gpt2_manual_script,sequential,numactl,3,1,4,16,156.11348673701286,166.31487280130386,209.77750048041344,0.0
gpt2_manual_script,sequential,numactl,2,1,4,16,158.13247859477997,166.54749426990747,193.73679906129837,0.0
gpt2_manual_script,sequential,numactl,4,1,4,16,141.38487726449966,167.3972275853157,210.118155926466,0.0
gpt2_manual_script,sequential,numactl,1,1,16,128,327.57093012332916,349.3032881617546,515.6212151050568,0.0
gpt2_manual_script,sequential,numactl,6,1,2,16,288.77635300159454,299.4298055768013,367.2476336359978,0.0
gpt2_manual_script,sequential,numactl,8,1,2,16,288.75425457954407,302.27276895195246,368.83657798171043,0.0
gpt2_manual_script,sequential,numactl,2,1,2,16,290.5138470232487,302.33534820377827,384.3628093600273,0.0
gpt2_manual_script,sequential,numactl,7,1,2,16,289.46103900671005,302.48723678290844,368.9950369298458,0.0
gpt2_manual_script,sequential,numactl,5,1,2,16,291.25698655843735,302.3844814300537,375.11540204286575,0.0
gpt2_manual_script,sequential,numactl,3,1,2,16,280.0169922411442,303.1424107402563,370.9406293928623,0.0
gpt2_manual_script,sequential,numactl,1,1,2,16,290.5076593160629,303.7109301239252,384.16893035173416,0.0
gpt2_manual_script,sequential,numactl,4,1,2,16,290.8262722194195,304.16966181248426,366.85943603515625,0.0
gpt2_manual_script,sequential,numactl,1,1,16,256,625.6875395774841,664.6899010613561,914.2972193658352,0.0
gpt2_manual_script,sequential,numactl,6,1,2,32,559.7928576171398,580.1959466934204,683.4937147796154,0.0
gpt2_manual_script,sequential,numactl,5,1,2,32,555.7047352194786,582.3358694836497,685.4831464588642,0.0
gpt2_manual_script,sequential,numactl,7,1,2,32,555.3947314620018,582.7426759526134,678.8717806339264,0.0
gpt2_manual_script,sequential,numactl,4,1,2,32,553.6123551428318,583.7424167245626,656.796433031559,0.0
gpt2_manual_script,sequential,numactl,3,1,2,32,548.7054921686649,584.9046980962157,692.662388086319,0.0
gpt2_manual_script,sequential,numactl,8,1,2,32,553.826168179512,583.803341165185,659.4928875565529,0.0
gpt2_manual_script,sequential,numactl,1,1,2,32,514.9918906390667,587.6380287483335,741.44022539258,0.0
gpt2_manual_script,sequential,numactl,2,1,2,32,501.00166723132133,586.4387563988566,728.0173599720001,0.0
gpt2_manual_script,sequential,numactl,1,1,16,512,1200.6399631500244,1339.3428111076355,1814.4282586872578,0.0
gpt2_manual_script,sequential,numactl,13,1,1,32,1024.8768478631973,1036.289052516222,1204.5966126024723,0.0
gpt2_manual_script,sequential,numactl,8,1,1,32,1023.5791429877281,1051.2785225734115,1245.0638934969902,0.0
gpt2_manual_script,sequential,numactl,7,1,1,32,1024.6381722390652,1054.3125515058637,1202.7126587927341,0.0
gpt2_manual_script,sequential,numactl,2,1,1,32,1025.5581811070442,1054.6301616728306,1202.4856805801392,0.0
gpt2_manual_script,sequential,numactl,5,1,1,32,1030.6684151291847,1053.925116173923,1214.3425568938255,0.0
gpt2_manual_script,sequential,numactl,12,1,1,32,1028.5338535904884,1055.759395956993,1224.2214977741241,0.0
gpt2_manual_script,sequential,numactl,3,1,1,32,1025.1468755304813,1055.9621604159474,1198.427315801382,0.0
gpt2_manual_script,sequential,numactl,11,1,1,32,1029.3911844491959,1058.189054466784,1228.8788668811321,0.0
gpt2_manual_script,sequential,numactl,6,1,1,32,1027.3125283420086,1056.7889161780477,1203.6129869520664,0.0
gpt2_manual_script,sequential,numactl,15,1,1,32,1003.796461969614,1058.9925637468696,1196.7335790395737,0.0
gpt2_manual_script,sequential,numactl,1,1,1,32,1029.7953747212887,1059.1129398718476,1212.1550031006336,0.0
gpt2_manual_script,sequential,numactl,4,1,1,32,1023.2772082090378,1058.2555959373713,1201.881803572178,0.0
gpt2_manual_script,sequential,numactl,16,1,1,32,1023.5366597771645,1058.2053750753403,1198.1999948620796,0.0
gpt2_manual_script,sequential,numactl,9,1,1,32,1014.7142075002193,1062.059713639319,1203.4580670297146,0.0
gpt2_manual_script,sequential,numactl,14,1,1,32,958.4667384624481,1063.3566560596228,1230.5923961102962,0.0
gpt2_manual_script,sequential,numactl,10,1,1,32,1009.5425322651863,1064.783898703754,1251.6711093485355,0.0
gpt2_manual_script,sequential,numactl,1,1,16,1024,3715.4680117964745,3789.307912364602,3982.721257954836,0.0
gpt2_manual_script,sequential,numactl,9,1,1,64,2020.017672330141,2066.135223656893,2442.985311150551,0.0
gpt2_manual_script,sequential,numactl,8,1,1,64,2018.2862170040607,2074.165345430374,2349.7295789420605,0.0
gpt2_manual_script,sequential,numactl,4,1,1,64,2022.4336497485638,2072.3230097070336,2378.646932542324,0.0
gpt2_manual_script,sequential,numactl,16,1,1,64,2009.0441666543484,2070.3625356405973,2336.368415504694,0.0
gpt2_manual_script,sequential,numactl,15,1,1,64,2022.4693417549133,2076.504763737321,2352.949108928442,0.0
gpt2_manual_script,sequential,numactl,13,1,1,64,2018.4781290590763,2075.846217274666,2362.227611243725,0.0
gpt2_manual_script,sequential,numactl,7,1,1,64,2014.6037004888058,2080.0386978685856,2349.372558295727,0.0
gpt2_manual_script,sequential,numactl,2,1,1,64,2019.1564783453941,2076.937166824937,2460.290502756834,0.0
gpt2_manual_script,sequential,numactl,10,1,1,64,1962.4917916953564,2088.8630272448063,2349.87635537982,0.0
