benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,1,1,16,8,142.68802160385522
inception_manual_script,sequential,numactl,1,1,16,16,166.02178165538464
inception_manual_script,sequential,numactl,1,1,16,32,149.72271703783085
inception_manual_script,sequential,numactl,7,1,1,2,13.444366572271724
inception_manual_script,sequential,numactl,8,1,1,2,13.435491151906
inception_manual_script,sequential,numactl,16,1,1,2,13.423590424617343
inception_manual_script,sequential,numactl,12,1,1,2,13.415768284465269
inception_manual_script,sequential,numactl,3,1,1,2,13.417696369665931
inception_manual_script,sequential,numactl,15,1,1,2,13.4050239598385
inception_manual_script,sequential,numactl,9,1,1,2,13.384951898240235
inception_manual_script,sequential,numactl,13,1,1,2,13.384879627965292
inception_manual_script,sequential,numactl,14,1,1,2,13.392402471228849
inception_manual_script,sequential,numactl,11,1,1,2,13.409162602237673
inception_manual_script,sequential,numactl,10,1,1,2,13.356070040899525
inception_manual_script,sequential,numactl,1,1,16,64,134.9166327961823
inception_manual_script,sequential,numactl,1,1,16,128,112.36469418195978
inception_manual_script,sequential,numactl,8,1,1,8,12.933367528891493
inception_manual_script,sequential,numactl,13,1,1,8,12.920230072321859
inception_manual_script,sequential,numactl,15,1,1,8,12.924977265608907
inception_manual_script,sequential,numactl,16,1,1,8,12.92990954393033
inception_manual_script,sequential,numactl,7,1,1,8,12.93422647244123
inception_manual_script,sequential,numactl,12,1,1,8,12.921452302911762
inception_manual_script,sequential,numactl,6,1,1,8,12.909143878150223
inception_manual_script,sequential,numactl,9,1,1,8,12.907227278432789
inception_manual_script,sequential,numactl,3,1,1,8,12.899989744901614
inception_manual_script,sequential,numactl,2,1,1,8,12.904297074117595
inception_manual_script,sequential,numactl,4,1,1,8,12.896569314697492
inception_manual_script,sequential,numactl,11,1,1,8,12.896168326267139
inception_manual_script,sequential,numactl,5,1,1,8,12.887742581021772
inception_manual_script,sequential,numactl,14,1,1,8,12.889945945813466
inception_manual_script,sequential,numactl,10,1,1,8,12.87178335744687
inception_manual_script,sequential,numactl,1,1,1,8,12.86347377677256
inception_manual_script,sequential,numactl,1,1,16,256,102.57121166967434
inception_manual_script,sequential,numactl,6,1,1,16,12.705878573143657
inception_manual_script,sequential,numactl,16,1,1,16,12.71071491481512
inception_manual_script,sequential,numactl,13,1,1,16,12.7028337104867
inception_manual_script,sequential,numactl,15,1,1,16,12.703809809006486
inception_manual_script,sequential,numactl,3,1,1,16,12.702265387252373
inception_manual_script,sequential,numactl,7,1,1,16,12.702617442003687
inception_manual_script,sequential,numactl,2,1,1,16,12.700098602837883
inception_manual_script,sequential,numactl,9,1,1,16,12.684021889974174
inception_manual_script,sequential,numactl,12,1,1,16,12.688432918892094
inception_manual_script,sequential,numactl,8,1,1,16,12.686142258190236
inception_manual_script,sequential,numactl,11,1,1,16,12.687573126134113
inception_manual_script,sequential,numactl,14,1,1,16,12.66722553249486
inception_manual_script,sequential,numactl,4,1,1,16,12.673852509091304
inception_manual_script,sequential,numactl,5,1,1,16,12.665267218215172
inception_manual_script,sequential,numactl,10,1,1,16,12.671082304555462
inception_manual_script,sequential,numactl,1,1,1,16,12.654021034931498
inception_manual_script,sequential,numactl,1,1,16,512,94.14169760397108
inception_manual_script,sequential,numactl,5,1,1,32,13.476515606857799
inception_manual_script,sequential,numactl,11,1,1,32,13.35434607297211
inception_manual_script,sequential,numactl,4,1,1,32,12.969329240158567
inception_manual_script,sequential,numactl,13,1,1,32,12.959065721179995
inception_manual_script,sequential,numactl,10,1,1,32,12.770513002504366
inception_manual_script,sequential,numactl,1,1,16,1024,94.15835081193711
inception_manual_script,sequential,numactl,15,1,1,64,11.26288861688304
inception_manual_script,sequential,numactl,7,1,1,64,11.088258554991546
inception_manual_script,sequential,numactl,2,1,1,64,11.07814690865229
inception_manual_script,sequential,numactl,5,1,1,64,11.072757070370729
inception_manual_script,sequential,numactl,12,1,1,64,11.015394075392642
inception_manual_script,sequential,numactl,14,1,1,64,11.01570530990416
inception_manual_script,sequential,numactl,4,1,1,64,10.9294970490599
inception_manual_script,sequential,numactl,3,1,1,64,10.92408991084392
inception_manual_script,sequential,numactl,11,1,1,64,10.918217511911758
inception_manual_script,sequential,numactl,6,1,1,64,10.903715745976225
inception_manual_script,sequential,numactl,9,1,1,64,10.895264842562574
inception_manual_script,sequential,numactl,13,1,1,64,10.892592736164051
inception_manual_script,sequential,numactl,1,1,1,64,10.863435817679138
inception_manual_script,sequential,numactl,16,1,1,64,10.806686622262331
inception_manual_script,sequential,numactl,8,1,1,64,10.5020309546911
inception_manual_script,sequential,numactl,10,1,1,64,10.455772153114573
