benchmark,topology,pinning,source,allocator,instances,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,0,1,1,16,1098.8569550099783,1100.1926755701425,1101.950136013329,115.47842046772476
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,1,1,16,1114.5803180115763,1116.6119930017157,1118.80801001098,113.78035806642531
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,2,1,1,16,1117.25801799912,1120.2475475004758,1122.8425959998276,113.4111051333911
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,0,1,1,16,1098.8188270130195,1100.2568223810522,1102.173159015365,115.47168788288526
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,1,1,16,1124.411411001347,1127.4903916404583,1130.622674972983,112.68256769811488
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,3,1,1,16,1120.7688450231217,1124.5370751805604,1127.2258700046223,112.9785003883492
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,4,1,1,16,1122.830817999784,1125.5727661994752,1128.6038240068592,112.87454369918927
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,2,1,1,16,1128.375801985385,1132.0280144590652,1134.6364289929625,112.23089072200179
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,0,1,1,16,1097.5810830132104,1099.6123116606032,1101.5038180048577,115.53936877364983
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,3,1,1,16,1130.2466519991867,1132.5080348798656,1135.5136370111722,112.18332097615279
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,1,1,16,1134.6702119917609,1137.3361761684646,1140.9315619966947,111.70708805993463
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,6,1,1,16,1130.9499159979168,1133.641667450138,1137.5553190009668,112.07113855541844
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,4,1,1,16,1133.8603839976713,1135.9664926823461,1140.6785099825356,111.84177808361376
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,5,1,1,16,1137.5797900254838,1139.5366100408137,1142.6353720016778,111.49138278273448
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,2,1,1,16,1138.714605011046,1141.4439679204952,1143.6025709845126,111.30508019281879
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,0,1,1,16,1097.4855620006565,1098.6707553605083,1100.8007880009245,115.63838553553872
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,7,1,1,16,1146.7739530198742,1150.6275091698626,1156.7270439991262,110.41671728903914
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,1,1,1,16,1155.0455990072805,1158.7630054992042,1163.6442849994637,109.64149854807154
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,8,1,1,16,1151.4166449778713,1154.870089419419,1159.1723570018075,110.01108570477425
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,6,1,1,16,1150.1398099935614,1153.205411050294,1157.1376270148903,110.16988922146074
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,4,1,1,16,1151.056613016408,1155.4806367916171,1159.3528849771246,109.95295666552335
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,5,1,1,16,1156.7359739856329,1160.563962283195,1165.258809021907,109.47135747266832
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,2,1,1,16,1157.0812980062328,1160.5412676610285,1165.2429800014943,109.47349820748329
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,3,1,1,16,1151.5564330038615,1155.9175158294966,1160.3197600052226,109.91139994433675
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,0,1,1,16,1097.9795780149288,1099.0058762102854,1100.6776120048016,115.60312381868498
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,1,1,1,16,1232.3976190236863,1237.155002130312,1241.8805389897898,102.69409424544988
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,7,1,1,16,1229.3025139952078,1233.689253629418,1238.938586000586,102.98258820949695
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,9,1,1,16,1228.0015629949048,1233.7123156324378,1239.4840880006086,102.98066313771955
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,6,1,1,16,1228.2962269964628,1234.4057745003374,1241.5381490136497,102.92281112863934
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,3,1,1,16,1233.0074760247953,1236.9021228977363,1240.2263380063232,102.7150896041465
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,4,1,1,16,1231.3944229972549,1236.1330031082616,1242.7347610064317,102.77899875299501
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,5,1,1,16,1233.483365009306,1237.3754397203447,1242.0489929791074,102.67579936265248
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,8,1,1,16,1231.985791993793,1236.9412921505864,1242.8876159829088,102.7118370057073
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,2,1,1,16,1233.9519400266,1240.0690728295012,1249.7484580089804,102.45277071148122
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,10,1,1,16,1234.8094240005594,1239.9850779469125,1247.3540919891093,102.45971072116349
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,0,1,1,16,1098.313415015582,1099.776962182077,1101.5926440013573,115.52207106877556
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,1,1,1,16,1260.5737929989118,1272.8112845792202,1285.599408991402,99.81724229212901
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,7,1,1,16,1257.7856080024503,1266.8785903722164,1280.0940329907462,100.28467869811614
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,4,1,1,16,1257.152803009376,1266.3220029810327,1279.866653989302,100.32875689273084
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,9,1,1,16,1255.173304991331,1264.5292975797202,1279.9413850007113,100.47099156039161
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,8,1,1,16,1258.777971001109,1266.7403285892215,1277.7430350251961,100.29562453932049
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,3,1,1,16,1259.0297159913462,1269.650147589855,1282.256447011605,100.06576427858731
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,12,1,1,16,1257.5129329925403,1268.5604062699713,1283.325059019262,100.15172455095679
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,6,1,1,16,1258.9379500132054,1269.2494796108804,1287.1854029945098,100.09735235341584
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,5,1,1,16,1264.898239984177,1273.7680430599721,1282.5180100044236,99.74226710837512
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,2,1,1,16,1269.992097018985,1277.866834460583,1292.476047994569,99.42234116955551
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,11,1,1,16,1265.2750980050769,1276.6689976098132,1291.9332960154861,99.51562434966381
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,10,1,1,16,1269.5178529829718,1278.0707903482835,1288.1763899931684,99.40647524725792
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,0,1,1,16,1096.878509997623,1098.966570670018,1101.1059820011724,115.60725846969217
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,1,1,1,16,1356.5276759909466,1370.9000050529721,1387.8024610166904,92.67525852849552
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,3,1,1,16,1357.0433410059195,1365.8086772204842,1387.0883809868246,93.02072428149495
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,7,1,1,16,1353.7847429979593,1363.944941770751,1378.4422879980411,93.14783060088803
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,4,1,1,16,1354.230574972462,1364.7815367390285,1386.574848991586,93.09073208051028
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,6,1,1,16,1355.8966660057195,1366.9753810417023,1381.0190120129846,92.94133175111229
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,13,1,1,16,1355.2890499995556,1368.1789023798774,1385.4688180144876,92.85957572069383
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,14,1,1,16,1355.1153320004232,1368.5363179800333,1388.1968529894948,92.83532392660523
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,8,1,1,16,1358.4918399865273,1367.1132033676258,1379.0401380101684,92.93196208773342
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,9,1,1,16,1358.792323997477,1368.8059295900166,1389.6915039804298,92.81703829486877
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,10,1,1,16,1357.0469429832883,1371.4688299281988,1381.1300809902605,92.63682091240194
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,12,1,1,16,1359.3977760174312,1372.6658891496481,1391.6753510129638,92.55603522260263
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,11,1,1,16,1356.5745179948863,1372.8152881097049,1388.7004949792754,92.54596265455288
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,5,1,1,16,1360.7317590212915,1368.1296681796084,1382.6904039888177,92.86291741194889
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,2,1,1,16,1362.8842829784844,1373.266845890903,1384.0322160103824,92.51553167918915
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,0,1,1,16,1098.107735015219,1099.8684958208469,1101.5419669856783,115.51245705076947
