benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,1,1,16,8,47.90561180561781,52.638870514929295,70.19431050866842,0.0
resnet_manual_script,sequential,numactl,1,1,8,4,45.626893639564514,46.540305353701115,64.12288174033165,0.0
resnet_manual_script,sequential,numactl,2,1,8,4,44.69289444386959,47.03095807693899,63.42677213251591,0.0
resnet_manual_script,sequential,numactl,1,1,16,16,116.35758075863123,121.60249329172075,147.5481642410159,0.0
resnet_manual_script,sequential,numactl,3,1,4,4,88.1087128072977,90.29932496137917,121.56087532639503,0.0
resnet_manual_script,sequential,numactl,4,1,4,4,87.86668162792921,90.18624565564096,114.05439861118793,0.0
resnet_manual_script,sequential,numactl,1,1,4,4,87.50784397125244,90.20392048172653,113.08482009917498,0.0
resnet_manual_script,sequential,numactl,2,1,4,4,85.81782970577478,90.27475510723889,118.59523132443428,0.0
resnet_manual_script,sequential,numactl,1,1,16,32,264.47572000324726,267.28789635002613,293.0028894916177,0.0
resnet_manual_script,sequential,numactl,4,1,2,4,179.17652241885662,183.70447644032538,216.81730169802904,0.0
resnet_manual_script,sequential,numactl,5,1,2,4,178.16847376525402,183.8088398333639,217.9890414699912,0.0
resnet_manual_script,sequential,numactl,8,1,2,4,178.89688443392515,183.6528859194368,214.52943608164787,0.0
resnet_manual_script,sequential,numactl,2,1,2,4,178.25241666287184,183.66325258277357,220.53323406726122,0.0
resnet_manual_script,sequential,numactl,7,1,2,4,176.79733503609896,184.3461932055652,214.06581904739141,0.0
resnet_manual_script,sequential,numactl,3,1,2,4,173.08852449059486,184.34139154851437,218.0247064679861,0.0
resnet_manual_script,sequential,numactl,1,1,2,4,170.03018036484718,184.54463080503047,220.74722778052092,0.0
resnet_manual_script,sequential,numactl,6,1,2,4,177.83795483410358,184.5617759693414,217.07098837941885,0.0
resnet_manual_script,sequential,numactl,1,1,16,64,553.1204575672746,584.8628490231931,618.6338514089584,0.0
resnet_manual_script,sequential,numactl,7,1,1,4,352.53802314400673,355.2973254676908,361.66754737496376,89.39591313329014
resnet_manual_script,sequential,numactl,12,1,1,4,352.3108670488,355.83634678274393,362.3013570904732,89.26049609932733
resnet_manual_script,sequential,numactl,8,1,1,4,353.3331574872136,356.3603804912418,362.0773879811168,89.12923709480833
resnet_manual_script,sequential,numactl,16,1,1,4,353.233746252954,356.20843186974525,360.3867134079337,89.16725715132554
resnet_manual_script,sequential,numactl,3,1,1,4,354.0849909186363,357.0317908655852,363.21625113487244,88.96162654590543
resnet_manual_script,sequential,numactl,13,1,1,4,353.4776670858264,356.4836726617068,362.54081316292286,89.09841117503686
resnet_manual_script,sequential,numactl,2,1,1,4,353.8046693429351,356.9620309211314,362.3442864045501,88.97901203116376
resnet_manual_script,sequential,numactl,15,1,1,4,354.30742520838976,357.55609119310975,364.96635247021914,88.83117817407238
resnet_manual_script,sequential,numactl,10,1,1,4,353.760258294642,357.5538160838187,365.10532069951296,88.83174340545771
resnet_manual_script,sequential,numactl,4,1,1,4,354.8094667494297,357.49585184268653,362.66100965440273,88.84614655046877
resnet_manual_script,sequential,numactl,9,1,1,4,354.9327151849866,357.9684513993561,362.39199712872505,88.72884948334621
resnet_manual_script,sequential,numactl,11,1,1,4,354.4989600777626,357.5502294115722,361.5247420966625,88.83263449801609
resnet_manual_script,sequential,numactl,1,1,1,4,355.1424341276288,358.1431736703962,362.0838560163975,88.68556258796964
resnet_manual_script,sequential,numactl,5,1,1,4,354.6912018209696,357.76407262310386,362.3047834262252,88.77953733901242
resnet_manual_script,sequential,numactl,6,1,1,4,355.5027199909091,358.5236254148185,363.36356215178967,88.59145281500103
resnet_manual_script,sequential,numactl,14,1,1,4,356.12755082547665,358.51040861569345,362.3856082558632,88.59471881623256
resnet_manual_script,sequential,numactl,1,1,16,128,1239.2093762755394,1247.243134547025,1275.9232250973582,0.0
resnet_manual_script,sequential,numactl,7,1,1,8,696.6782808303833,701.7251196876168,708.2702238112688,90.52584146948986
resnet_manual_script,sequential,numactl,8,1,1,8,696.0909748449922,701.1564778536558,708.0192994326353,90.59925843437571
resnet_manual_script,sequential,numactl,3,1,1,8,696.2611982598901,703.0640476569533,716.8178241699934,90.35344240926888
resnet_manual_script,sequential,numactl,12,1,1,8,695.8521474152803,702.3464160226285,712.1938280761242,90.44576222049568
resnet_manual_script,sequential,numactl,11,1,1,8,698.518818244338,703.7947081308812,711.8730917572975,90.259639929243
resnet_manual_script,sequential,numactl,4,1,1,8,698.9541817456484,705.1916649565101,719.141754321754,90.08083914876903
resnet_manual_script,sequential,numactl,6,1,1,8,699.0838563069701,705.6286170613021,720.2155031263828,90.02505766355742
resnet_manual_script,sequential,numactl,13,1,1,8,700.9362895041704,705.9203517623246,712.9387715831399,89.98785313585618
resnet_manual_script,sequential,numactl,10,1,1,8,699.824957177043,706.2491660751402,715.1599898934364,89.94595674077078
resnet_manual_script,sequential,numactl,15,1,1,8,700.9285287931561,707.1410571597517,716.4292121306062,89.8325112038419
resnet_manual_script,sequential,numactl,14,1,1,8,701.5981562435627,707.5831858813763,718.3203082531691,89.77637994728948
resnet_manual_script,sequential,numactl,2,1,1,8,696.9208996742964,703.9514605794102,711.426149122417,90.23954135660759
resnet_manual_script,sequential,numactl,9,1,1,8,697.5026587024331,702.1953044459224,709.9155047908425,90.46522603867987
resnet_manual_script,sequential,numactl,1,1,1,8,700.3237949684262,707.9461330454797,748.9995341747999,89.7303537300614
resnet_manual_script,sequential,numactl,5,1,1,8,699.7982179746032,711.4675265736878,744.7408298030496,89.28623523539089
resnet_manual_script,sequential,numactl,16,1,1,8,731.1100838705897,736.1105850432068,743.4737095609307,86.29716544053143
resnet_manual_script,sequential,numactl,1,1,16,256,2503.347998484969,2513.5520794894546,2557.4463298544288,0.0
resnet_manual_script,sequential,numactl,9,1,1,16,1527.6197521016002,1533.5503306705505,1540.8447766676545,82.84600158929742
resnet_manual_script,sequential,numactl,16,1,1,16,1556.5021531656384,1562.9060348123312,1569.4168154150248,81.2899242194401
resnet_manual_script,sequential,numactl,3,1,1,16,1556.148113682866,1563.5110802948475,1573.8015957176685,81.25846675038666
resnet_manual_script,sequential,numactl,14,1,1,16,1531.6609824076295,1539.0763122029603,1546.265103854239,82.5485468944349
resnet_manual_script,sequential,numactl,13,1,1,16,1561.1333893612027,1566.7673740908504,1572.252937592566,81.08958306954953
resnet_manual_script,sequential,numactl,7,1,1,16,1558.4660982713103,1564.3096855841577,1574.3539202958345,81.21698299435926
resnet_manual_script,sequential,numactl,4,1,1,16,1564.4034203141928,1569.6713241841644,1576.0443955659866,80.93956433716045
