benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,1,1,16,8,151.97894486985737
resnet_manual_script,sequential,numactl,1,1,8,4,85.94700807397905
resnet_manual_script,sequential,numactl,2,1,8,4,85.0503617948057
resnet_manual_script,sequential,numactl,1,1,16,16,131.57624952324355
resnet_manual_script,sequential,numactl,3,1,4,4,44.29711962642901
resnet_manual_script,sequential,numactl,4,1,4,4,44.3526612170246
resnet_manual_script,sequential,numactl,1,1,4,4,44.34397062387458
resnet_manual_script,sequential,numactl,2,1,4,4,44.30917586260227
resnet_manual_script,sequential,numactl,1,1,16,32,119.72109637951765
resnet_manual_script,sequential,numactl,4,1,2,4,21.774101957169027
resnet_manual_script,sequential,numactl,5,1,2,4,21.76173900899593
resnet_manual_script,sequential,numactl,8,1,2,4,21.780218589947363
resnet_manual_script,sequential,numactl,2,1,2,4,21.778989230288598
resnet_manual_script,sequential,numactl,7,1,2,4,21.698305402702747
resnet_manual_script,sequential,numactl,3,1,2,4,21.698870592214732
resnet_manual_script,sequential,numactl,1,1,2,4,21.674973596094265
resnet_manual_script,sequential,numactl,6,1,2,4,21.67296006440934
resnet_manual_script,sequential,numactl,1,1,16,64,109.42736422203838
resnet_manual_script,sequential,numactl,7,1,1,4,11.258176499737662
resnet_manual_script,sequential,numactl,12,1,1,4,11.241122600784237
resnet_manual_script,sequential,numactl,8,1,1,4,11.224592348021435
resnet_manual_script,sequential,numactl,16,1,1,4,11.229380447295757
resnet_manual_script,sequential,numactl,3,1,1,4,11.203484121966925
resnet_manual_script,sequential,numactl,13,1,1,4,11.22071025058107
resnet_manual_script,sequential,numactl,2,1,1,4,11.205673582924499
resnet_manual_script,sequential,numactl,15,1,1,4,11.187055957157979
resnet_manual_script,sequential,numactl,10,1,1,4,11.18712714021855
resnet_manual_script,sequential,numactl,4,1,1,4,11.188941016748275
resnet_manual_script,sequential,numactl,9,1,1,4,11.174169076529951
resnet_manual_script,sequential,numactl,11,1,1,4,11.187239360978406
resnet_manual_script,sequential,numactl,1,1,1,4,11.168717691883893
resnet_manual_script,sequential,numactl,5,1,1,4,11.180552509569363
resnet_manual_script,sequential,numactl,6,1,1,4,11.156865870057867
resnet_manual_script,sequential,numactl,14,1,1,4,11.15727717765599
resnet_manual_script,sequential,numactl,1,1,16,128,102.6263416126056
resnet_manual_script,sequential,numactl,7,1,1,8,11.400475450503064
resnet_manual_script,sequential,numactl,8,1,1,8,11.409721300000236
resnet_manual_script,sequential,numactl,3,1,1,8,11.378764177546804
resnet_manual_script,sequential,numactl,12,1,1,8,11.390390578631859
