benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_none,sequential,numactl,default,1,1,1,1,113.12583199469373,138.61306322389282,151.3237759936601,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,1,66.09076797030866,66.6798208624823,82.75854005478323,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,1,47.58226400008425,48.59948454191908,64.74976800382137,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,1,37.870511994697154,39.01852936367504,50.30754202743992,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,1,33.07633602526039,33.46535485761706,45.248807000461966,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,1,29.31388298748061,29.57819276023656,38.14435098320246,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,1,26.796449965331703,27.318073509959504,35.79981200164184,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,1,25.06577898748219,26.786958592711017,40.12390703428537,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,1,26.161335001233965,26.540912811178714,33.915812033228576,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,1,25.027115014381707,25.31352428952232,32.94777905102819,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,1,23.94653600640595,24.30387540778611,31.054908002261072,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,1,23.181327967904508,23.545288264285773,30.100982054136693,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,1,24.063437012955546,26.100326158339158,30.135384004097432,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,1,23.581735033076257,23.908394534955733,30.546691035851836,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,1,23.1793699786067,23.39246906922199,29.38996796729043,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,1,22.6712099974975,22.998048627050593,28.18230597767979,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,2,205.25343500776216,214.18846132990438,265.79407998360693,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,2,115.06515799555928,128.53843775112182,162.77222899952903,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,2,82.84389396430925,91.37900802947115,113.92959899967536,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,2,62.62637599138543,75.85965951671824,88.71246699709445,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,2,52.90946300374344,55.67137333273422,76.39839500188828,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,2,55.4598739836365,57.100721390452236,65.93890197109431,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,2,41.48136998992413,47.14850826014299,59.219930961262435,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,2,37.934013991616666,42.69370936905034,54.67388895340264,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,2,37.701298017054796,44.195077709737234,55.07851403672248,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,2,35.50533903762698,38.891908531077206,49.613598035648465,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,2,34.374621987808496,40.14021410373971,48.48425800446421,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,2,32.0149430190213,35.462533766403794,46.29342700354755,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,2,32.87127602379769,33.360702567733824,45.15005397843197,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,2,31.629971985239536,33.839799723937176,45.202019973658025,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,2,31.90960199572146,39.102785257273354,45.76834599720314,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,2,30.209804011974484,32.72209547809325,44.31326303165406,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,4,395.02323896158487,412.78504448127933,532.7761879889295,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,4,214.21828598249704,228.5378474195022,304.63823600439355,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,4,147.94615400023758,150.6057046802016,213.08057697024196,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,4,115.46515399822965,128.28133776201867,164.11636403063312,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,4,96.69771301560104,97.90533594787121,134.63555398629978,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,4,82.73855497827753,92.9195887298556,119.09126699902117,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,4,75.06347302114591,85.20568652893417,105.7966590160504,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,4,69.07999300165102,72.22097220655996,91.37482597725466,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,4,64.51675301650539,78.29167730116751,91.44062601262704,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,4,60.1383299799636,66.7019790969789,82.1752609917894,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,4,56.914412998594344,63.17917914188001,81.62321103736758,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,4,55.196695029735565,62.17816051852424,75.03146701492369,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,4,54.65820099925622,61.38083498983178,75.74514398584142,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,4,54.59046404575929,56.47802829393186,72.87015800829977,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,4,57.86028801230714,60.063012891914696,70.92367904260755,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,4,47.63599002035335,55.323020461946726,69.01985098375008,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,8,778.2260620151646,839.1638111998327,1099.7904550167732,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,8,420.4021629993804,587.7028585394146,641.4079139940441,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,8,283.9055240037851,353.1829066312639,422.78904002159834,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,8,217.85844396799803,238.42710669327062,325.67654497688636,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,8,184.5887119998224,232.9033663321752,282.26765897125006,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,8,161.50927497074008,179.10143872257322,254.47337399236858,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,8,145.89522097958252,157.04193678160664,203.0700179748237,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,8,127.54760298412293,143.62450918881223,196.48001698078588,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,8,122.5927309715189,124.28684427111875,175.0871220137924,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,8,114.97662996407598,132.31165197794326,175.43892899993807,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,8,108.54067601030692,119.33303901867475,168.1271480047144,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,8,101.8591889878735,112.61658064380754,158.81699399324134,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,8,100.29968002345413,116.4055917476071,159.1312059899792,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,8,96.44681197823957,107.05437348922715,136.6387419984676,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,8,92.68197003984824,110.62242221494671,160.87566001806408,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,8,89.7647290257737,102.87358728703111,143.30817601876333,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,16,1627.7108159847558,1825.394918161328,2572.3938990267925,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,16,832.0966010214761,899.6627102047205,1343.1124429916963,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,16,559.0917440131307,615.8396110526519,935.9817090444267,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,16,442.4539679894224,704.0701895818347,756.8095829919912,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,16,362.2528470004909,403.91094867896754,616.6030039894395,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,16,317.5866650417447,357.1138247172348,544.9813809827901,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,16,287.00271603884175,415.5203243182041,499.8196419910528,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,16,250.6672950112261,295.8742623409489,471.63397300755605,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,16,240.81373604713008,273.2606299011968,434.869255986996,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,16,224.97837198898196,281.57339690136723,419.67268800362945,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,16,213.0504649830982,247.60849740938284,405.06753302179277,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,16,200.63525397563353,220.52840861026198,339.42268398823217,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,16,197.227849974297,223.98202943673823,344.961085007526,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,16,188.59723903005943,228.11188629013486,347.1259159850888,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,16,182.96901101712137,248.07810192345642,364.6054639830254,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,16,175.3712040372193,272.423269879655,352.60234196903184,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,32,3263.494669983629,3790.3030883840984,5404.547292971984,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,32,1673.049841017928,1894.2134481313406,2858.1591120455414,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,32,1258.1212960067205,1671.1830583692063,1969.9879350373521,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,32,846.3730390067212,932.9320139682386,1514.8174699861556,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,32,713.7154520023614,875.083539003972,1276.1340460274369,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,32,642.2641040408053,787.3419689998263,1124.5259589632042,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,32,613.5546279838309,774.8127932369243,988.1257230299525,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,32,502.9418310150504,566.6651627304964,922.3388719838113,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,32,484.0370729798451,611.2046916154213,843.7955090194009,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,32,442.9301670170389,520.8961901982548,791.1980139906518,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,32,422.2337279934436,557.5861780380365,784.9793360219337,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,32,415.37490696646273,481.1784468218684,695.0591310160235,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,32,416.807968984358,536.5742265299195,677.6630189851858,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,32,403.89219304779544,452.195757064037,649.8733310145326,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,32,366.22172000352293,470.84147158195265,671.7584960279055,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,32,406.41778497956693,432.22024652175605,631.7356829531491,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,64,7003.563722944818,7902.863416922628,11673.64201595774,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,64,3774.6932830195874,4789.452741977875,6223.571509995963,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,64,2490.6758710276335,3808.9160456426907,4330.086463014595,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,64,2451.519588998053,3129.43089022825,3362.1433309745044,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,64,1470.257323991973,2415.7890267920448,2865.240362996701,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,64,1590.984188951552,1955.5699390085647,2424.3720209924504,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,64,1454.7780569992028,1950.2136017987505,2205.2327819983475,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,64,1311.2742099910975,1818.0817383894464,2003.5940810339525,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,64,997.5367109873332,1372.4383464624407,1915.0354389566928,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,64,1075.170875992626,1418.9592531957896,1771.6717319563031,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,64,1042.106869048439,1354.5843618665822,1662.6533989910968,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,64,989.1395160229877,1324.7512553376146,1570.113243011292,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,64,842.2152699786238,1163.7874372513033,1497.168839967344,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,64,791.7001770110801,1090.834027856472,1507.6691780122928,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,64,887.2145159984939,1187.0523825008422,1477.820141997654,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,64,1016.8011019704863,1331.8376574880676,1441.6473439778201,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,128,23226.753171999007,24014.301298268256,24124.325715005398,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,128,12415.949477988761,12721.971954295295,12773.755008995067,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,128,8594.312585017178,8832.800744728884,8860.980944999028,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,128,6663.576266961172,6893.581406897865,6915.083741012495,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,128,5754.026278969832,5766.511623375118,5772.9594859993085,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,128,4907.562094042078,5063.772016020375,5083.289411966689,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,128,4406.384787987918,4555.210365246749,4579.0268469718285,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,128,3967.0339939766563,4056.018874509027,4078.6460040253587,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,128,3688.295930973254,3828.60455475864,3857.109559001401,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,128,3518.421452958137,3597.1932438592194,3616.40742700547,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,128,3352.1032049902715,3423.189294267213,3437.3420979827642,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,128,3145.5435109674,3221.5115367394174,3242.9382109548897,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,128,3053.4934930037707,3153.3949189801933,3170.87268299656,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,128,2966.189544007648,3074.3532248289557,3101.320132962428,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,128,2856.0015090042725,2964.7890667046886,2981.1694709933363,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,128,2826.754155976232,2883.9608570409473,2900.476848008111,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,256,48076.96815195959,48430.45748884266,48532.28688897798,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,256,25777.48753898777,25799.604866859154,25859.954168030526,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,256,17758.29825096298,17767.96722018975,17797.701572999358,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,256,13796.247814025264,13905.991462321836,13931.5292800311,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,256,11671.459704986773,11762.687904327177,11782.411274965852,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,256,10226.80807299912,10284.29642651754,10306.319237977732,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,256,9231.441786978394,9240.01937072142,9252.437707036734,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,256,8222.72120998241,8233.248593129683,8255.202198051848,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,256,7763.2943270145915,7771.890053706011,7783.066114003304,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,256,7165.673357027117,7276.390015800134,7292.000136978459,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,256,6835.375275986735,6887.483655370306,6917.924165027216,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,256,6443.853886972647,6479.293306480395,6493.318171007559,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,256,6325.250651978422,6371.644505318836,6392.774102976546,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,256,6124.795523995999,6168.294002849143,6179.7685559722595,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,256,5977.935269998852,6004.1086747834925,6032.914148003329,0.0
