benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,sequential,numactl,default,1,1,1,1,7.214327255612004
resnet_manual_none,sequential,numactl,default,1,1,2,1,14.997040889812205
resnet_manual_none,sequential,numactl,default,1,1,3,1,20.57634992275398
resnet_manual_none,sequential,numactl,default,1,1,4,1,25.62884907012838
resnet_manual_none,sequential,numactl,default,1,1,5,1,29.881649373049743
resnet_manual_none,sequential,numactl,default,1,1,6,1,33.80869169749782
resnet_manual_none,sequential,numactl,default,1,1,7,1,36.60580236872942
resnet_manual_none,sequential,numactl,default,1,1,8,1,37.331599126453625
resnet_manual_none,sequential,numactl,default,1,1,9,1,37.67767925369967
resnet_manual_none,sequential,numactl,default,1,1,10,1,39.50457425692859
resnet_manual_none,sequential,numactl,default,1,1,11,1,41.14570138388856
resnet_manual_none,sequential,numactl,default,1,1,12,1,42.4713424093784
resnet_manual_none,sequential,numactl,default,1,1,13,1,38.31369745854674
resnet_manual_none,sequential,numactl,default,1,1,14,1,41.82631328665463
resnet_manual_none,sequential,numactl,default,1,1,15,1,42.74880078032135
resnet_manual_none,sequential,numactl,default,1,1,16,1,43.48194997830326
resnet_manual_none,sequential,numactl,default,1,1,1,2,9.337571163179955
resnet_manual_none,sequential,numactl,default,1,1,2,2,15.559548061976853
resnet_manual_none,sequential,numactl,default,1,1,3,2,21.886864862386872
resnet_manual_none,sequential,numactl,default,1,1,4,2,26.36447372347133
resnet_manual_none,sequential,numactl,default,1,1,5,2,35.92510621296313
resnet_manual_none,sequential,numactl,default,1,1,6,2,35.025827192691445
resnet_manual_none,sequential,numactl,default,1,1,7,2,42.4191575471477
resnet_manual_none,sequential,numactl,default,1,1,8,2,46.845308818489464
resnet_manual_none,sequential,numactl,default,1,1,9,2,45.25390843603726
resnet_manual_none,sequential,numactl,default,1,1,10,2,51.424578415889975
resnet_manual_none,sequential,numactl,default,1,1,11,2,49.82534459908792
resnet_manual_none,sequential,numactl,default,1,1,12,2,56.397549401694015
resnet_manual_none,sequential,numactl,default,1,1,13,2,59.950775794943304
resnet_manual_none,sequential,numactl,default,1,1,14,2,59.10200463111089
resnet_manual_none,sequential,numactl,default,1,1,15,2,51.14725170703762
resnet_manual_none,sequential,numactl,default,1,1,16,2,61.120780034975375
resnet_manual_none,sequential,numactl,default,1,1,1,4,9.690273553942696
resnet_manual_none,sequential,numactl,default,1,1,2,4,17.502571434733227
resnet_manual_none,sequential,numactl,default,1,1,3,4,26.559418904440967
resnet_manual_none,sequential,numactl,default,1,1,4,4,31.181464660281346
resnet_manual_none,sequential,numactl,default,1,1,5,4,40.85579157942692
resnet_manual_none,sequential,numactl,default,1,1,6,4,43.04797357238815
resnet_manual_none,sequential,numactl,default,1,1,7,4,46.945223528498644
resnet_manual_none,sequential,numactl,default,1,1,8,4,55.38557399309937
resnet_manual_none,sequential,numactl,default,1,1,9,4,51.09099891439356
resnet_manual_none,sequential,numactl,default,1,1,10,4,59.96823563787135
resnet_manual_none,sequential,numactl,default,1,1,11,4,63.311996995359706
resnet_manual_none,sequential,numactl,default,1,1,12,4,64.33126947858665
resnet_manual_none,sequential,numactl,default,1,1,13,4,65.16692059765286
resnet_manual_none,sequential,numactl,default,1,1,14,4,70.82400219750183
resnet_manual_none,sequential,numactl,default,1,1,15,4,66.59672579525984
resnet_manual_none,sequential,numactl,default,1,1,16,4,72.30263218819283
resnet_manual_none,sequential,numactl,default,1,1,1,8,9.533299569438816
resnet_manual_none,sequential,numactl,default,1,1,2,8,13.612321062861524
resnet_manual_none,sequential,numactl,default,1,1,3,8,22.65115284401999
resnet_manual_none,sequential,numactl,default,1,1,4,8,33.55323189108595
resnet_manual_none,sequential,numactl,default,1,1,5,8,34.34900974591372
resnet_manual_none,sequential,numactl,default,1,1,6,8,44.667424544768394
resnet_manual_none,sequential,numactl,default,1,1,7,8,50.94180678072859
resnet_manual_none,sequential,numactl,default,1,1,8,8,55.700799572327924
resnet_manual_none,sequential,numactl,default,1,1,9,8,64.3672308756093
resnet_manual_none,sequential,numactl,default,1,1,10,8,60.46330674892959
