benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,torch,default,1,1,1,1,13.536421188112348
resnet_manual_script,sequential,numactl,torch,default,1,1,2,1,25.45061611908997
resnet_manual_script,sequential,numactl,torch,default,1,1,3,1,36.17624016394593
resnet_manual_script,sequential,numactl,torch,default,1,1,4,1,46.36092385330296
resnet_manual_script,sequential,numactl,torch,default,1,1,5,1,54.32224491510586
resnet_manual_script,sequential,numactl,torch,default,1,1,6,1,62.884180801270915
resnet_manual_script,sequential,numactl,torch,default,1,1,7,1,69.33051644693995
resnet_manual_script,sequential,numactl,torch,default,1,1,8,1,77.09347574282768
resnet_manual_script,sequential,numactl,torch,default,1,1,9,1,71.95275770204118
resnet_manual_script,sequential,numactl,torch,default,1,1,10,1,76.75928011727085
resnet_manual_script,sequential,numactl,torch,default,1,1,11,1,81.57070793289486
resnet_manual_script,sequential,numactl,torch,default,1,1,12,1,85.8287728606902
resnet_manual_script,sequential,numactl,torch,default,1,1,13,1,83.25474889806733
resnet_manual_script,sequential,numactl,torch,default,1,1,14,1,87.93398304769605
resnet_manual_script,sequential,numactl,torch,default,1,1,15,1,87.05363999235895
resnet_manual_script,sequential,numactl,torch,default,1,1,16,1,94.42742027689398
resnet_manual_script,sequential,numactl,torch,default,1,1,1,2,14.309872885662681
resnet_manual_script,sequential,numactl,torch,default,1,1,2,2,27.6156378987978
resnet_manual_script,sequential,numactl,torch,default,1,1,3,2,39.922591747428854
resnet_manual_script,sequential,numactl,torch,default,1,1,4,2,52.22959256855499
resnet_manual_script,sequential,numactl,torch,default,1,1,5,2,61.99173470695197
resnet_manual_script,sequential,numactl,torch,default,1,1,6,2,72.6646681517457
resnet_manual_script,sequential,numactl,torch,default,1,1,7,2,82.00978563812251
resnet_manual_script,sequential,numactl,torch,default,1,1,8,2,92.65167682468375
resnet_manual_script,sequential,numactl,torch,default,1,1,9,2,92.85675372037427
resnet_manual_script,sequential,numactl,torch,default,1,1,10,2,97.85751155594419
resnet_manual_script,sequential,numactl,torch,default,1,1,11,2,104.0445982384399
resnet_manual_script,sequential,numactl,torch,default,1,1,12,2,112.71487254582787
resnet_manual_script,sequential,numactl,torch,default,1,1,13,2,111.00474389920528
resnet_manual_script,sequential,numactl,torch,default,1,1,14,2,114.98547376169024
resnet_manual_script,sequential,numactl,torch,default,1,1,15,2,119.61099029976533
resnet_manual_script,sequential,numactl,torch,default,1,1,16,2,125.00171588177186
resnet_manual_script,sequential,numactl,torch,default,1,1,1,3,14.529853762213511
resnet_manual_script,sequential,numactl,torch,default,1,1,2,3,28.24366318954972
