benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,torch,default,1,1,1,1,75.2413750000187,75.4866238899956,75.88779600007456,105.19112626591284
resnet_manual_script,sequential,numactl,torch,default,1,1,2,1,73.4695080000165,73.82259016999797,74.49153900006422,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,3,1,50.808988999961,50.951935549987866,51.14680099995894,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,4,1,39.07092399981593,39.16109637000318,39.38944599985916,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,5,1,32.35280800004148,32.44424776999267,32.68127700016521,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,6,1,27.920867000148064,28.013626919994294,28.22428699982993,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,7,1,24.63521499998933,24.71314834999248,24.90609599999516,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,8,1,22.00129399989237,22.066859070000646,22.25124799997502,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,9,1,21.14852099998643,21.222079259996462,21.436305999941396,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,10,1,19.547686999885627,19.637888440013285,19.846122999979343,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,11,1,18.134683999960544,18.211172279989114,18.443767000007938,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,12,1,17.330073000039192,17.39961409999296,17.597122999859494,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,13,1,16.219087999843396,16.302672080014418,16.475090999847453,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,14,1,15.311532999930932,15.38871589998962,15.652373999955671,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,15,1,15.040952999925139,15.182408349994603,15.448881999873265,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,16,1,13.974964999988515,14.129019120007342,14.547197000183587,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,17,1,14.973832999885417,15.098374940009762,15.301129999897967,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,18,1,14.581456999849252,14.647564300003069,14.85692200003541,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,19,1,14.195771999993667,30.118892260009034,636.8730630001664,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,20,1,13.875736999807486,13.954120720002265,14.213392000101521,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,21,1,13.644032999991396,158.73505717998796,3352.2386739998637,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,22,1,13.463537000006909,13.547078920005333,13.680910999937623,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,23,1,13.318070999957854,21.886363609996806,264.6304259999397,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,24,1,13.19110899999032,13.333235730008255,13.667606999888449,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,25,1,13.797870999951556,91.2909228999979,1727.7829039999233,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,26,1,13.735922000023493,13.902953020012774,14.134732999991684,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,27,1,13.610599000003276,122.11715624999215,3466.118988000062,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,28,1,13.403607999862288,13.575680420030949,13.943872999789164,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,29,1,13.751652000337344,101.27871762002997,1221.2652150001304,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,30,1,14.118563000010909,14.315982949983663,14.477380999778688,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,31,1,13.245070000266423,19.490959430008843,220.38056500014136,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,32,1,12.353599000107351,12.694705220037577,13.058230999831721,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,1,2,142.1281509997243,142.46589698001117,142.785424000067,111.47274109556345
resnet_manual_script,sequential,numactl,torch,default,1,1,2,2,141.71197599989682,142.17549012002564,142.82191000029343,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,3,2,97.37796899980822,97.54217086001063,97.8872149999006,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,4,2,73.72854699997333,73.86052260002998,74.07682399980331,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,5,2,60.283657999661955,60.43902936001814,60.64373800018075,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,6,2,51.126500999998825,51.243590999988555,51.45351400005893,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,7,2,45.15949000006003,45.26509199998145,45.47966700010875,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,8,2,39.96640900004422,40.055117089973464,40.24733799997193,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,9,2,36.35732200018538,36.45101596999666,36.64115799983847,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,10,2,34.39407900032165,34.490400669992596,34.68836199999714,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,11,2,31.586355999934312,31.673725490027206,31.889918000160833,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,12,2,29.003004000060173,29.080471729998862,29.275454000071477,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,13,2,27.27008800002295,27.35368123999251,27.595772000040597,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,14,2,25.536830999953963,25.617110260009213,25.81966600018859,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,15,2,24.453515999994124,24.711510719989747,25.944062000235135,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,16,2,22.787307999806217,23.06894044001183,24.38528699985909,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,17,2,24.69829400024537,24.769963370008554,24.89938999997321,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,18,2,23.70972000016991,23.774987719975798,23.963282000295294,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,19,2,21.971231999941665,22.06029942002715,22.21326400012913,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,20,2,22.151449999910255,22.212879949993294,22.377652000159287,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,21,2,21.627396999974735,21.70112115999018,21.908097000050475,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,22,2,21.25130700005684,21.32541554999534,21.55474300025162,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,23,2,20.282625000163534,20.41890945002251,20.95529300004273,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,24,2,19.930364999709127,20.0153281699977,20.225152999955753,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,25,2,21.021478999955434,21.210642250007368,21.422040999823366,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,26,2,20.641430000068794,20.76413649001097,20.868302000053518,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,27,2,20.91757200014399,21.142652350008575,21.30124200039063,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,28,2,19.559968000066874,19.79141616000561,19.95932099998754,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,29,2,19.63163300024462,19.800407849970725,19.915689999834285,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,30,2,19.691952999892237,19.957161410034132,20.175714999822958,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,31,2,20.05815100028485,20.161108340016654,20.48266900010276,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,32,2,19.06528800009255,19.812083350002467,20.351311000013084,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,1,4,278.59357199986334,279.20343874999617,279.70306299994263,113.75980267005374
resnet_manual_script,sequential,numactl,torch,default,1,1,2,4,276.90485899984196,277.31649251997624,277.85197700040953,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,3,4,189.53023099993516,189.87639626000146,190.37343099989812,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,4,4,141.5174459998525,141.93673627002227,142.38138099972275,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,5,4,116.789142000016,117.02468180001233,117.2569220002515,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,6,4,98.53458799989312,98.72155278004357,98.99094899992633,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,7,4,83.30813400061743,83.55122566004866,83.8049529993441,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,8,4,74.65028400019946,74.99127630004295,75.32904599975154,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,9,4,67.56535099975736,67.73021975002848,68.00778900014848,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,10,4,61.594401000547805,61.75886558004095,61.94964700080163,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,11,4,57.08095600039087,57.366140809945136,57.67768399982742,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,12,4,52.46679199990467,52.60447576000843,52.79382200023974,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,13,4,49.08749199967133,49.28130389010221,49.61072800051625,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,14,4,46.042836000196985,46.222848530014744,47.18349799986754,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,15,4,43.72299299939186,44.09108912998818,44.65246499967179,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,16,4,40.801874999488064,41.201078550011516,41.666904000521754,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,17,4,43.4253550001813,43.52672225000788,43.66164100065362,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,18,4,40.01879099996586,40.13023859002715,40.29662700031622,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,19,4,38.537199000529654,38.64232086000811,38.82451800018316,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,20,4,37.80233799989219,37.90084993998789,38.45202100001188,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,21,4,35.49576500063267,35.66214510998179,36.16443800001434,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,22,4,35.393240000303194,35.47587596996891,35.685812999872724,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,23,4,33.42110500034323,33.54176403002384,33.89485400020931,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,24,4,31.87874700051907,32.089472879970344,32.87675800038414,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,25,4,33.57171600055153,33.73593747004634,34.17468200041185,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,26,4,32.76943100081553,33.0245022899453,33.287532000031206,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,27,4,32.31461900031718,32.6686143000461,32.84333200008405,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,28,4,30.697725999743852,31.086166799923376,31.33693299969309,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,29,4,30.06909900068422,30.34850364004342,30.580900999666483,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,30,4,30.175700999279798,30.59740677002992,30.93638199970883,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,31,4,30.366762000085146,30.764422939992073,31.028591999529453,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,32,4,29.795040999488265,30.426555440017182,31.16928600047686,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,1,8,555.2831869999864,555.8361394100029,556.4744960001917,114.28594092573464
resnet_manual_script,sequential,numactl,torch,default,1,1,2,8,556.951525999466,557.6414143199963,558.4416329993473,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,3,8,379.56887900054426,385.19615934000285,395.82473000064056,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,4,8,293.4175310001592,293.91355404000024,294.496497000182,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,5,8,237.00203699991107,237.3684960099945,237.62108199935028,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,6,8,199.09683700007008,199.48237096999947,199.89774199984822,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,7,8,173.46134600029472,173.80009342002268,174.03117699996073,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,8,8,144.32583699999668,144.66220695997436,145.14067500022065,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,9,8,133.43765100034943,133.7096985700282,134.13755300007324,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,10,8,121.1753099996713,121.50230643991563,121.75182000009954,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,11,8,110.51981699984026,110.88682834001702,113.0427560001408,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,12,8,108.1255829994916,108.36122162998436,108.66026500025328,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,13,8,96.33586200015998,96.697782609981,98.5380410002108,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,14,8,89.54189300038706,90.22818111994638,95.84801499931928,0.0
resnet_manual_script,sequential,numactl,torch,default,1,1,15,8,84.38404400021682,85.2642105400173,91.13205100038613,0.0
