model,instances,cores,batch_size,allocator,throughput,mean_ts_latency,mean_predict_latency
resnet50,1,1,1,default,10.70,93.430,90.81
resnet50,1,2,1,default,18.31,54.619,52.01
resnet50,1,3,1,default,24.73,40.444,38.25
resnet50,1,4,1,default,30.32,32.977,30.35
resnet50,1,5,1,default,34.46,29.022,26.57
resnet50,1,6,1,default,37.91,26.378,23.5
resnet50,1,7,1,default,41.95,23.840,21.27
resnet50,1,8,1,default,45.03,22.207,19.59
resnet50,1,9,1,default,46.32,21.587,19.1
resnet50,1,10,1,default,48.50,20.619,18.06
resnet50,1,11,1,default,48.25,20.723,17.76
resnet50,1,12,1,default,49.71,20.115,17.58
resnet50,1,13,1,default,52.06,19.208,16.87
resnet50,1,14,1,default,52.96,18.881,16.47
resnet50,1,15,1,default,52.27,19.131,16.69
resnet50,1,16,1,default,52.88,18.912,16.42
resnet50,1,1,2,default,11.43,174.915,168.43
resnet50,1,2,2,default,16.33,122.461,116.35
resnet50,1,3,2,default,15.50,129.042,123.27
resnet50,1,4,2,default,17.07,117.146,111.17
resnet50,1,5,2,default,32.19,62.127,56.7
resnet50,1,6,2,default,27.74,72.095,66.63
resnet50,1,7,2,default,27.77,72.020,66.91
resnet50,1,8,2,default,29.38,68.077,62.67
resnet50,1,9,2,default,21.87,91.457,86.07
resnet50,1,10,2,default,23.33,85.734,80.08
resnet50,1,11,2,default,50.21,39.832,34.65
resnet50,1,12,2,default,47.67,41.956,36.87
resnet50,1,13,2,default,29.66,67.422,62.37
resnet50,1,14,2,default,29.36,68.121,63.09
resnet50,1,15,2,default,59.56,33.582,28.45
resnet50,1,16,2,default,28.90,69.196,63.73
resnet50,1,1,4,default,11.08,361.055,352.67
resnet50,1,2,4,default,18.34,218.145,211.11
resnet50,1,3,4,default,20.23,197.689,190.52
resnet50,1,4,4,default,21.65,184.763,178.16
resnet50,1,5,4,default,37.62,106.339,100.44
resnet50,1,6,4,default,48.66,82.210,76.67
resnet50,1,7,4,default,48.07,83.216,77.55
resnet50,1,8,4,default,31.18,128.288,122.24
resnet50,1,9,4,default,32.59,122.747,116.7
resnet50,1,10,4,default,33.01,121.187,115.25
resnet50,1,11,4,default,52.76,75.814,70.23
resnet50,1,12,4,default,49.45,80.885,75.21
resnet50,1,13,4,default,38.89,102.858,96.89
resnet50,1,14,4,default,41.42,96.565,90.75
resnet50,1,15,4,default,73.68,54.290,49.1
resnet50,1,16,4,default,53.30,75.044,69.42
resnet50,1,1,8,default,11.98,667.564,655.52
resnet50,1,2,8,default,19.95,401.054,391.41
resnet50,1,3,8,default,25.57,312.908,304.46
resnet50,1,4,8,default,29.19,274.094,265.89
resnet50,1,5,8,default,46.85,170.753,163.58
resnet50,1,6,8,default,55.23,144.843,137.88
resnet50,1,7,8,default,54.56,146.625,139.67
resnet50,1,8,8,default,44.69,179.015,171.88
resnet50,1,9,8,default,46.02,173.836,166.73
resnet50,1,10,8,default,47.42,168.692,161.58
resnet50,1,11,8,default,74.18,107.846,101.44
resnet50,1,12,8,default,75.23,106.346,99.8
resnet50,1,13,8,default,56.24,142.255,135.48
resnet50,1,14,8,default,63.86,125.277,118.7
resnet50,1,15,8,default,87.20,91.746,85.53
resnet50,1,16,8,default,59.27,134.966,128.06
resnet50,1,1,16,default,10.10,1584.856,1562.25
resnet50,1,2,16,default,18.11,883.562,867.72
resnet50,1,3,16,default,25.23,634.243,620.93
resnet50,1,4,16,default,32.41,493.650,481.54
resnet50,1,5,16,default,41.48,385.768,374.67
resnet50,1,6,16,default,47.04,340.152,325.34
resnet50,1,7,16,default,51.51,310.595,299.38
resnet50,1,8,16,default,45.63,350.662,339.89
resnet50,1,9,16,default,48.55,329.567,319.04
resnet50,1,10,16,default,57.01,280.651,270.68
resnet50,1,11,16,default,66.11,242.017,232.41
resnet50,1,12,16,default,73.85,216.649,207.18
resnet50,1,13,16,default,61.86,258.664,249.12
resnet50,1,14,16,default,64.60,247.664,238.08
resnet50,1,15,16,default,74.14,215.811,206.42
resnet50,1,16,16,default,62.86,254.529,244.84
resnet50,1,1,32,default,9.20,3479.437,3435.81
resnet50,1,2,32,default,17.14,1867.085,1839.68
resnet50,1,3,32,default,24.15,1325.317,1303.11
resnet50,1,4,32,default,30.10,1063.253,1043.14
resnet50,1,5,32,default,38.24,836.793,819.16
resnet50,1,6,32,default,44.27,722.853,706.67
resnet50,1,7,32,default,49.02,652.791,637.45
resnet50,1,8,32,default,48.04,666.123,650.46
resnet50,1,9,32,default,51.13,625.857,610.67
resnet50,1,10,32,default,54.41,588.152,573.44
resnet50,1,11,32,default,62.99,508.029,494.03
resnet50,1,12,32,default,68.18,469.353,455.82
resnet50,1,13,32,default,62.38,512.994,498.97
resnet50,1,14,32,default,64.48,496.300,482.48
resnet50,1,15,32,default,69.50,460.415,446.45
resnet50,1,16,32,default,64.99,492.393,478.37
resnet50,1,1,64,default,8.83,7248.479,7163.44
resnet50,1,2,64,default,16.53,3872.125,3820.24
resnet50,1,3,64,default,23.50,2723.688,2683.52
resnet50,1,4,64,default,29.27,2186.610,2151.11
resnet50,1,5,64,default,36.34,1761.374,1730.5
