model,cores,batch_size,instances,throughput,mean_ts_latency,mean_predict_latency
resnet-50,1,1,1,8.59,116.419,112.54
resnet-50,2,1,1,15.29,65.382,61.12
resnet-50,3,1,1,20.56,48.644,44.8
resnet-50,4,1,1,25.61,39.049,35.64
resnet-50,5,1,1,29.36,34.064,30.88
resnet-50,6,1,1,31.98,31.270,28.14
resnet-50,7,1,1,34.34,29.116,25.77
resnet-50,8,1,1,36.44,27.442,23.98
resnet-50,9,1,1,38.22,26.168,22.74
resnet-50,10,1,1,38.37,26.059,22.56
resnet-50,11,1,1,40.69,24.577,21.42
resnet-50,12,1,1,43.42,23.031,19.91
resnet-50,13,1,1,42.18,23.706,20.32
resnet-50,14,1,1,42.98,23.269,20.01
resnet-50,15,1,1,43.93,22.762,19.37
resnet-50,16,1,1,44.34,22.551,19.3
resnet-50,1,2,1,10.36,192.962,169.32
resnet-50,2,2,1,18.22,109.790,90.07
resnet-50,3,2,1,24.62,81.219,63.29
resnet-50,4,2,1,33.38,59.910,50.03
resnet-50,5,2,1,37.93,52.734,43.0
resnet-50,6,2,1,42.83,46.693,37.19
resnet-50,7,2,1,45.70,43.768,34.31
resnet-50,8,2,1,49.04,40.785,31.22
resnet-50,9,2,1,49.30,40.568,30.73
resnet-50,10,2,1,52.00,38.459,28.67
resnet-50,11,2,1,54.53,36.674,27.48
resnet-50,12,2,1,56.25,35.558,25.92
resnet-50,13,2,1,56.87,35.166,25.89
resnet-50,14,2,1,57.16,34.990,25.59
resnet-50,15,2,1,58.71,34.063,24.88
resnet-50,16,2,1,58.53,34.168,24.93
resnet-50,1,4,1,10.82,369.725,337.31
resnet-50,2,4,1,19.85,201.510,176.98
resnet-50,3,4,1,27.81,143.858,122.26
resnet-50,4,4,1,37.50,106.656,95.25
resnet-50,5,4,1,44.12,90.654,79.65
resnet-50,6,4,1,50.20,79.684,69.01
resnet-50,7,4,1,55.08,72.623,62.14
resnet-50,8,4,1,60.17,66.478,55.74
resnet-50,9,4,1,62.54,63.957,53.56
resnet-50,10,4,1,66.62,60.041,49.67
resnet-50,11,4,1,69.02,57.951,47.51
resnet-50,12,4,1,72.37,55.268,44.95
resnet-50,13,4,1,72.81,54.938,44.64
resnet-50,14,4,1,75.01,53.324,42.97
resnet-50,15,4,1,77.04,51.923,41.69
resnet-50,16,4,1,79.01,50.624,40.55
resnet-50,1,8,1,10.89,734.390,683.4
resnet-50,2,8,1,20.29,394.269,359.61
resnet-50,3,8,1,29.41,272.014,243.24
resnet-50,4,8,1,38.95,205.417,190.78
resnet-50,5,8,1,46.31,172.753,158.87
resnet-50,6,8,1,52.42,152.612,139.27
resnet-50,7,8,1,58.22,137.403,124.79
resnet-50,8,8,1,65.29,122.531,109.65
resnet-50,9,8,1,67.32,118.833,105.89
resnet-50,10,8,1,72.75,109.971,97.81
resnet-50,11,8,1,76.68,104.331,92.32
resnet-50,12,8,1,80.24,99.701,87.33
resnet-50,13,8,1,81.42,98.257,86.29
resnet-50,14,8,1,84.62,94.542,82.49
resnet-50,15,8,1,87.03,91.922,80.23
resnet-50,16,8,1,89.04,89.849,77.45
resnet-50,1,16,1,10.64,1503.990,1414.96
resnet-50,2,16,1,20.41,783.960,727.34
resnet-50,3,16,1,29.93,534.621,491.28
resnet-50,4,16,1,39.34,406.744,385.94
resnet-50,5,16,1,46.71,342.570,323.51
resnet-50,6,16,1,52.86,302.693,284.51
resnet-50,7,16,1,58.28,274.526,256.42
resnet-50,8,16,1,65.60,243.894,227.26
resnet-50,9,16,1,68.40,233.933,217.55
resnet-50,10,16,1,73.03,219.075,202.8
resnet-50,11,16,1,77.02,207.741,191.84
resnet-50,12,16,1,81.95,195.252,179.54
