model,cores,batch_size,instances,throughput,mean_ts_latency,mean_predict_latency
resnet-50,1,1,1,6.73,148.543,140.94
resnet-50,2,1,1,9.80,102.069,94.08
resnet-50,3,1,1,11.91,83.950,76.23
resnet-50,4,1,1,13.79,72.511,66.54
resnet-50,5,1,1,14.36,69.638,62.75
resnet-50,6,1,1,15.11,66.166,59.15
resnet-50,7,1,1,15.98,62.578,56.56
resnet-50,8,1,1,16.44,60.826,53.95
resnet-50,9,1,1,16.48,60.684,53.81
resnet-50,10,1,1,16.78,59.596,53.01
resnet-50,11,1,1,17.47,57.248,52.0
resnet-50,12,1,1,17.49,57.160,51.3
resnet-50,13,1,1,17.18,58.214,51.27
resnet-50,14,1,1,17.20,58.146,51.04
resnet-50,15,1,1,17.84,56.050,50.45
resnet-50,16,1,1,17.77,56.270,50.42
resnet-50,1,2,1,7.65,261.451,230.38
resnet-50,2,2,1,11.26,177.572,150.29
resnet-50,3,2,1,13.42,149.079,123.67
resnet-50,4,2,1,15.88,125.923,111.22
resnet-50,5,2,1,17.07,117.153,103.1
resnet-50,6,2,1,17.75,112.646,98.38
resnet-50,7,2,1,18.48,108.228,94.33
resnet-50,8,2,1,19.04,105.065,90.63
resnet-50,9,2,1,18.84,106.177,91.15
resnet-50,10,2,1,19.20,104.180,89.74
resnet-50,11,2,1,19.64,101.814,87.83
resnet-50,12,2,1,19.96,100.223,86.24
resnet-50,13,2,1,19.81,100.976,86.88
resnet-50,14,2,1,19.92,100.422,86.45
resnet-50,15,2,1,20.11,99.473,85.55
resnet-50,16,2,1,20.16,99.209,85.0
resnet-50,1,4,1,8.00,499.949,454.59
resnet-50,2,4,1,12.00,333.315,296.15
resnet-50,3,4,1,14.69,272.332,239.89
resnet-50,4,4,1,16.74,238.884,220.3
resnet-50,5,4,1,18.33,218.276,199.86
resnet-50,6,4,1,19.34,206.798,188.73
resnet-50,7,4,1,20.03,199.662,181.78
resnet-50,8,4,1,20.68,193.393,175.74
resnet-50,9,4,1,20.89,191.482,174.01
resnet-50,10,4,1,21.19,188.781,171.13
resnet-50,11,4,1,21.56,185.499,167.77
resnet-50,12,4,1,21.71,184.252,166.45
resnet-50,13,4,1,21.88,182.813,165.04
