benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
resnet_manual_none,1,1,1,118.97442606277764,140.2681638323702,172.79862705618143
resnet_manual_none,1,2,1,68.81651980802417,69.43600914441049,91.6826140601188
resnet_manual_none,1,3,1,49.260827945545316,49.66259540989995,67.52395490184426
resnet_manual_none,1,4,1,39.94404594413936,40.30913395807147,54.58684801124036
resnet_manual_none,1,5,1,34.55535601824522,34.84685862669721,46.83347209356725
resnet_manual_none,1,6,1,30.55374207906425,30.828920449130237,40.99083598703146
resnet_manual_none,1,7,1,27.959875063970685,28.220478289294988,37.831055000424385
resnet_manual_none,1,8,1,26.01983305066824,26.379966873209924,34.258486004546285
resnet_manual_none,1,9,1,26.293298928067088,26.721875905059278,34.156827023252845
resnet_manual_none,1,10,1,24.67513899318874,25.521367557812482,31.666733091697097
resnet_manual_none,1,11,1,23.808024125173688,24.019407292362303,31.19812090881169
resnet_manual_none,1,12,1,23.25237193144858,23.511602969374508,29.544597025960684
resnet_manual_none,1,13,1,23.810823215171695,24.04221228789538,30.608071945607662
resnet_manual_none,1,14,1,23.502944968640804,23.72026333818212,29.690461000427604
resnet_manual_none,1,15,1,23.27464916743338,23.461268236860633,28.89586193487048
resnet_manual_none,1,16,1,21.929370006546378,22.160006938502192,27.459343895316124
resnet_manual_none,1,17,1,22.739256033673882,25.322253382764757,30.885876156389713
resnet_manual_none,1,18,1,37.27290919050574,65.80871048383415,119.77164703421295
resnet_manual_none,1,19,1,95.77359398826957,108.20836446713656,127.01565795578063
resnet_manual_none,2,1,1,120.56481884792447,123.04348055971786,162.56419895216823
resnet_manual_none,2,2,1,68.32461687736213,68.98343030828983,90.94015718437731
resnet_manual_none,2,3,1,49.474034924060106,50.02185068791732,66.87703193165362
resnet_manual_none,2,4,1,39.65970315039158,39.99938551802188,54.75854501128197
resnet_manual_none,2,5,1,34.47659709490836,34.77700042305514,46.28592194058001
resnet_manual_none,2,6,1,30.565827153623104,30.792511815670878,41.244070045650005
resnet_manual_none,2,7,1,28.042905032634735,28.33646211307496,38.362389896065
resnet_manual_none,2,8,1,25.701259030029178,25.92413459206,33.786094980314374
resnet_manual_none,2,9,1,26.091741863638163,26.588576561771333,33.4880540613085
resnet_manual_none,2,10,1,24.904333986341953,25.13330918038264,31.577106099575758
resnet_manual_none,2,11,1,23.858007043600082,24.18050916166976,29.669508105143905
resnet_manual_none,2,12,1,22.915670881047845,23.237788130063564,30.350189190357924
resnet_manual_none,2,13,1,23.964354069903493,24.167954591102898,30.61105217784643
resnet_manual_none,2,14,1,23.091619135811925,23.417137500364333,29.42526596598327
resnet_manual_none,2,15,1,23.120801895856857,23.31654979614541,29.556666035205126
