benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,1,1,1,7.129201471511858
resnet_manual_none,1,2,1,14.401749356306413
resnet_manual_none,1,3,1,20.13587875837548
resnet_manual_none,1,4,1,24.80827300929299
resnet_manual_none,1,5,1,28.69699133321218
resnet_manual_none,1,6,1,32.43707484503281
resnet_manual_none,1,7,1,35.43526051361557
resnet_manual_none,1,8,1,37.90755328868689
resnet_manual_none,1,9,1,37.422522413954816
resnet_manual_none,1,10,1,39.1828532595184
resnet_manual_none,1,11,1,41.633000674333054
resnet_manual_none,1,12,1,42.532191501471395
resnet_manual_none,1,13,1,41.593510115684055
resnet_manual_none,1,14,1,42.158047983823025
resnet_manual_none,1,15,1,42.623441746805184
resnet_manual_none,1,16,1,45.12633966113688
resnet_manual_none,1,17,1,39.490956230642425
resnet_manual_none,1,18,1,15.195556828995292
resnet_manual_none,1,19,1,9.241429763072569
resnet_manual_none,2,1,1,8.127208328722954
resnet_manual_none,2,2,1,14.496234755664632
resnet_manual_none,2,3,1,19.991263542785074
resnet_manual_none,2,4,1,25.00038405713623
resnet_manual_none,2,5,1,28.75463633537117
resnet_manual_none,2,6,1,32.475427986718564
resnet_manual_none,2,7,1,35.290220635503466
resnet_manual_none,2,8,1,38.57409382168068
resnet_manual_none,2,9,1,37.61013673209514
resnet_manual_none,2,10,1,39.78783664430995
resnet_manual_none,2,11,1,41.35562213822904
resnet_manual_none,2,12,1,43.03335560178655
resnet_manual_none,2,13,1,41.37710521717615
resnet_manual_none,2,14,1,42.703767699380066
resnet_manual_none,2,15,1,42.88799195176448
resnet_manual_none,2,16,1,44.806121109147035
resnet_manual_none,2,17,1,39.5662298110984
resnet_manual_none,2,18,1,26.942093172644945
resnet_manual_none,2,19,1,9.361601586117244
resnet_manual_none,3,1,1,7.092454255898714
resnet_manual_none,3,2,1,14.322290587448233
resnet_manual_none,3,3,1,19.844705948401106
resnet_manual_none,3,4,1,24.78917373565832
resnet_manual_none,3,5,1,28.79565833588863
resnet_manual_none,3,6,1,32.581786148279335
resnet_manual_none,3,7,1,35.194919203830906
resnet_manual_none,3,8,1,34.551049594374774
resnet_manual_none,3,9,1,38.073506734652405
resnet_manual_none,3,10,1,39.66422205209857
resnet_manual_none,3,11,1,39.88829399461456
resnet_manual_none,3,12,1,42.361037015649416
resnet_manual_none,3,13,1,41.2227934289424
resnet_manual_none,3,14,1,42.60475882819025
resnet_manual_none,3,15,1,42.51246338470897
resnet_manual_none,3,16,1,44.71090637060037
resnet_manual_none,3,17,1,27.885015292852568
resnet_manual_none,3,18,1,20.00093968157056
resnet_manual_none,3,19,1,9.272024938877536
resnet_manual_none,4,1,1,6.8130232420059045
resnet_manual_none,4,2,1,14.284223322621848
resnet_manual_none,4,3,1,19.791699786143447
resnet_manual_none,4,4,1,24.985153758037978
resnet_manual_none,4,5,1,28.745237364046528
resnet_manual_none,4,6,1,31.053244716719053
resnet_manual_none,4,7,1,34.230572479346314
resnet_manual_none,4,8,1,38.382064300506364
resnet_manual_none,4,9,1,37.69823644933408
resnet_manual_none,4,10,1,39.604830102618486
resnet_manual_none,4,11,1,41.481915738651374
resnet_manual_none,4,12,1,42.507559455706605
resnet_manual_none,4,13,1,41.31586381943986
resnet_manual_none,4,14,1,30.265253354279196
resnet_manual_none,4,15,1,42.83829211962404
resnet_manual_none,4,16,1,44.842784633028714
resnet_manual_none,4,17,1,39.07621137507689
resnet_manual_none,4,18,1,25.9619702232946
resnet_manual_none,4,19,1,8.11579912921242
resnet_manual_none,5,1,1,8.257274421926681
resnet_manual_none,5,2,1,14.460263588510958
resnet_manual_none,5,3,1,19.929321432341062
resnet_manual_none,5,4,1,24.89766222060477
resnet_manual_none,5,5,1,28.77355408083865
resnet_manual_none,5,6,1,32.3928315224562
resnet_manual_none,5,7,1,34.96548025563984
resnet_manual_none,5,8,1,38.476250426684935
resnet_manual_none,5,9,1,36.81373629533979
resnet_manual_none,5,10,1,39.808493856696536
resnet_manual_none,5,11,1,38.90298005007403
resnet_manual_none,5,12,1,41.67047467849769
resnet_manual_none,5,13,1,41.44158840697035
resnet_manual_none,5,14,1,42.70855831754167
resnet_manual_none,5,15,1,42.94937024854355
resnet_manual_none,5,16,1,45.0132579296964
resnet_manual_none,5,17,1,39.81288412293774
resnet_manual_none,5,18,1,25.667457674571587
resnet_manual_none,5,19,1,9.32798810713508
resnet_manual_none,6,1,1,6.682830307070442
resnet_manual_none,6,2,1,14.328744871759042
resnet_manual_none,6,3,1,19.90555490583134
resnet_manual_none,6,4,1,24.913781948352735
resnet_manual_none,6,5,1,28.834283982433163
resnet_manual_none,6,6,1,32.46234755581949
resnet_manual_none,6,7,1,35.27422760918709
resnet_manual_none,6,8,1,36.5958439506595
resnet_manual_none,6,9,1,37.450815104873016
resnet_manual_none,6,10,1,39.46244124808373
resnet_manual_none,6,11,1,41.39234434248415
resnet_manual_none,6,12,1,42.03293790900988
resnet_manual_none,6,13,1,41.54934229890211
resnet_manual_none,6,14,1,42.74102938103236
resnet_manual_none,6,15,1,42.45634444345985
resnet_manual_none,6,16,1,44.72287278615118
resnet_manual_none,6,17,1,39.40291610989972
resnet_manual_none,6,18,1,26.56948735262537
resnet_manual_none,6,19,1,9.268352915000197
resnet_manual_none,7,1,1,7.430722728321225
resnet_manual_none,7,2,1,14.31217645662954
resnet_manual_none,7,3,1,19.994166460367545
resnet_manual_none,7,4,1,24.73587843247796
resnet_manual_none,7,5,1,29.04488902018532
resnet_manual_none,7,6,1,32.53035231961194
resnet_manual_none,7,7,1,35.53038513793569
resnet_manual_none,7,8,1,38.397472482353116
resnet_manual_none,7,9,1,37.38741395410599
resnet_manual_none,7,10,1,39.58545135352086
resnet_manual_none,7,11,1,41.476420179307105
resnet_manual_none,7,12,1,29.038121433121887
resnet_manual_none,7,13,1,41.22480783873658
resnet_manual_none,7,14,1,42.81060533286629
resnet_manual_none,7,15,1,43.02020468021767
resnet_manual_none,7,16,1,44.47362982383047
resnet_manual_none,7,17,1,39.39303574191953
resnet_manual_none,7,18,1,27.566865164739664
resnet_manual_none,7,19,1,9.224222502187484
resnet_manual_none,8,1,1,7.791632426914767
resnet_manual_none,8,2,1,14.262227363544659
resnet_manual_none,8,3,1,19.86220044155038
resnet_manual_none,8,4,1,24.950817323788947
resnet_manual_none,8,5,1,26.893285370007355
resnet_manual_none,8,6,1,32.79733005182839
resnet_manual_none,8,7,1,35.147203729552245
resnet_manual_none,8,8,1,38.23047415932088
resnet_manual_none,8,9,1,37.65820871311168
resnet_manual_none,8,10,1,39.37250679007311
resnet_manual_none,8,11,1,41.698558650811506
resnet_manual_none,8,12,1,42.34697121247472
resnet_manual_none,8,13,1,41.298933341893424
resnet_manual_none,8,14,1,42.26798105240292
resnet_manual_none,8,15,1,42.59582818002948
resnet_manual_none,8,16,1,45.04426730812664
resnet_manual_none,8,17,1,39.25219264097798
resnet_manual_none,8,18,1,25.102256009298625
resnet_manual_none,8,19,1,9.32758558824088
resnet_manual_none,9,1,1,7.235623839939259
resnet_manual_none,9,2,1,14.430312921225449
resnet_manual_none,9,3,1,18.689508198973858
resnet_manual_none,9,4,1,25.0204787041306
