benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
resnet_manual_none,1,1,1,119.90642314776778,152.2777771530673,170.63735704869032
resnet_manual_none,1,2,1,69.0541910007596,71.04662193916738,106.73174285329878
resnet_manual_none,1,3,1,49.77887403219938,51.229012061376125,70.254011079669
resnet_manual_none,1,4,1,39.70146388746798,40.96150182420388,59.895992977544665
resnet_manual_none,1,5,1,34.454530104994774,35.20952025661245,53.43973101116717
resnet_manual_none,1,6,1,30.77023709192872,31.48158061085269,44.05106115154922
resnet_manual_none,1,7,1,28.33488187752664,28.97113528335467,41.287670843303204
resnet_manual_none,1,8,1,26.130646001547575,26.737958586309105,35.474224016070366
resnet_manual_none,1,9,1,26.52214583940804,27.087976587936282,36.509832832962275
resnet_manual_none,1,10,1,25.275443214923143,25.80680351704359,37.205275148153305
resnet_manual_none,1,11,1,24.163705995306373,24.79008563561365,32.12912706658244
resnet_manual_none,1,12,1,23.494673892855644,24.541243189014494,34.41314701922238
resnet_manual_none,1,13,1,24.111012928187847,24.537611377891153,32.83813898451626
resnet_manual_none,1,14,1,23.74294213950634,24.15643691783771,31.640466069802642
resnet_manual_none,1,15,1,23.44859391450882,23.91056526452303,33.807722851634026
resnet_manual_none,1,16,1,22.451942088082433,22.989066396839917,29.114532051607966
resnet_manual_none,1,17,1,22.874533897265792,23.33340606885031,28.81974307820201
resnet_manual_none,1,18,1,22.84657396376133,23.235064577311277,29.750212095677853
resnet_manual_none,1,1,8,841.8895269278437,902.7186045586132,1170.6911260262132
resnet_manual_none,1,2,8,441.9718920253217,483.4498548367992,665.3726589865983
resnet_manual_none,1,3,8,300.5355899222195,350.50845704972744,455.30965784564614
resnet_manual_none,1,4,8,229.64071901515126,251.5313051524572,330.9984700754285
resnet_manual_none,1,5,8,198.44725797884166,224.28716420661658,283.4207739215344
resnet_manual_none,1,6,8,188.87749989517033,198.15397752681747,242.03564901836216
resnet_manual_none,1,7,8,146.29012905061245,158.94309372408316,222.68132818862796
resnet_manual_none,1,8,8,127.02964805066586,138.40800451114774,178.84276597760618
resnet_manual_none,1,9,8,119.48574101552367,138.58729471452534,166.61277995444834
resnet_manual_none,1,10,8,112.93120100162923,137.18874087790027,166.90564597956836
resnet_manual_none,1,11,8,107.83619293943048,126.57685059355572,165.3503451962024
resnet_manual_none,1,12,8,100.32268310897052,117.16242131777108,146.66310511529446
resnet_manual_none,1,13,8,101.14775109104812,106.64137732703239,136.30910613574088
resnet_manual_none,1,14,8,93.60688691958785,107.57168448064476,135.37832000292838
resnet_manual_none,1,15,8,90.8218699041754,107.89851940702647,140.32532880082726
resnet_manual_none,1,16,8,86.40662487596273,96.5460101235658,126.93916307762265
resnet_manual_none,1,17,8,98.42062601819634,102.48688685242087,125.58195600286126
resnet_manual_none,1,18,8,83.39343988336623,96.44002705812454,114.32602209970355
resnet_manual_none,1,1,16,1767.7289438433945,2350.74838911416,2730.4036270361394
resnet_manual_none,1,2,16,878.1656879000366,1195.3415514528751,1465.7745859585702
resnet_manual_none,1,3,16,597.718131961301,893.8600546889938,1039.83264695853
resnet_manual_none,1,4,16,498.1721139047295,705.2237531449646,809.6702098846436
resnet_manual_none,1,5,16,376.7691389657557,527.9771592910402,699.44116496481
resnet_manual_none,1,6,16,328.6337850149721,476.96101831039414,603.8986130151898
resnet_manual_none,1,7,16,291.82450799271464,426.13502056337893,511.5576828829944
resnet_manual_none,1,8,16,263.05993809364736,363.12102236784995,474.77981308475137
resnet_manual_none,1,9,16,241.93181307055056,343.47623985726386,441.76633609458804
resnet_manual_none,1,10,16,241.4754459168762,354.5492289401591,418.206392088905
resnet_manual_none,1,11,16,211.00243995897472,274.86394265899435,421.2081120349467
resnet_manual_none,1,12,16,193.291368894279,286.9279636675492,385.27515693567693
resnet_manual_none,1,13,16,214.13688897155225,331.07190219918266,375.5754299927503
resnet_manual_none,1,14,16,196.3245349470526,283.5363640799187,369.87076816149056
resnet_manual_none,1,15,16,178.2240280881524,272.241241785232,373.6344601493329
resnet_manual_none,1,16,16,178.6853119265288,248.24525396805257,340.4283409472555
resnet_manual_none,1,17,16,169.11869891919196,236.0104579734616,345.05351097323
resnet_manual_none,1,18,16,169.40607712604105,254.7350923367776,342.2472900711
resnet_manual_none,1,1,32,3509.690172970295,3935.871827919036,5843.724590959027
resnet_manual_none,1,2,32,1753.9307181723416,2482.2632147721015,3081.7369029391557
resnet_manual_none,1,3,32,1166.9786388520151,1293.1947303982452,2141.0113039892167
resnet_manual_none,1,4,32,954.2171850334853,1093.6691954405978,1630.5453630629927
resnet_manual_none,1,5,32,740.5674790497869,958.2774992682971,1337.2019848320633
resnet_manual_none,1,6,32,675.33695907332,843.0123217194341,1186.8846251163632
resnet_manual_none,1,7,32,565.8372901380062,600.1238419371657,1047.7149540092796
resnet_manual_none,1,8,32,542.8229789249599,702.780588096939,960.9587688464671
resnet_manual_none,1,9,32,484.4748910982162,551.506994520314,922.781506087631
resnet_manual_none,1,10,32,448.34517291747034,539.5279310457408,788.4161670226604
resnet_manual_none,1,11,32,413.961827987805,513.939922763966,759.9861409980804
resnet_manual_none,1,12,32,423.54895803146064,621.6886971471831,797.27040999569
resnet_manual_none,1,13,32,394.51807900331914,524.9966849503107,744.3357689771801
resnet_manual_none,1,14,32,375.85427495650947,607.2533350298181,782.8626879490912
resnet_manual_none,1,15,32,351.2244860175997,443.38975412305444,640.8441581297666
resnet_manual_none,1,16,32,338.8759840745479,388.03768063429743,622.1499920357019
resnet_manual_none,1,17,32,400.3218379803002,428.7849926413037,603.3228328451514
resnet_manual_none,1,18,32,320.2815852127969,341.0755360336043,611.439717002213
resnet_manual_script,1,1,1,79.38771601766348,79.92859316524118,82.8252169303596
resnet_manual_script,1,2,1,41.91775480285287,42.38356688991189,59.63049782440066
resnet_manual_script,1,3,1,29.418496880680323,30.03722808789462,42.3546158708632
resnet_manual_script,1,4,1,22.765074856579304,23.198637273162603,37.819093093276024
resnet_manual_script,1,5,1,19.36864899471402,19.624808807857335,32.41635765880346
resnet_manual_script,1,6,1,18.09945097193122,18.375045796856284,26.74760902300477
resnet_manual_script,1,7,1,15.11761685833335,15.381987257860601,22.094957996159792
resnet_manual_script,1,8,1,13.540104031562805,13.73019284568727,21.093348041176796
resnet_manual_script,1,9,1,14.161913190037012,14.348393445834517,24.702169932425022
resnet_manual_script,1,10,1,13.236967381089926,13.424607384949923,23.767633829265833
resnet_manual_script,1,11,1,12.449869886040688,12.671053023077548,21.858724299818277
resnet_manual_script,1,12,1,11.813574004918337,12.099871346727014,19.725810270756483
resnet_manual_script,1,13,1,12.187674175947905,12.368309111334383,22.34867215156555
resnet_manual_script,1,14,1,11.635436676442623,11.819690666161478,23.795544169843197
resnet_manual_script,1,15,1,11.57937292009592,11.79868611972779,20.73342213407159
resnet_manual_script,1,16,1,10.83372998982668,11.01646937429905,22.333045955747366
resnet_manual_script,1,17,1,10.90953778475523,11.136262621730566,27.71496493369341
resnet_manual_script,1,18,1,10.723380837589502,10.997974136844277,27.008420787751675
resnet_manual_script,1,1,8,596.3602205738425,611.8949836306274,632.9750567674637
resnet_manual_script,1,2,8,319.87600261345506,322.83262975048274,356.1693341471255
resnet_manual_script,1,3,8,202.18700636178255,204.39964344259351,236.0102040693164
resnet_manual_script,1,4,8,152.26764138787985,155.49273520242423,183.49209195002913
resnet_manual_script,1,5,8,126.1217170394957,130.46101476531476,152.31510624289513
resnet_manual_script,1,6,8,108.34242310374975,109.73528419155627,134.430848993361
resnet_manual_script,1,7,8,102.4637813679874,103.23114201892167,118.70254622772336
resnet_manual_script,1,8,8,79.91606509312987,81.53239448554814,106.04351898655295
resnet_manual_script,1,9,8,73.41700280085206,74.59119007457048,94.51340092346072
resnet_manual_script,1,10,8,66.59071939066052,67.33255411032587,88.05810334160924
resnet_manual_script,1,11,8,61.93225225433707,64.94526670314372,88.30383606255054
resnet_manual_script,1,12,8,57.11930198594928,57.85125661175698,76.25993201509118
resnet_manual_script,1,13,8,57.82191036269069,58.50382990669459,80.75475785881281
resnet_manual_script,1,14,8,54.12703985348344,54.562539253383875,77.59615313261747
resnet_manual_script,1,15,8,51.4140073210001,52.93556920718402,70.61783783137798
resnet_manual_script,1,16,8,48.160717356950045,48.563217795453966,58.509407099336386
resnet_manual_script,1,17,8,46.68740788474679,47.872946755960584,66.8302932754159
resnet_manual_script,1,18,8,49.45217818021774,49.93134358897805,64.34333510696888
resnet_manual_script,1,1,16,1356.7792209796607,1359.0867615211755,1362.739710137248
resnet_manual_script,1,2,16,673.9416872151196,687.3908291105181,731.2756022438407
resnet_manual_script,1,3,16,454.452165402472,467.0655374741182,497.7341000922024
resnet_manual_script,1,4,16,377.0204661414027,380.6009224522859,405.32440925017
resnet_manual_script,1,5,16,293.5164556838572,295.6336725084111,319.9926419183612
resnet_manual_script,1,6,16,254.0105772204697,257.39426410757005,279.1967811062932
resnet_manual_script,1,7,16,224.57666089758277,227.46597047895193,248.8295598886907
resnet_manual_script,1,8,16,190.87926298379898,193.1938493065536,216.6068977676332
resnet_manual_script,1,9,16,182.82506242394447,185.04323238972574,205.38380183279514
resnet_manual_script,1,10,16,161.79739637300372,163.8260071678087,186.35521177202463
resnet_manual_script,1,11,16,151.44821209833026,154.35098234098405,175.38923490792513
resnet_manual_script,1,12,16,139.0513158403337,141.52586137410253,163.78109529614449
resnet_manual_script,1,13,16,140.14138793572783,142.43979748804122,166.8829103000462
resnet_manual_script,1,14,16,138.31283478066325,141.3400344317779,165.45367799699306
resnet_manual_script,1,15,16,111.62370210513473,119.41914761904627,148.02012871950865
resnet_manual_script,1,16,16,119.40846312791109,122.78994113672525,149.02655314654112
resnet_manual_script,1,17,16,123.75396117568016,127.4590674135834,150.2756210975349
resnet_manual_script,1,18,16,97.78213081881404,106.72525912057608,125.84310816600919
resnet_manual_script,1,1,32,2984.4490312971175,3063.505161399953,3083.098121918738
resnet_manual_script,1,2,32,1534.924788866192,1588.4033075161278,1629.0628970600665
resnet_manual_script,1,3,32,1011.4691820926964,1057.7270925976336,1109.957848675549
resnet_manual_script,1,4,32,790.5499562621117,798.1673849700019,821.20371889323
resnet_manual_script,1,5,32,673.3085680752993,695.0414841016755,722.0496037043631
resnet_manual_script,1,6,32,568.1817498989403,584.9936099676415,618.3979520574212
resnet_manual_script,1,7,32,496.46163173019886,502.110343282111,519.9034521356225
resnet_manual_script,1,8,32,421.29941983148456,444.2775106988847,479.10606022924185
resnet_manual_script,1,9,32,415.25936173275113,418.8747350824997,437.426945194602
resnet_manual_script,1,10,32,377.8574191965163,390.0240598106757,405.9467250481248
resnet_manual_script,1,11,32,335.28545685112476,343.1024287873879,365.4064410366118
resnet_manual_script,1,12,32,310.3011338971555,320.30827896203846,353.59014198184013
resnet_manual_script,1,13,32,316.26417534425855,320.0268917437643,340.9122652374208
resnet_manual_script,1,14,32,300.0585651025176,304.9914083490148,326.00222202017903
resnet_manual_script,1,15,32,288.97841088473797,302.9102928750217,339.2851580865681
resnet_manual_script,1,16,32,286.14563308656216,297.7063224138692,322.4387327209115
resnet_manual_script,1,17,32,265.04268776625395,279.1611202945933,313.78857512027025
resnet_manual_script,1,18,32,232.11292456835508,234.6805807808414,254.64366003870964
