benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,1,1,1,6.5669463968784845
resnet_manual_none,1,2,1,14.075264561575288
resnet_manual_none,1,3,1,19.520189044479842
resnet_manual_none,1,4,1,24.41316737583842
resnet_manual_none,1,5,1,28.401409411768316
resnet_manual_none,1,6,1,31.76460586147535
resnet_manual_none,1,7,1,34.51711471502288
resnet_manual_none,1,8,1,37.40001304781883
resnet_manual_none,1,9,1,36.9167477959706
resnet_manual_none,1,10,1,38.749471601144634
resnet_manual_none,1,11,1,40.33870696127775
resnet_manual_none,1,12,1,40.747731983179825
resnet_manual_none,1,13,1,40.75376305376727
resnet_manual_none,1,14,1,41.39683362249402
resnet_manual_none,1,15,1,41.82251606923472
resnet_manual_none,1,16,1,43.498939136452286
resnet_manual_none,1,17,1,42.8570092617118
resnet_manual_none,1,18,1,43.03839985779451
resnet_manual_none,1,1,8,8.862119335528288
resnet_manual_none,1,2,8,16.547734827018623
resnet_manual_none,1,3,8,22.823985667384402
resnet_manual_none,1,4,8,31.805186217878806
resnet_manual_none,1,5,8,35.6685592253968
resnet_manual_none,1,6,8,40.37264404100749
resnet_manual_none,1,7,8,50.33247945889099
resnet_manual_none,1,8,8,57.80012527639367
resnet_manual_none,1,9,8,57.72534932930991
resnet_manual_none,1,10,8,58.313823341524085
resnet_manual_none,1,11,8,63.20271015186165
resnet_manual_none,1,12,8,68.28127918509114
resnet_manual_none,1,13,8,75.0177857837184
resnet_manual_none,1,14,8,74.36901298537748
resnet_manual_none,1,15,8,74.14374213812457
resnet_manual_none,1,16,8,82.86204670458247
resnet_manual_none,1,17,8,78.05876679150032
resnet_manual_none,1,18,8,82.95310820659962
resnet_manual_none,1,1,16,6.8063430667836515
resnet_manual_none,1,2,16,13.385295592337467
resnet_manual_none,1,3,16,17.89989374294948
resnet_manual_none,1,4,16,22.687834788104574
resnet_manual_none,1,5,16,30.304341236057564
resnet_manual_none,1,6,16,33.54571838318998
resnet_manual_none,1,7,16,37.54678500454371
resnet_manual_none,1,8,16,44.062444789527035
resnet_manual_none,1,9,16,46.58255257088238
resnet_manual_none,1,10,16,45.127724710693094
resnet_manual_none,1,11,16,58.2106181160697
resnet_manual_none,1,12,16,55.76312533461707
resnet_manual_none,1,13,16,48.32787045266658
resnet_manual_none,1,14,16,56.43015156775508
resnet_manual_none,1,15,16,58.77140397641228
resnet_manual_none,1,16,16,64.45239030454572
resnet_manual_none,1,17,16,67.79360600113378
resnet_manual_none,1,18,16,62.810348795001836
resnet_manual_none,1,1,32,8.130346057767577
resnet_manual_none,1,2,32,12.891461231655864
resnet_manual_none,1,3,32,24.7449198854572
resnet_manual_none,1,4,32,29.25930448933273
resnet_manual_none,1,5,32,33.39324989309875
resnet_manual_none,1,6,32,37.95911302308347
resnet_manual_none,1,7,32,53.32232743279423
resnet_manual_none,1,8,32,45.533414755596574
resnet_manual_none,1,9,32,58.022836188746325
resnet_manual_none,1,10,32,59.31110913567709
resnet_manual_none,1,11,32,62.26408687596048
resnet_manual_none,1,12,32,51.47270675314222
resnet_manual_none,1,13,32,60.952765831328435
resnet_manual_none,1,14,32,52.696293546792454
resnet_manual_none,1,15,32,72.171266256006
resnet_manual_none,1,16,32,82.46621809431468
resnet_manual_none,1,17,32,74.62947759174332
resnet_manual_none,1,18,32,93.82085966097321
resnet_manual_script,1,1,1,12.511167285687613
resnet_manual_script,1,2,1,23.59405008543581
resnet_manual_script,1,3,1,33.29202005836925
resnet_manual_script,1,4,1,43.10598024466085
resnet_manual_script,1,5,1,50.9559104392203
resnet_manual_script,1,6,1,54.42163306994784
resnet_manual_script,1,7,1,65.01110573271173
resnet_manual_script,1,8,1,72.832188974979
resnet_manual_script,1,9,1,69.69421376511738
resnet_manual_script,1,10,1,74.49007418429841
resnet_manual_script,1,11,1,78.92003909846474
resnet_manual_script,1,12,1,82.6455068276819
resnet_manual_script,1,13,1,80.8517955848625
resnet_manual_script,1,14,1,84.60458300003519
resnet_manual_script,1,15,1,84.75519984619027
resnet_manual_script,1,16,1,90.77318385988139
resnet_manual_script,1,17,1,89.79673288672863
resnet_manual_script,1,18,1,90.9258366638546
resnet_manual_script,1,1,8,13.074138886598927
resnet_manual_script,1,2,8,24.780642545901255
resnet_manual_script,1,3,8,39.13901152301585
resnet_manual_script,1,4,8,51.449348997465414
resnet_manual_script,1,5,8,61.321000870575276
resnet_manual_script,1,6,8,72.90271364345335
resnet_manual_script,1,7,8,77.49599436315106
resnet_manual_script,1,8,8,98.12050842463634
resnet_manual_script,1,9,8,107.25127179231517
resnet_manual_script,1,10,8,118.81325616865541
resnet_manual_script,1,11,8,123.18064742988814
resnet_manual_script,1,12,8,138.2856737873206
resnet_manual_script,1,13,8,136.74318438226828
resnet_manual_script,1,14,8,146.6207421698002
resnet_manual_script,1,15,8,151.12711773607037
resnet_manual_script,1,16,8,164.73372983016964
resnet_manual_script,1,17,8,167.10899458061735
resnet_manual_script,1,18,8,160.22000260705855
resnet_manual_script,1,1,16,11.772611177590894
resnet_manual_script,1,2,16,23.27642342959966
resnet_manual_script,1,3,16,34.25643451779317
resnet_manual_script,1,4,16,42.03878408099718
resnet_manual_script,1,5,16,54.12103386005457
resnet_manual_script,1,6,16,62.16144736354067
resnet_manual_script,1,7,16,70.34019183753257
resnet_manual_script,1,8,16,82.81837158600081
resnet_manual_script,1,9,16,86.46628030309081
resnet_manual_script,1,10,16,97.66459109029637
resnet_manual_script,1,11,16,103.65985209380555
resnet_manual_script,1,12,16,113.05354261512943
resnet_manual_script,1,13,16,112.328157454333
resnet_manual_script,1,14,16,113.20217986590976
resnet_manual_script,1,15,16,133.9818640394327
resnet_manual_script,1,16,16,130.30383313063223
resnet_manual_script,1,17,16,125.53049637561422
resnet_manual_script,1,18,16,149.91764959711662
resnet_manual_script,1,1,32,10.445551195146908
resnet_manual_script,1,2,32,20.146016977287797
resnet_manual_script,1,3,32,30.253550489486244
resnet_manual_script,1,4,32,40.091841138312965
resnet_manual_script,1,5,32,46.04041734481394
resnet_manual_script,1,6,32,54.701452212050754
resnet_manual_script,1,7,32,63.73101137655868
resnet_manual_script,1,8,32,72.02705342807334
resnet_manual_script,1,9,32,76.39515425464232
resnet_manual_script,1,10,32,82.04622047043289
resnet_manual_script,1,11,32,93.26660878821586
resnet_manual_script,1,12,32,99.90375554355403
resnet_manual_script,1,13,32,99.991597036231
resnet_manual_script,1,14,32,104.92098834266511
resnet_manual_script,1,15,32,105.6418377080469
resnet_manual_script,1,16,32,107.4884797223548
resnet_manual_script,1,17,32,114.62914307777181
resnet_manual_script,1,18,32,136.35555142026638
