benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_none,sequential,1,1,1,118.70316602289677,126.42937568947674,157.5861368328333,64.82530645512136
resnet_manual_none,sequential,1,2,1,68.60301457345486,70.13945765793324,103.37578319013119,116.8503906028278
resnet_manual_none,sequential,1,3,1,49.491997808218,50.91308441013098,69.24327835440636,160.97675320509845
resnet_manual_none,sequential,1,4,1,39.40312936902046,40.32978229224682,55.83973042666912,203.22011571026016
resnet_manual_none,sequential,1,5,1,34.062692895531654,34.673590026795864,49.73028413951397,236.37076569418514
resnet_manual_none,sequential,1,6,1,30.256565660238266,30.698397792875767,41.99917055666447,266.9788527498337
resnet_manual_none,sequential,1,7,1,28.036553412675858,28.682680893689394,42.04265400767326,285.7411779037433
resnet_manual_none,sequential,1,8,1,25.76158381998539,26.333798747509718,37.24990226328373,311.2282850864821
resnet_manual_none,sequential,1,9,1,26.393499225378036,26.92738499492407,38.12289424240589,304.3675806449438
resnet_manual_none,sequential,1,10,1,24.774527177214622,25.34438518807292,33.34546834230423,323.3782537308089
resnet_manual_none,sequential,1,11,1,23.95818382501602,24.47010286152363,33.81972201168537,334.9321034889057
resnet_manual_none,sequential,1,12,1,23.244839161634445,24.4922586530447,33.839963376522064,334.62912261794014
resnet_manual_none,sequential,1,13,1,23.97778630256653,24.457171354442835,32.741449773311615,335.10919579467907
resnet_manual_none,sequential,1,14,1,23.449260741472244,23.825686369091272,34.171972423791885,343.9910564185184
resnet_manual_none,sequential,1,15,1,23.327626287937164,25.515565164387226,33.723171800374985,321.20875909263157
resnet_manual_none,sequential,1,16,1,22.222384810447693,22.617200333625078,29.014134779572487,362.37124414621906
resnet_manual_none,sequential,1,17,1,22.615982219576836,23.019127044826746,30.98822385072708,356.0440414634188
resnet_manual_none,sequential,1,18,1,22.62445166707039,23.086627442389727,33.15083868801594,355.0030442710535
resnet_manual_none,sequential,1,1,8,819.96700912714,863.5131921432912,1126.1105369776487,75.92773641044758
resnet_manual_none,sequential,1,2,8,448.1770917773247,480.2061627432704,640.4838860034943,136.53427866366718
resnet_manual_none,sequential,1,3,8,299.07146841287613,363.96879967302084,456.3988484442234,180.1379736364803
resnet_manual_none,sequential,1,4,8,233.4131971001625,279.9675719253719,357.67466202378273,234.18641519481724
resnet_manual_none,sequential,1,5,8,197.60746508836746,210.22021042183042,278.99910137057304,311.88534113079464
resnet_manual_none,sequential,1,6,8,165.2324851602316,197.4896178394556,267.8407318890095,331.99012058091654
resnet_manual_none,sequential,1,7,8,159.1182891279459,165.7017438672483,210.3397250175476,395.67840693654364
resnet_manual_none,sequential,1,8,8,128.09899263083935,133.71323922649026,179.80993539094925,490.33739979138005
resnet_manual_none,sequential,1,9,8,123.1588963419199,139.75845703855157,163.03030401468277,469.1279757182378
resnet_manual_none,sequential,1,10,8,108.95120725035667,129.66063737869263,182.0447389036417,505.66311692969015
resnet_manual_none,sequential,1,11,8,105.48686608672142,122.16555207967758,149.38415586948395,536.6864956926493
resnet_manual_none,sequential,1,12,8,98.67778606712818,114.87966824322939,141.46661944687366,570.7241589624293
resnet_manual_none,sequential,1,13,8,98.34560751914978,100.8421965315938,143.18552240729332,650.1703086114219
resnet_manual_none,sequential,1,14,8,94.54377740621567,113.24491640552878,134.46456380188465,578.9628719863583
resnet_manual_none,sequential,1,15,8,90.35010077059269,106.62660183385015,135.19781455397606,614.8991050297692
resnet_manual_none,sequential,1,16,8,96.89286909997463,100.57372037321329,129.52497974038124,651.9059034179113
resnet_manual_none,sequential,1,17,8,93.46915408968925,96.5969666838646,121.18148989975452,678.7439014992569
resnet_manual_none,sequential,1,18,8,92.61170029640198,96.38550093397498,109.31570455431938,680.2330371755022
resnet_manual_none,sequential,1,1,16,1716.8763224035501,2147.5062443315983,2687.4568220227957,59.272906491882225
resnet_manual_none,sequential,1,2,16,905.7430624961853,1216.6127915680408,1429.0750678628683,104.62567687369345
resnet_manual_none,sequential,1,3,16,600.0040993094444,844.6175240539014,1009.3264207243919,150.7060097451598
resnet_manual_none,sequential,1,4,16,458.29796604812145,697.0629349723458,803.632790222764,182.60752426328602
resnet_manual_none,sequential,1,5,16,372.7152068167925,533.4939644671977,669.4274917244911,238.5948957044414
resnet_manual_none,sequential,1,6,16,324.14115592837334,470.46705013141036,595.6166405230761,270.5586645769258
resnet_manual_none,sequential,1,7,16,291.815223172307,420.3770122304559,523.0143964290619,302.7970919142901
resnet_manual_none,sequential,1,8,16,261.84349320828915,379.43320957943797,480.9876047074795,335.4712597563257
resnet_manual_none,sequential,1,9,16,234.62016321718693,343.7935124896467,458.1576846539974,370.24822222273116
resnet_manual_none,sequential,1,10,16,223.40046428143978,324.66149363666773,420.56407406926155,392.06662725900736
resnet_manual_none,sequential,1,11,16,213.08385580778122,328.64920070394874,418.7219310551882,387.30943674396286
resnet_manual_none,sequential,1,12,16,200.4427220672369,216.79928611963987,350.6912812590599,587.1280256003984
resnet_manual_none,sequential,1,13,16,193.82190331816673,283.6152934655547,387.67814449965954,448.80843785125194
resnet_manual_none,sequential,1,14,16,193.47501732409,306.0223118774593,375.11331774294376,415.9465890904399
resnet_manual_none,sequential,1,15,16,185.34838035702705,249.6768824569881,361.66308261454105,509.81466749500964
resnet_manual_none,sequential,1,16,16,170.18711753189564,260.5491931550205,366.8059892952442,488.54089805323696
resnet_manual_none,sequential,1,17,16,174.49988797307014,244.26565712317824,358.99390280246735,521.108609004379
resnet_manual_none,sequential,1,18,16,179.45462465286255,257.5462136603892,331.2553483992815,494.2372671758565
resnet_manual_none,sequential,1,1,32,3378.14187631011,3841.572068184614,5658.464020118117,66.26914938479966
resnet_manual_none,sequential,1,2,32,1728.344613686204,2067.661476638168,2992.6207810640335,123.12349779467793
resnet_manual_none,sequential,1,3,32,1174.2269918322563,1470.5408630147576,2055.2922021597624,173.11842170580007
resnet_manual_none,sequential,1,4,32,896.3364902883768,1175.7863345369697,1638.905517756939,216.51698593627043
resnet_manual_none,sequential,1,5,32,735.718509182334,897.0911485888064,1375.1214612275362,283.78132329080535
resnet_manual_none,sequential,1,6,32,655.6343510746956,812.5977714173496,1178.1493909657001,313.2887170179662
resnet_manual_none,sequential,1,7,32,571.4679136872292,886.273488625884,1037.7014428377151,287.2450959282422
resnet_manual_none,sequential,1,8,32,497.3482210189104,837.1728187613189,941.0344660282135,304.0921868864224
resnet_manual_none,sequential,1,9,32,584.7818236798048,710.2074088715017,853.8485933095217,358.4554456613123
resnet_manual_none,sequential,1,10,32,435.52665784955025,695.5671232752502,894.6176767349243,366.00021010230864
resnet_manual_none,sequential,1,11,32,420.0082365423441,613.9694170840085,745.2782317996025,414.64233588065923
resnet_manual_none,sequential,1,12,32,386.6893909871578,484.59960360080004,759.2267151921988,525.3361978989859
resnet_manual_none,sequential,1,13,32,375.51356106996536,386.8656321801245,696.1850114166737,658.0520265508328
resnet_manual_none,sequential,1,14,32,367.9137285798788,435.61098989099264,676.4256618916988,584.4152676742742
resnet_manual_none,sequential,1,15,32,391.4478234946728,513.7349212728441,704.304825514555,495.54293998206526
resnet_manual_none,sequential,1,16,32,343.51586550474167,432.04954689368606,629.8413705080748,589.2326819674773
resnet_manual_none,sequential,1,17,32,330.4108753800392,424.0767645277083,613.5638784617186,600.3104497897253
resnet_manual_none,sequential,1,18,32,320.13779506087303,560.3541249968112,628.2671801745892,454.3157655178299
resnet_manual_script,sequential,1,1,1,79.04821075499058,79.40243005752563,82.35408738255501,100.00342475976163
resnet_manual_script,sequential,1,2,1,41.71940125524998,42.290361542254686,59.97902154922485,187.76181263114017
resnet_manual_script,sequential,1,3,1,29.41652201116085,29.877215903252363,37.70235739648342,265.77158212173356
resnet_manual_script,sequential,1,4,1,22.807233035564423,23.185001015663147,33.7070245295763,342.48499427002855
resnet_manual_script,sequential,1,5,1,19.54212598502636,19.790697284042835,26.56107395887375,401.2246171034311
resnet_manual_script,sequential,1,6,1,16.822876408696175,17.091678325086832,27.738891541957855,464.5836873927745
resnet_manual_script,sequential,1,7,1,15.316063538193703,15.559630077332258,22.854123264551163,510.32800269255654
resnet_manual_script,sequential,1,8,1,13.682223856449127,13.898780699819326,22.436508908867836,571.3101826337343
