benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,1,1,1,79.0864797309041,79.4656483316794,81.81594125926495,99.92397845742445
resnet_manual_script,sequential,1,2,1,41.80795978754759,42.247190214693546,60.14481093734503,187.9538897533188
resnet_manual_script,sequential,1,3,1,29.45642825216055,29.995479877106845,44.19257026165724,264.7240105686846
resnet_manual_script,sequential,1,4,1,22.803318686783314,23.189866174943745,37.37213183194399,342.4135211517348
resnet_manual_script,sequential,1,5,1,19.516128581017256,19.75299078039825,33.10195403173566,401.9909602691521
resnet_manual_script,sequential,1,6,1,16.697753686457872,16.93305182736367,25.396896991878748,468.93636262118923
resnet_manual_script,sequential,1,7,1,15.197931788861752,15.456584398634732,22.535176016390324,513.7308170556349
resnet_manual_script,sequential,1,8,1,13.616591226309538,13.766079181805253,21.835567895323038,576.8181068212263
resnet_manual_script,sequential,1,9,1,14.18601581826806,14.401740245521069,23.240411188453436,551.3586272651667
resnet_manual_script,sequential,1,10,1,13.238451909273863,13.408074816688895,20.690235309302807,592.2195274534499
resnet_manual_script,sequential,1,11,1,12.36490486189723,12.546141417697072,22.33590604737401,632.9056454599996
resnet_manual_script,sequential,1,12,1,11.80284097790718,12.046471936628222,17.712241038680077,659.1576167505299
resnet_manual_script,sequential,1,13,1,12.117529287934303,12.310897153802216,21.346345078200102,644.999599362876
resnet_manual_script,sequential,1,14,1,11.566701345145702,11.755498754791915,22.72953512147069,675.4731464509908
resnet_manual_script,sequential,1,15,1,11.354444082826376,11.519687077961862,18.631669227033854,689.3002976783021
resnet_manual_script,sequential,1,16,1,10.603857226669788,10.77804648783058,20.091454964131117,736.7312565375917
resnet_manual_script,sequential,1,17,1,10.889976285398006,11.110646678134799,25.03525000065565,714.6770086413203
resnet_manual_script,sequential,1,18,1,10.854797903448343,11.095102159306407,26.689944323152304,715.6782892115694
resnet_manual_script,sequential,1,1,2,153.11253629624844,153.70488908607513,155.77010018751025,103.32179340831874
resnet_manual_script,sequential,1,2,2,78.37593322619796,79.92163647897542,108.30825986340642,198.70795313579134
resnet_manual_script,sequential,1,3,2,54.129396099597216,55.00878022518009,76.14617701619864,288.7005443674698
resnet_manual_script,sequential,1,4,2,41.17806116119027,41.96814550552517,58.04528994485736,378.4075899638985
resnet_manual_script,sequential,1,5,2,34.83970696106553,35.35479433834553,54.895549081265926,449.1912650945765
resnet_manual_script,sequential,1,6,2,29.51139211654663,30.002289824187756,41.44424106925726,529.3284242323642
resnet_manual_script,sequential,1,7,2,26.04857087135315,26.306445668451488,42.433710768818855,603.6948129045679
