benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,1,1,1,12.584053877294608
resnet_manual_script,sequential,1,2,1,23.670213212243418
resnet_manual_script,sequential,1,3,1,33.33835644894017
resnet_manual_script,sequential,1,4,1,43.12228421052653
resnet_manual_script,sequential,1,5,1,50.625245114392676
resnet_manual_script,sequential,1,6,1,59.05609988059024
resnet_manual_script,sequential,1,7,1,64.69734672353157
resnet_manual_script,sequential,1,8,1,72.64232515251756
resnet_manual_script,sequential,1,9,1,69.43605307080853
resnet_manual_script,sequential,1,10,1,74.58192273474714
resnet_manual_script,sequential,1,11,1,79.70578098134946
resnet_manual_script,sequential,1,12,1,83.01185652202643
resnet_manual_script,sequential,1,13,1,81.22884851581676
resnet_manual_script,sequential,1,14,1,85.06657359751479
resnet_manual_script,sequential,1,15,1,86.80791355114887
resnet_manual_script,sequential,1,16,1,92.7811919468981
resnet_manual_script,sequential,1,17,1,90.00376206435854
resnet_manual_script,sequential,1,18,1,90.12985961208251
resnet_manual_script,sequential,1,1,2,13.011947842986276
resnet_manual_script,sequential,1,2,2,25.02451261150202
resnet_manual_script,sequential,1,3,2,36.35783218266139
resnet_manual_script,sequential,1,4,2,47.655191238714536
resnet_manual_script,sequential,1,5,2,56.56941406192303
resnet_manual_script,sequential,1,6,2,66.66157855683421
resnet_manual_script,sequential,1,7,2,76.02699449430139
resnet_manual_script,sequential,1,8,2,85.41759201645809
resnet_manual_script,sequential,1,9,2,90.9882335490992
resnet_manual_script,sequential,1,10,2,96.26389016171801
resnet_manual_script,sequential,1,11,2,101.82134388022475
resnet_manual_script,sequential,1,12,2,111.28780488311726
resnet_manual_script,sequential,1,13,2,109.12446291639615
resnet_manual_script,sequential,1,14,2,113.97128951293227
resnet_manual_script,sequential,1,15,2,116.87974696181901
resnet_manual_script,sequential,1,16,2,123.8964259312597
resnet_manual_script,sequential,1,17,2,114.6094735667115
resnet_manual_script,sequential,1,18,2,117.94108760744426
resnet_manual_script,sequential,1,1,4,13.272490283659941
resnet_manual_script,sequential,1,2,4,26.23575860970817
resnet_manual_script,sequential,1,3,4,38.527997412179126
resnet_manual_script,sequential,1,4,4,50.854335561355626
resnet_manual_script,sequential,1,5,4,61.37494311547084
resnet_manual_script,sequential,1,6,4,72.67669753210627
resnet_manual_script,sequential,1,7,4,83.10111132528326
resnet_manual_script,sequential,1,8,4,95.55314133483691
resnet_manual_script,sequential,1,9,4,103.68399979379497
resnet_manual_script,sequential,1,10,4,112.32684972606663
resnet_manual_script,sequential,1,11,4,120.92835517606461
resnet_manual_script,sequential,1,12,4,130.1147642074204
resnet_manual_script,sequential,1,13,4,129.170890444091
resnet_manual_script,sequential,1,14,4,135.40065935122018
resnet_manual_script,sequential,1,15,4,140.94485061804502
resnet_manual_script,sequential,1,16,4,151.82060793109474
resnet_manual_script,sequential,1,17,4,148.79108402281804
resnet_manual_script,sequential,1,18,4,160.23846392980815
resnet_manual_script,sequential,1,1,8,13.294890212013277
resnet_manual_script,sequential,1,2,8,25.335224640953125
resnet_manual_script,sequential,1,3,8,39.274658058049624
resnet_manual_script,sequential,1,4,8,52.25249394772965
resnet_manual_script,sequential,1,5,8,62.28600593599967
resnet_manual_script,sequential,1,6,8,72.89293751864153
resnet_manual_script,sequential,1,7,8,82.26746806394569
resnet_manual_script,sequential,1,8,8,98.91232065214956
resnet_manual_script,sequential,1,9,8,107.88117750491132
resnet_manual_script,sequential,1,10,8,108.38071439261114
resnet_manual_script,sequential,1,11,8,117.25960234303754
resnet_manual_script,sequential,1,12,8,136.29372620380192
resnet_manual_script,sequential,1,13,8,125.97785852057925
resnet_manual_script,sequential,1,14,8,145.47839432548136
resnet_manual_script,sequential,1,15,8,153.5659209233639
resnet_manual_script,sequential,1,16,8,162.24784063148533
resnet_manual_script,sequential,1,17,8,153.1829585695396
resnet_manual_script,sequential,1,18,8,177.969649111676
resnet_manual_script,sequential,1,1,16,11.529628601966131
resnet_manual_script,sequential,1,2,16,21.919458338018423
resnet_manual_script,sequential,1,3,16,32.43874432038463
resnet_manual_script,sequential,1,4,16,45.290016280749015
resnet_manual_script,sequential,1,5,16,50.9826599597463
resnet_manual_script,sequential,1,6,16,64.48297858446668
resnet_manual_script,sequential,1,7,16,71.20881323680395
resnet_manual_script,sequential,1,8,16,83.66544097966151
resnet_manual_script,sequential,1,9,16,88.07162889032489
resnet_manual_script,sequential,1,10,16,99.56045463709377
resnet_manual_script,sequential,1,11,16,106.05107075850373
resnet_manual_script,sequential,1,12,16,113.99281636139285
resnet_manual_script,sequential,1,13,16,110.74906230713276
resnet_manual_script,sequential,1,14,16,121.32032594121758
resnet_manual_script,sequential,1,15,16,117.46552357545859
resnet_manual_script,sequential,1,16,16,128.78201881772
resnet_manual_script,sequential,1,17,16,140.98908992042473
resnet_manual_script,sequential,1,18,16,140.30065252492886
resnet_manual_script,sequential,1,1,32,10.499969288645557
resnet_manual_script,sequential,1,2,32,21.97692003409956
resnet_manual_script,sequential,1,3,32,30.011210814433536
resnet_manual_script,sequential,1,4,32,38.85740638931709
resnet_manual_script,sequential,1,5,32,52.21752224906473
resnet_manual_script,sequential,1,6,32,57.45438029079396
resnet_manual_script,sequential,1,7,32,60.911155407699894
resnet_manual_script,sequential,1,8,32,75.32473876737208
resnet_manual_script,sequential,1,9,32,78.26261310527961
resnet_manual_script,sequential,1,10,32,88.61500950232842
resnet_manual_script,sequential,1,11,32,88.54960949493409
resnet_manual_script,sequential,1,12,32,98.37667162544827
resnet_manual_script,sequential,1,13,32,95.10866852268539
resnet_manual_script,sequential,1,14,32,101.50670016923397
resnet_manual_script,sequential,1,15,32,105.6279810220959
resnet_manual_script,sequential,1,16,32,111.2317766550915
resnet_manual_script,sequential,1,17,32,119.62277268951892
resnet_manual_script,sequential,1,18,32,134.4793281707607
resnet_manual_script,sequential,1,1,64,10.058598819433236
resnet_manual_script,sequential,1,2,64,19.62659866766668
resnet_manual_script,sequential,1,3,64,28.71860118440991
resnet_manual_script,sequential,1,4,64,36.50092338204805
resnet_manual_script,sequential,1,5,64,45.22285649329716
resnet_manual_script,sequential,1,6,64,50.23677056748751
resnet_manual_script,sequential,1,7,64,58.505322435077034
resnet_manual_script,sequential,1,8,64,66.8143651128604
resnet_manual_script,sequential,1,9,64,73.2417086528785
resnet_manual_script,sequential,1,10,64,80.39936363792577
resnet_manual_script,sequential,1,11,64,84.35889816924148
resnet_manual_script,sequential,1,12,64,90.18477213744963
resnet_manual_script,sequential,1,13,64,90.56926603564328
resnet_manual_script,sequential,1,14,64,94.66485070392335
resnet_manual_script,sequential,1,15,64,98.84918837198127
resnet_manual_script,sequential,1,16,64,104.67727799038735
resnet_manual_script,sequential,1,17,64,107.19897268560324
resnet_manual_script,sequential,1,18,64,111.15958775876182
resnet_manual_script,sequential,1,1,128,9.706988595069173
resnet_manual_script,sequential,1,2,128,19.338860790627724
resnet_manual_script,sequential,1,3,128,28.405755496196456
resnet_manual_script,sequential,1,4,128,36.04877279630079
resnet_manual_script,sequential,1,5,128,44.169134784037844
resnet_manual_script,sequential,1,6,128,49.83609320076117
resnet_manual_script,sequential,1,7,128,57.06171112296025
resnet_manual_script,sequential,1,8,128,66.10940192130491
resnet_manual_script,sequential,1,9,128,71.8565278870549
resnet_manual_script,sequential,1,10,128,75.64755346333959
resnet_manual_script,sequential,1,11,128,80.2404738153374
resnet_manual_script,sequential,1,12,128,88.07969458993817
resnet_manual_script,sequential,1,13,128,86.39475334073697
resnet_manual_script,sequential,1,14,128,90.50060421321375
resnet_manual_script,sequential,1,15,128,94.17933386261636
resnet_manual_script,sequential,1,16,128,101.48753427341822
resnet_manual_script,sequential,1,17,128,102.56875473688042
resnet_manual_script,sequential,1,18,128,109.12914596046386
resnet_manual_script,sequential,1,1,256,9.611508218674008
resnet_manual_script,sequential,1,2,256,18.707167888728385
resnet_manual_script,sequential,1,3,256,27.502697333444594
resnet_manual_script,sequential,1,4,256,35.80241816166181
resnet_manual_script,sequential,1,5,256,42.802550406743435
resnet_manual_script,sequential,1,6,256,49.32262045941621
resnet_manual_script,sequential,1,7,256,55.15454438343663
resnet_manual_script,sequential,1,8,256,64.1549908620763
resnet_manual_script,sequential,1,9,256,69.85698415116329
resnet_manual_script,sequential,1,10,256,74.88281015986712
resnet_manual_script,sequential,1,11,256,79.69147496525268
resnet_manual_script,sequential,1,12,256,85.70761849795993
resnet_manual_script,sequential,1,13,256,85.14482340442343
resnet_manual_script,sequential,1,14,256,90.12006720120361
resnet_manual_script,sequential,1,15,256,93.5592121656127
resnet_manual_script,sequential,1,16,256,98.48173170959805
resnet_manual_script,sequential,1,17,256,101.78571419240343
resnet_manual_script,sequential,1,18,256,105.09520176419299
resnet_manual_script,sequential,1,1,512,9.593852244923932
resnet_manual_script,sequential,1,2,512,18.583603150173136
resnet_manual_script,sequential,1,3,512,27.320612918102213
resnet_manual_script,sequential,1,4,512,35.63108996265705
resnet_manual_script,sequential,1,5,512,42.566490092726426
resnet_manual_script,sequential,1,6,512,49.007579413062956
resnet_manual_script,sequential,1,7,512,54.936811829196486
resnet_manual_script,sequential,1,8,512,64.09768377956638
resnet_manual_script,sequential,1,9,512,69.5511386056058
resnet_manual_script,sequential,1,10,512,74.70897268652789
resnet_manual_script,sequential,1,11,512,79.31680308705424
resnet_manual_script,sequential,1,12,512,85.84527576918525
resnet_manual_script,sequential,1,13,512,86.02312367994429
resnet_manual_script,sequential,1,14,512,89.66825585725393
resnet_manual_script,sequential,1,15,512,93.61088663388787
resnet_manual_script,sequential,1,16,512,98.546150622119
resnet_manual_script,sequential,1,17,512,101.84688085644869
resnet_manual_script,sequential,1,18,512,104.92336327573624
resnet_manual_script,sequential,1,1,1024,9.49499189777195
resnet_manual_script,sequential,1,2,1024,18.45092350399095
resnet_manual_script,sequential,1,3,1024,27.13384739810448
resnet_manual_script,sequential,1,4,1024,35.518415110066606
resnet_manual_script,sequential,1,5,1024,42.55157945165858
resnet_manual_script,sequential,1,6,1024,49.21277421394632
resnet_manual_script,sequential,1,7,1024,55.159445798565066
resnet_manual_script,sequential,1,8,1024,63.999215761291445
resnet_manual_script,sequential,1,9,1024,69.45219605042655
resnet_manual_script,sequential,1,10,1024,74.49753031102928
resnet_manual_script,sequential,1,11,1024,79.38383846817361
resnet_manual_script,sequential,1,12,1024,85.98382183787803
resnet_manual_script,sequential,1,13,1024,86.07078673393582
resnet_manual_script,sequential,1,14,1024,90.09221348915281
