benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_remote_script,sequential,1,1,1,11.555743252938973
resnet_remote_script,sequential,1,2,1,22.10893466362518
resnet_remote_script,sequential,1,3,1,30.94013067222459
resnet_remote_script,sequential,1,4,1,40.244644022084586
resnet_remote_script,sequential,1,5,1,47.22171892807575
resnet_remote_script,sequential,1,6,1,54.56101915985385
resnet_remote_script,sequential,1,7,1,59.39129337696191
resnet_remote_script,sequential,1,8,1,65.94451431211033
resnet_remote_script,sequential,1,9,1,60.06887628400145
resnet_remote_script,sequential,1,10,1,63.58323256856329
resnet_remote_script,sequential,1,11,1,66.9580528292078
resnet_remote_script,sequential,1,12,1,69.25724521635742
resnet_remote_script,sequential,1,13,1,67.65520698534296
resnet_remote_script,sequential,1,14,1,69.3612840440064
resnet_remote_script,sequential,1,15,1,69.74186892259814
resnet_remote_script,sequential,1,16,1,73.989165264557
resnet_remote_script,sequential,1,17,1,34.36236609387206
resnet_remote_script,sequential,1,18,1,38.97369900176067
resnet_remote_script,sequential,1,1,8,12.637707065373753
resnet_remote_script,sequential,1,2,8,24.413726571835163
resnet_remote_script,sequential,1,3,8,37.307381518200295
resnet_remote_script,sequential,1,4,8,49.32035896074061
resnet_remote_script,sequential,1,5,8,58.83365387876872
resnet_remote_script,sequential,1,6,8,68.63046587130187
resnet_remote_script,sequential,1,7,8,77.3554327142891
resnet_remote_script,sequential,1,8,8,91.4989211433445
resnet_remote_script,sequential,1,9,8,98.42678937969625
resnet_remote_script,sequential,1,10,8,108.39368036656744
resnet_remote_script,sequential,1,11,8,111.22401601185254
resnet_remote_script,sequential,1,12,8,123.49299233671857
resnet_remote_script,sequential,1,13,8,122.62651742768053
resnet_remote_script,sequential,1,14,8,126.34236586121597
resnet_remote_script,sequential,1,15,8,135.08390612088502
resnet_remote_script,sequential,1,16,8,135.00057967631506
resnet_remote_script,sequential,1,17,8,148.07551367557562
resnet_remote_script,sequential,1,18,8,153.73326521405224
resnet_remote_script,sequential,1,1,16,10.705588307162719
resnet_remote_script,sequential,1,2,16,21.418556137068183
resnet_remote_script,sequential,1,3,16,32.56021568760986
resnet_remote_script,sequential,1,4,16,42.60080794865579
resnet_remote_script,sequential,1,5,16,49.83137236991365
resnet_remote_script,sequential,1,6,16,57.43585368192841
resnet_remote_script,sequential,1,7,16,59.8349011030645
resnet_remote_script,sequential,1,8,16,74.75038008361292
resnet_remote_script,sequential,1,9,16,81.82948935495773
resnet_remote_script,sequential,1,10,16,83.29734722672539
resnet_remote_script,sequential,1,11,16,92.33285078094676
resnet_remote_script,sequential,1,12,16,102.12159925679619
resnet_remote_script,sequential,1,13,16,91.47169823996333
resnet_remote_script,sequential,1,14,16,107.74450433549015
resnet_remote_script,sequential,1,15,16,100.52179757539363
resnet_remote_script,sequential,1,16,16,114.03912253152524
resnet_remote_script,sequential,1,17,16,110.72205237943035
resnet_remote_script,sequential,1,18,16,110.34308966687514
resnet_remote_script,sequential,1,1,32,9.853707633742548
resnet_remote_script,sequential,1,2,32,18.79204446808849
