benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
resnet_manual_script,1,1,1,79.64449981227517,80.21237564273179,83.33839289844036
resnet_manual_script,1,2,1,47.59500082582235,49.359257919713855,68.04718030616641
resnet_manual_script,1,3,1,32.243015710264444,33.893752451986074,135.883669834584
resnet_manual_script,1,4,1,25.087110232561827,26.013747435063124,56.69695325195789
resnet_manual_script,1,5,1,20.795772783458233,22.000556271523237,92.45016193017364
resnet_manual_script,1,6,1,18.757754005491734,19.463149094954133,45.934418216347694
resnet_manual_script,1,7,1,16.699284315109253,17.694898750633,83.57464522123337
resnet_manual_script,1,8,1,15.640521887689829,16.28178013022989,55.82258524373174
resnet_manual_script,1,9,1,15.79045969992876,16.578836333937943,46.87438905239105
resnet_manual_script,1,10,1,15.019210055470467,15.242565027438104,24.516302160918713
resnet_manual_script,1,11,1,13.629371766000986,14.581087538972497,57.86332068964839
resnet_manual_script,1,12,1,13.40798381716013,14.09291462507099,54.05064206570387
resnet_manual_script,1,13,1,12.655858881771564,13.72561068739742,87.04666187986732
resnet_manual_script,1,14,1,12.283298186957836,13.209263202734292,76.47386705502868
resnet_manual_script,1,15,1,11.905333958566189,12.901264275424182,83.9657410979271
resnet_manual_script,1,16,1,11.527475900948048,12.19447165261954,51.2528857216239
resnet_manual_script,1,17,1,16.49148715659976,24.43187984637916,39.19782815501094
resnet_manual_script,1,18,1,15.557587146759033,104.54721410758793,1343.7359360978007
resnet_manual_script,1,1,8,595.0656430795789,596.6926515614614,599.5681202039123
resnet_manual_script,1,2,8,304.94045605883,312.4934383900836,370.54789811372757
resnet_manual_script,1,3,8,207.24422205239534,209.9583488004282,240.78099988400936
resnet_manual_script,1,4,8,152.39377412945032,162.4771928647533,295.75163405388594
resnet_manual_script,1,5,8,128.97660583257675,136.63233421277255,171.7564989812672
resnet_manual_script,1,6,8,111.40081100165844,113.50460000801831,140.52820019423962
resnet_manual_script,1,7,8,107.20281302928925,139.70430236775428,1786.2930241972208
resnet_manual_script,1,8,8,80.33844782039523,84.34142524376512,156.8662142381072
resnet_manual_script,1,9,8,77.5637929327786,80.9425736637786,151.65638737380505
resnet_manual_script,1,10,8,71.03405194357038,73.64946738816798,105.19683314487338
resnet_manual_script,1,11,8,65.66391885280609,66.74993347842246,101.23536083847284
resnet_manual_script,1,12,8,61.682731844484806,64.37410081271082,177.07517184317112
resnet_manual_script,1,13,8,56.95550935342908,58.213063990697265,89.10382725298405
resnet_manual_script,1,14,8,55.12851430103183,61.6091221338138,145.418887026608
resnet_manual_script,1,15,8,50.62867794185877,52.00059591792524,87.51521492376924
resnet_manual_script,1,16,8,48.47870394587517,51.9018640415743,78.6044099368155
resnet_manual_script,1,17,8,45.941553078591824,48.19807164836675,85.23718127980828
resnet_manual_script,1,18,8,45.220197178423405,46.06385298538953,60.31713215634227
resnet_manual_script,1,1,16,1417.795960791409,1426.284522023052,1429.3942847289145
resnet_manual_script,1,2,16,704.0783292613924,710.4014801606536,786.4016592502594
resnet_manual_script,1,3,16,476.6073147766292,480.3046398796141,581.0659821145236
resnet_manual_script,1,4,16,361.6042388603091,365.2781450562179,410.02232208848
resnet_manual_script,1,5,16,302.32840357348323,305.71643142495304,343.5767558403313
resnet_manual_script,1,6,16,279.53770104795694,284.1441296832636,344.78497225791216
resnet_manual_script,1,7,16,230.24503700435162,232.25503069348633,262.35081907361746
resnet_manual_script,1,8,16,195.09143708273768,196.93027810193598,231.52151936665177
resnet_manual_script,1,9,16,180.58327166363597,183.6523507349193,223.0540318414569
resnet_manual_script,1,10,16,181.3600417226553,188.7977346777916,612.0671737007797
resnet_manual_script,1,11,16,158.14199298620224,161.1193264229223,253.29361064359546
resnet_manual_script,1,12,16,156.36805165559053,162.611684682779,517.1964750625193
resnet_manual_script,1,13,16,134.8212263546884,136.57996431924403,173.33279689773917
resnet_manual_script,1,14,16,131.54264399781823,134.80327477212995,228.23897283524275
resnet_manual_script,1,15,16,124.41751081496477,142.1989972377196,1428.210326936096
resnet_manual_script,1,16,16,109.60848303511739,115.61241958290339,171.4500207453966
resnet_manual_script,1,17,16,116.39073211699724,122.58463139180094,164.3634787760675
resnet_manual_script,1,18,16,112.43065586313605,118.80393048748374,162.2878392226994
resnet_manual_script,1,1,32,2948.9680849947035,2957.042007721029,3007.9192728735507
resnet_manual_script,1,2,32,1602.5547101162374,1632.1669387957081,1674.1917440667748
resnet_manual_script,1,3,32,1102.9066806659102,1118.2918519619852,1152.1293008700013
resnet_manual_script,1,4,32,822.0684383995831,853.518930147402,888.3334076963365
resnet_manual_script,1,5,32,668.6279359273612,675.4228063300252,747.3385431803763
resnet_manual_script,1,6,32,604.9944600090384,623.0144542455673,650.1069497317076
resnet_manual_script,1,7,32,503.6377622745931,512.5481294933707,561.5440397523344
resnet_manual_script,1,8,32,433.56576189398766,462.5802662083879,503.1437282450497
resnet_manual_script,1,9,32,402.10312185809016,404.88051299005747,442.0569445937872
resnet_manual_script,1,10,32,404.20960588380694,409.86107444856316,440.112367272377
resnet_manual_script,1,11,32,332.6763319782913,337.8664238145575,393.8589827157557
resnet_manual_script,1,12,32,326.54712768271565,336.3938006805256,458.4862203337252
resnet_manual_script,1,13,32,311.67441001161933,317.734360168688,359.5582530833781
resnet_manual_script,1,14,32,300.12196116149426,305.17547123134136,458.57585640624166
resnet_manual_script,1,15,32,266.5259838104248,289.95245337020606,1013.8971679843962
resnet_manual_script,1,16,32,280.1123335957527,294.9430187372491,636.6354823112488
resnet_manual_script,1,17,32,258.1480909138918,261.6909105051309,310.79243775457144
resnet_manual_script,1,18,32,259.433934930712,278.1356988241896,316.7480072006583
