benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,1,1,1,12.466904165188033
resnet_manual_script,1,2,1,20.25962387089707
resnet_manual_script,1,3,1,29.503962460828173
resnet_manual_script,1,4,1,38.44121276629799
resnet_manual_script,1,5,1,45.453396162276384
resnet_manual_script,1,6,1,51.37914708053346
resnet_manual_script,1,7,1,56.51346267037707
resnet_manual_script,1,8,1,61.41834566008726
resnet_manual_script,1,9,1,60.31786428538026
resnet_manual_script,1,10,1,65.60575586851049
resnet_manual_script,1,11,1,68.58199001461233
resnet_manual_script,1,12,1,70.95764265973922
resnet_manual_script,1,13,1,72.85650327516429
resnet_manual_script,1,14,1,75.70444957088915
resnet_manual_script,1,15,1,77.51178323700535
resnet_manual_script,1,16,1,82.0043728409657
resnet_manual_script,1,17,1,40.93012925275177
resnet_manual_script,1,18,1,9.565056405720341
resnet_manual_script,1,1,8,13.407237342482963
resnet_manual_script,1,2,8,25.600537538371125
resnet_manual_script,1,3,8,38.10279536730518
resnet_manual_script,1,4,8,49.237679817986724
resnet_manual_script,1,5,8,58.5512942166522
resnet_manual_script,1,6,8,70.48172496475786
resnet_manual_script,1,7,8,57.26380551216662
resnet_manual_script,1,8,8,94.85255883307941
resnet_manual_script,1,9,8,98.83550322022884
resnet_manual_script,1,10,8,108.62264567150456
resnet_manual_script,1,11,8,119.85030670608944
resnet_manual_script,1,12,8,124.27358050833357
resnet_manual_script,1,13,8,137.42619700070142
resnet_manual_script,1,14,8,129.85090069331224
resnet_manual_script,1,15,8,153.84439079557362
resnet_manual_script,1,16,8,154.1370458986186
resnet_manual_script,1,17,8,165.98174421509432
resnet_manual_script,1,18,8,173.67196796449983
resnet_manual_script,1,1,16,11.217958095279256
resnet_manual_script,1,2,16,22.522475595605012
resnet_manual_script,1,3,16,33.31219120433714
resnet_manual_script,1,4,16,43.8022373266748
resnet_manual_script,1,5,16,52.3360812679369
resnet_manual_script,1,6,16,56.309451185337714
resnet_manual_script,1,7,16,68.88978874742077
resnet_manual_script,1,8,16,81.24702891912844
resnet_manual_script,1,9,16,87.1211282402485
resnet_manual_script,1,10,16,84.74677954852649
resnet_manual_script,1,11,16,99.30528109335302
resnet_manual_script,1,12,16,98.39391327389919
resnet_manual_script,1,13,16,117.14748996859717
resnet_manual_script,1,14,16,118.69147857903477
resnet_manual_script,1,15,16,112.51837432617178
resnet_manual_script,1,16,16,138.39343608345396
resnet_manual_script,1,17,16,130.5220713097495
resnet_manual_script,1,18,16,134.6756789472183
resnet_manual_script,1,1,32,10.82162509577
resnet_manual_script,1,2,32,19.605837637914142
resnet_manual_script,1,3,32,28.615070335939276
resnet_manual_script,1,4,32,37.49184566354448
resnet_manual_script,1,5,32,47.37773095622145
resnet_manual_script,1,6,32,51.36317429224023
resnet_manual_script,1,7,32,62.43316121674363
resnet_manual_script,1,8,32,69.17718358868407
resnet_manual_script,1,9,32,79.0356635434954
resnet_manual_script,1,10,32,78.07523571994135
resnet_manual_script,1,11,32,94.71198599350502
resnet_manual_script,1,12,32,95.12660440015217
resnet_manual_script,1,13,32,100.71306100797823
resnet_manual_script,1,14,32,104.85770652170821
resnet_manual_script,1,15,32,110.36292201722804
resnet_manual_script,1,16,32,108.49553292362313
resnet_manual_script,1,17,32,122.2816640372864
resnet_manual_script,1,18,32,115.05175400093928
