benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
resnet_manual_none,1,1,1,120.6052121706307,129.16172694880515,162.51020831987262
resnet_manual_none,1,2,1,78.3830238506198,81.88267993740737,136.36314775794744
resnet_manual_none,1,3,1,56.15269113332033,58.77745548263192,93.17799005657434
resnet_manual_none,1,4,1,44.898717664182186,47.954902006313205,103.95506909117103
resnet_manual_none,1,5,1,38.91417710110545,41.526348972693086,107.71181900054216
resnet_manual_none,1,6,1,34.71364500001073,37.01054926495999,92.34199486672878
resnet_manual_none,1,7,1,31.899775844067335,34.31583614554256,77.20522303134203
resnet_manual_none,1,8,1,29.600779991596937,31.518904175609347,96.46735107526183
resnet_manual_none,1,9,1,29.715165961533785,31.696740007027984,87.69578719511628
resnet_manual_none,1,10,1,28.393553104251623,30.515038357116282,85.32667392864823
resnet_manual_none,1,11,1,27.065273839980364,29.160630144178867,89.70124507322907
resnet_manual_none,1,12,1,26.63198998197913,28.71662405319512,98.99000497534871
resnet_manual_none,1,13,1,25.241356808692217,27.352859983220696,106.8406468257308
resnet_manual_none,1,14,1,25.013399310410023,27.423236831091344,110.2146808989346
resnet_manual_none,1,15,1,24.29842809215188,26.656002150848508,89.54798290506005
resnet_manual_none,1,16,1,23.977051954716444,26.33726404979825,107.84800397232175
resnet_manual_none,1,17,1,23.909172974526882,26.25019493047148,100.99292499944568
resnet_manual_none,1,18,1,23.605073802173138,25.880551785230637,105.63732497394085
resnet_manual_none,1,1,8,840.2801933698356,886.3681468507275,1162.6256122253835
resnet_manual_none,1,2,8,463.11806282028556,516.2350375717506,681.5054626204073
resnet_manual_none,1,3,8,313.1054500117898,363.31561801955104,466.84605395421386
resnet_manual_none,1,4,8,248.54557495564222,282.01300581917167,345.0766680762172
resnet_manual_none,1,5,8,199.73655184730887,213.64431369118392,298.91115985810757
resnet_manual_none,1,6,8,175.88918330147862,201.7817712156102,256.65752962231636
resnet_manual_none,1,7,8,152.97773480415344,174.8421570006758,230.21933669224381
resnet_manual_none,1,8,8,139.67358972877264,154.39096295740455,219.0959407016635
resnet_manual_none,1,9,8,122.89530038833618,154.85267005860806,205.6086896918714
resnet_manual_none,1,10,8,112.57129581645131,130.92579240445048,168.78570523113012
resnet_manual_none,1,11,8,102.4794983677566,109.74804405588657,167.7012387663126
resnet_manual_none,1,12,8,101.1311411857605,115.00437411479652,180.08257262408733
resnet_manual_none,1,13,8,94.2035666666925,109.91270878817886,156.75823017954826
resnet_manual_none,1,14,8,91.8697970919311,103.45684724859893,146.55987033620477
resnet_manual_none,1,15,8,85.64769569784403,105.4790119966492,166.95856768637896
resnet_manual_none,1,16,8,80.64287481829524,103.68233162444085,171.6430177912116
resnet_manual_none,1,17,8,83.70351605117321,110.66845354624093,179.41712588071823
