benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,1,1,1,7.742231569854763
resnet_manual_none,1,2,1,12.212594907304187
resnet_manual_none,1,3,1,17.013325803045163
resnet_manual_none,1,4,1,20.8529255229914
resnet_manual_none,1,5,1,24.08109609293079
resnet_manual_none,1,6,1,27.019323405361003
resnet_manual_none,1,7,1,29.141064660605522
resnet_manual_none,1,8,1,31.726991345525327
resnet_manual_none,1,9,1,31.548985787758433
resnet_manual_none,1,10,1,32.770727281972896
resnet_manual_none,1,11,1,34.292811748432776
resnet_manual_none,1,12,1,34.82303484377497
resnet_manual_none,1,13,1,36.55924830578736
resnet_manual_none,1,14,1,36.46542551338217
resnet_manual_none,1,15,1,37.51500297534933
resnet_manual_none,1,16,1,37.969015996088636
resnet_manual_none,1,17,1,38.094955205044606
resnet_manual_none,1,18,1,38.639052532514945
resnet_manual_none,1,1,8,9.025595096601856
resnet_manual_none,1,2,8,15.496817181627456
resnet_manual_none,1,3,8,22.019422241213693
resnet_manual_none,1,4,8,28.367486019881103
resnet_manual_none,1,5,8,37.445415053563025
resnet_manual_none,1,6,8,39.64679243226459
resnet_manual_none,1,7,8,45.75555539485296
resnet_manual_none,1,8,8,51.8165043261447
resnet_manual_none,1,9,8,51.66200877887472
resnet_manual_none,1,10,8,61.10331549712325
resnet_manual_none,1,11,8,72.89423760414529
resnet_manual_none,1,12,8,69.56257152457923
resnet_manual_none,1,13,8,72.78503176022537
resnet_manual_none,1,14,8,77.32692627658186
resnet_manual_none,1,15,8,75.84447226576354
resnet_manual_none,1,16,8,77.1587586299436
resnet_manual_none,1,17,8,72.28798942832735
resnet_manual_none,1,18,8,89.93442843457389
resnet_manual_none,1,1,16,7.1993478110723155
resnet_manual_none,1,2,16,14.578627871735014
resnet_manual_none,1,3,16,18.084197502860462
resnet_manual_none,1,4,16,23.552777953162995
resnet_manual_none,1,5,16,26.88807724260176
resnet_manual_none,1,6,16,39.49322605463257
resnet_manual_none,1,7,16,36.902887115665884
resnet_manual_none,1,8,16,38.19162474002175
resnet_manual_none,1,9,16,42.01831392133571
resnet_manual_none,1,10,16,43.06563726839588
resnet_manual_none,1,11,16,50.25556653461479
resnet_manual_none,1,12,16,49.87489431330897
resnet_manual_none,1,13,16,58.591753487183816
resnet_manual_none,1,14,16,48.640952436448615
resnet_manual_none,1,15,16,64.44885401417567
resnet_manual_none,1,16,16,56.77058553562676
resnet_manual_none,1,17,16,53.04422214833375
resnet_manual_none,1,18,16,62.52224466170979
resnet_manual_none,1,1,32,7.107836473679212
resnet_manual_none,1,2,32,13.69477604365112
resnet_manual_none,1,3,32,15.890607870939887
resnet_manual_none,1,4,32,28.645826457098515
resnet_manual_none,1,5,32,32.155319258768316
resnet_manual_none,1,6,32,34.19683312350338
resnet_manual_none,1,7,32,39.58518534980537
resnet_manual_none,1,8,32,54.22115554091676
resnet_manual_none,1,9,32,57.388801542017816
resnet_manual_none,1,10,32,50.792082336246196
resnet_manual_none,1,11,32,44.30565293512001
resnet_manual_none,1,12,32,48.09265791599158
resnet_manual_none,1,13,32,72.17183306168556
resnet_manual_none,1,14,32,47.718608800582814
resnet_manual_none,1,15,32,75.62729144847106
resnet_manual_none,1,16,32,75.03107946091428
resnet_manual_none,1,17,32,49.74982142431314
resnet_manual_none,1,18,32,54.62740451297443
resnet_manual_script,1,1,1,12.482786883994875
resnet_manual_script,1,2,1,20.81880579297878
resnet_manual_script,1,3,1,30.193462867437887
resnet_manual_script,1,4,1,38.59320804229727
resnet_manual_script,1,5,1,46.31840540684188
resnet_manual_script,1,6,1,51.81574056017336
resnet_manual_script,1,7,1,57.46232307399297
resnet_manual_script,1,8,1,62.25451731392422
resnet_manual_script,1,9,1,61.42096877571161
resnet_manual_script,1,10,1,64.49163589457737
resnet_manual_script,1,11,1,69.62975711216895
resnet_manual_script,1,12,1,71.69749615870353
resnet_manual_script,1,13,1,75.60220640919478
resnet_manual_script,1,14,1,78.16626951796492
resnet_manual_script,1,15,1,79.88986508780988
resnet_manual_script,1,16,1,81.61839235505425
resnet_manual_script,1,17,1,82.7161789729776
resnet_manual_script,1,18,1,82.10328930433212
resnet_manual_script,1,1,8,13.355654523034007
resnet_manual_script,1,2,8,25.952790543036446
resnet_manual_script,1,3,8,38.58667817430075
resnet_manual_script,1,4,8,48.36801724740005
resnet_manual_script,1,5,8,61.14767229303317
resnet_manual_script,1,6,8,66.4092863717548
resnet_manual_script,1,7,8,80.2506595241287
resnet_manual_script,1,8,8,96.27092305475418
resnet_manual_script,1,9,8,101.88606188703166
resnet_manual_script,1,10,8,113.01844373901416
resnet_manual_script,1,11,8,108.64797203217451
resnet_manual_script,1,12,8,130.15886160486053
resnet_manual_script,1,13,8,142.94538157353117
resnet_manual_script,1,14,8,152.33782168271014
resnet_manual_script,1,15,8,158.07400866870847
resnet_manual_script,1,16,8,155.01006624493414
resnet_manual_script,1,17,8,172.78817768090846
resnet_manual_script,1,18,8,155.18856226091938
resnet_manual_script,1,1,16,11.735372943125308
resnet_manual_script,1,2,16,22.581403802615863
resnet_manual_script,1,3,16,33.137361825411446
resnet_manual_script,1,4,16,43.44094811048553
resnet_manual_script,1,5,16,52.21580765793506
resnet_manual_script,1,6,16,60.87078725358001
