benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
resnet_manual_script,1,1,1,79.30987188592553,79.67471197713166,82.28918397799134
resnet_manual_script,1,2,1,41.764212772250175,42.776654730550945,65.80080091953278
resnet_manual_script,1,3,1,29.480059165507555,30.015837349928916,44.65417331084609
resnet_manual_script,1,4,1,22.875824011862278,23.25490272603929,35.30300781130791
resnet_manual_script,1,5,1,19.4784770719707,19.71407008357346,33.635420724749565
resnet_manual_script,1,6,1,16.772226896137,17.0223281532526,25.025033857673407
resnet_manual_script,1,7,1,15.126402024179697,15.346848978661,22.967709228396416
resnet_manual_script,1,8,1,13.640784192830324,13.823896730318666,24.179323110729456
resnet_manual_script,1,9,1,14.209050219506025,14.39213530626148,21.640151739120483
resnet_manual_script,1,10,1,13.300259131938219,13.473253268748522,22.480306215584278
resnet_manual_script,1,11,1,12.446037959307432,12.659343676641583,21.189182996749878
resnet_manual_script,1,12,1,11.856682132929564,12.114695934578776,17.55828782916069
resnet_manual_script,1,13,1,12.177146971225739,12.352061201818287,22.22347306087613
resnet_manual_script,1,14,1,11.629858054220676,11.803097818046808,22.18626206740737
resnet_manual_script,1,15,1,11.565454304218292,11.755970539525151,21.442750934511423
resnet_manual_script,1,16,1,10.66638994961977,10.752817294560373,12.992436066269875
resnet_manual_script,1,17,1,10.781506076455116,11.064229235053062,26.246183086186647
resnet_manual_script,1,18,1,10.823705699294806,11.063330499455333,26.237618643790483
resnet_manual_script,1,19,1,11.549865826964378,12.132971198298037,29.89583322778344
resnet_manual_script,1,20,1,11.310342699289322,12.052477258257568,49.7103831730783
resnet_manual_script,1,21,1,11.351960245519876,12.146218349225819,52.90372809395194
resnet_manual_script,1,22,1,11.125662829726934,11.966796885244548,43.89388393610716
resnet_manual_script,1,23,1,11.171057354658842,11.98527246247977,51.428095903247595
resnet_manual_script,1,24,1,11.358508840203285,11.584011008962989,15.441570430994034
resnet_manual_script,1,25,1,10.842302814126015,11.905720718204975,50.3560621291399
resnet_manual_script,1,26,1,10.669776238501072,11.718523181043565,85.82163788378239
resnet_manual_script,1,27,1,11.357811279594898,11.57059533521533,16.69991761445999
resnet_manual_script,1,28,1,11.445451062172651,11.67232213076204,16.33851509541273
resnet_manual_script,1,29,1,11.547674424946308,11.833160337992013,15.946567058563232
resnet_manual_script,1,30,1,11.751079000532627,12.052139574661851,16.371615696698427
resnet_manual_script,1,31,1,11.968705803155899,12.283809939399362,16.2633559666574
resnet_manual_script,1,32,1,10.232803877443075,10.449800523929298,15.200149267911911
resnet_manual_script,1,33,1,10.521273128688335,10.65725973341614,12.537415139377117
resnet_manual_script,1,34,1,10.259931907057762,11.67477065231651,110.15554191544652
resnet_manual_script,1,35,1,9.940933901816607,11.527544353157282,117.30025615543127
resnet_manual_script,1,36,1,10.225287172943354,11.841586627997458,94.28771818056703
resnet_manual_script,1,1,8,599.205874837935,601.1714944802225,602.702490054071
resnet_manual_script,1,2,8,301.0228406637907,306.79218037985265,338.99196283891797
resnet_manual_script,1,3,8,201.68142998591065,203.2660877564922,229.52512884512544
resnet_manual_script,1,4,8,151.71219315379858,156.52512060012668,194.1065639257431
resnet_manual_script,1,5,8,126.08873005956411,127.29764976538718,151.8066101707518
resnet_manual_script,1,6,8,108.25138771906495,110.20137405022979,131.46966602653265
resnet_manual_script,1,7,8,95.63780901953578,97.4648693902418,117.2866988927126
resnet_manual_script,1,8,8,79.69861663877964,80.46368178911507,103.8388260640204
resnet_manual_script,1,9,8,73.52254213765264,74.83935877680779,90.47845983877778
resnet_manual_script,1,10,8,71.65541406720877,72.56173888687044,90.83364205434918
resnet_manual_script,1,11,8,66.87929015606642,67.57744666654617,81.19320590049028
resnet_manual_script,1,12,8,57.43588972836733,58.51366658229381,76.60388387739658
resnet_manual_script,1,13,8,57.73131875321269,62.68377225380391,80.65253170207143
resnet_manual_script,1,14,8,53.831260185688734,54.55553616862744,76.04469312354922
resnet_manual_script,1,15,8,51.79053591564298,52.49449362512678,71.9677759334445
resnet_manual_script,1,16,8,48.452038783580065,48.85382510256022,63.90815135091543
resnet_manual_script,1,17,8,46.876597218215466,48.534253905527294,74.17194871231914
resnet_manual_script,1,18,8,44.69154868274927,45.39400207810104,60.00828975811601
resnet_manual_script,1,19,8,44.891610741615295,45.92824115883559,63.500165939331055
resnet_manual_script,1,20,8,43.7774951569736,45.12820629402995,59.88851189613342
resnet_manual_script,1,21,8,41.082872077822685,41.983027905225754,55.64173310995102
resnet_manual_script,1,22,8,39.88589299842715,43.35639847908169,86.33036585524678
resnet_manual_script,1,23,8,37.7914709970355,39.40573468338698,120.94088876619935
resnet_manual_script,1,24,8,42.239111848175526,42.83806225750595,60.203323140740395
resnet_manual_script,1,25,8,35.82030674442649,39.367739711888134,90.77692497521639
resnet_manual_script,1,26,8,35.62893019989133,39.05138236004859,99.47998030111194
resnet_manual_script,1,27,8,35.18006205558777,36.58784404862672,97.56186185404658
resnet_manual_script,1,28,8,34.30246375501156,35.70532140787691,107.06907231360674
resnet_manual_script,1,29,8,32.132482156157494,34.503835681825876,162.89895540103316
resnet_manual_script,1,30,8,31.531456392258406,37.40131254307926,121.3475801050663
resnet_manual_script,1,31,8,31.453938223421574,34.726156112737954,148.19704787805676
resnet_manual_script,1,32,8,30.65288532525301,34.02148788794875,183.43968922272325
resnet_manual_script,1,33,8,29.86371796578169,32.88367993198335,133.26265895739198
resnet_manual_script,1,34,8,30.561183113604784,33.80202610511333,216.17740485817194
resnet_manual_script,1,35,8,28.607972897589207,32.00351614970714,209.79044400155544
resnet_manual_script,1,36,8,28.089299332350492,31.47191415075213,199.13241686299443
resnet_manual_script,1,1,16,1357.820336241275,1359.8804939677939,1362.467783037573
resnet_manual_script,1,2,16,687.1040090918541,703.5799550265074,740.8642880618572
resnet_manual_script,1,3,16,462.4950052239001,466.07847785111517,490.4029071331024
resnet_manual_script,1,4,16,351.29709308966994,355.27244337368757,391.58618031069636
resnet_manual_script,1,5,16,290.4243585653603,294.9356061546132,313.9378088526428
resnet_manual_script,1,6,16,249.86450606957078,257.37474428955466,278.2105840742588
resnet_manual_script,1,7,16,221.0299619473517,224.05489443335682,243.98965807631612
