benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,1,1,1,12.5510337619673
resnet_manual_script,1,2,1,23.377237100445896
resnet_manual_script,1,3,1,33.31574556264606
resnet_manual_script,1,4,1,43.00168492557342
resnet_manual_script,1,5,1,50.725192502650145
resnet_manual_script,1,6,1,58.74637070775312
resnet_manual_script,1,7,1,65.15995572709735
resnet_manual_script,1,8,1,72.33850335461442
resnet_manual_script,1,9,1,69.48239289863662
resnet_manual_script,1,10,1,74.22112388546275
resnet_manual_script,1,11,1,78.99303672789549
resnet_manual_script,1,12,1,82.54437465043729
resnet_manual_script,1,13,1,80.95814809052231
resnet_manual_script,1,14,1,84.7235205041689
resnet_manual_script,1,15,1,85.06315974830541
resnet_manual_script,1,16,1,92.99888323275792
resnet_manual_script,1,17,1,90.38135226192321
resnet_manual_script,1,18,1,90.38869443963839
resnet_manual_script,1,19,1,82.42004235040761
resnet_manual_script,1,20,1,82.97049466032931
resnet_manual_script,1,21,1,82.330151759847
resnet_manual_script,1,22,1,83.5645502793678
resnet_manual_script,1,23,1,83.43573357472914
resnet_manual_script,1,24,1,86.32588481021487
resnet_manual_script,1,25,1,83.99323515718837
resnet_manual_script,1,26,1,85.33498501053845
resnet_manual_script,1,27,1,86.42597645399289
resnet_manual_script,1,28,1,85.67275549777119
resnet_manual_script,1,29,1,84.5082777074659
resnet_manual_script,1,30,1,82.97281937411161
resnet_manual_script,1,31,1,81.4079674737215
resnet_manual_script,1,32,1,95.69560660130031
resnet_manual_script,1,33,1,93.83275110246883
resnet_manual_script,1,34,1,85.65478755692557
resnet_manual_script,1,35,1,86.74874451696296
resnet_manual_script,1,36,1,84.44814292331964
resnet_manual_script,1,1,8,13.307350853215125
resnet_manual_script,1,2,8,26.076283919931903
resnet_manual_script,1,3,8,39.357278374855156
resnet_manual_script,1,4,8,51.11000693899817
resnet_manual_script,1,5,8,62.8448366073074
resnet_manual_script,1,6,8,72.59437614955327
resnet_manual_script,1,7,8,82.08085692875264
resnet_manual_script,1,8,8,99.42373779224977
resnet_manual_script,1,9,8,106.89562458516342
resnet_manual_script,1,10,8,110.25094109820935
resnet_manual_script,1,11,8,118.38269118801074
resnet_manual_script,1,12,8,136.72019661849038
resnet_manual_script,1,13,8,127.62473782860965
resnet_manual_script,1,14,8,146.63956331164167
resnet_manual_script,1,15,8,152.39693627925112
resnet_manual_script,1,16,8,163.7538101306371
resnet_manual_script,1,17,8,164.83203832847886
resnet_manual_script,1,18,8,176.23473661202826
resnet_manual_script,1,19,8,174.18476732721507
resnet_manual_script,1,20,8,177.27272269313144
resnet_manual_script,1,21,8,190.55319254389025
resnet_manual_script,1,22,8,184.51717118200645
resnet_manual_script,1,23,8,203.01613621158322
resnet_manual_script,1,24,8,186.7498102951252
resnet_manual_script,1,25,8,203.21207309710462
resnet_manual_script,1,26,8,204.85830504644
resnet_manual_script,1,27,8,218.65185577394715
resnet_manual_script,1,28,8,224.05623824562826
resnet_manual_script,1,29,8,231.8582801567717
resnet_manual_script,1,30,8,213.89623668381984
resnet_manual_script,1,31,8,230.3738995478831
resnet_manual_script,1,32,8,235.1455064619263
resnet_manual_script,1,33,8,243.2817743192736
resnet_manual_script,1,34,8,236.67220346859082
resnet_manual_script,1,35,8,249.9725330984673
resnet_manual_script,1,36,8,254.19489776438695
resnet_manual_script,1,1,16,11.76573976240807
resnet_manual_script,1,2,16,22.74084115912199
resnet_manual_script,1,3,16,34.328982693577764
resnet_manual_script,1,4,16,45.03585993910217
resnet_manual_script,1,5,16,54.24912986468093
resnet_manual_script,1,6,16,62.16616181267381
resnet_manual_script,1,7,16,71.41107111480245
resnet_manual_script,1,8,16,84.05601896759823
resnet_manual_script,1,9,16,91.39862301303694
resnet_manual_script,1,10,16,99.84902303306227
resnet_manual_script,1,11,16,107.23830523069502
resnet_manual_script,1,12,16,114.87142304448972
resnet_manual_script,1,13,16,118.81371872647654
resnet_manual_script,1,14,16,120.57530970301258
resnet_manual_script,1,15,16,125.25790512603854
resnet_manual_script,1,16,16,129.5599022559126
resnet_manual_script,1,17,16,138.96343928143227
resnet_manual_script,1,18,16,153.98568369318934
resnet_manual_script,1,19,16,144.43101431754732
resnet_manual_script,1,20,16,133.8819750071869
resnet_manual_script,1,21,16,145.26153532571777
resnet_manual_script,1,22,16,152.83298080803485
resnet_manual_script,1,23,16,152.66711160700655
resnet_manual_script,1,24,16,146.12344697072274
resnet_manual_script,1,25,16,145.6122709271119
resnet_manual_script,1,26,16,163.49570735451843
resnet_manual_script,1,27,16,167.51238689429735
resnet_manual_script,1,28,16,156.4788586734682
resnet_manual_script,1,29,16,177.60880095279245
resnet_manual_script,1,30,16,166.31712528225088
resnet_manual_script,1,31,16,166.58287026980918
resnet_manual_script,1,32,16,184.19266980224393
resnet_manual_script,1,33,16,188.3907464230664
