benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,1,1,1,1,79.0528766810894,79.38109565526247,82.15079084038734,100.03030160334644
resnet_manual_script,sequential,numactl,1,1,2,1,41.37767106294632,41.732947789132595,59.6340037882328,190.26968763677263
resnet_manual_script,sequential,numactl,1,1,3,1,29.427681118249893,29.78735964745283,42.793646454811096,266.5733060593374
resnet_manual_script,sequential,numactl,1,1,4,1,22.665422409772873,22.91997354477644,33.256810158491135,346.44520529168227
resnet_manual_script,sequential,numactl,1,1,5,1,19.253887236118317,19.42719329148531,28.98424118757248,408.7319676527966
resnet_manual_script,sequential,numactl,1,1,6,1,16.693253070116043,16.94975357502699,26.20910480618477,468.47376894606896
resnet_manual_script,sequential,numactl,1,1,7,1,15.170209109783173,15.397502183914185,22.967886179685593,515.7014978894096
resnet_manual_script,sequential,numactl,1,1,8,1,13.680197298526764,13.888354115188122,22.338781505823135,571.739089754081
resnet_manual_script,sequential,numactl,1,1,9,1,14.341071248054504,14.536853097379208,23.65485578775406,546.233417013175
resnet_manual_script,sequential,numactl,1,1,10,1,13.442855328321457,13.639264814555645,23.298121988773346,582.1805682316532
resnet_manual_script,sequential,numactl,1,1,11,1,12.465156614780426,12.580746077001095,15.019480139017105,631.1640733705041
resnet_manual_script,sequential,numactl,1,1,12,1,11.98478788137436,12.281076647341251,19.278716295957565,646.5650502815691
resnet_manual_script,sequential,numactl,1,1,13,1,12.326054275035858,12.450221702456474,15.314117074012756,637.7810074203985
resnet_manual_script,sequential,numactl,1,1,14,1,11.762328445911407,11.843404397368431,14.78731632232666,670.4588202497213
resnet_manual_script,sequential,numactl,1,1,15,1,11.52905449271202,11.630194000899792,14.770563691854477,682.7499987864061
resnet_manual_script,sequential,numactl,1,1,16,1,10.789982974529266,10.885561928153038,14.197397977113724,729.453839168712
resnet_manual_script,sequential,numactl,1,1,17,1,15.833280980587006,24.743096195161343,39.92193937301636,320.9184039608113
resnet_manual_script,sequential,numactl,1,1,18,1,15.798140317201614,29.340789169073105,87.57921680808067,270.6305850958421
resnet_manual_script,sequential,numactl,1,1,19,1,115.67693203687668,1899.2355093359947,4031.832966953516,4.180900631315671
resnet_manual_script,sequential,numactl,1,1,20,1,3991.731248795986,4021.5237744525075,4035.834077745676,1.9745040400963505
resnet_manual_script,sequential,numactl,1,1,21,1,579.1308470070362,3975.3300858289003,4035.835172981024,1.9974479523866544
resnet_manual_script,sequential,numactl,1,1,22,1,3983.8382117450237,4019.2061639204617,4035.8331836760044,1.975642606064917
resnet_manual_script,sequential,numactl,1,1,23,1,3971.829015761614,4015.484114997089,4031.836971640587,1.9774738767720805
resnet_manual_script,sequential,numactl,1,1,24,1,3071.643255650997,4015.365105606616,4047.815829515457,1.9775324861275343
resnet_manual_script,sequential,numactl,1,1,25,1,571.332298219204,3958.1414526328444,4035.8705408871174,2.006122073964333
resnet_manual_script,sequential,numactl,1,1,26,1,1747.877325862646,3994.07177567482,4031.9244414567947,1.9880751739015525
resnet_manual_script,sequential,numactl,1,1,27,1,2015.4152885079384,3991.6114048287272,4035.841803997755,1.9893005943399724
resnet_manual_script,sequential,numactl,1,1,28,1,228.04682701826096,3619.7415497899055,4027.5742821395397,2.1936690315530614
resnet_manual_script,sequential,numactl,1,1,29,1,228.0847802758217,3628.215767107904,4035.914070904255,2.1885454034971805
resnet_manual_script,sequential,numactl,1,1,30,1,595.1409786939621,3447.2168285399675,4031.649097800255,2.303456769605967
resnet_manual_script,sequential,numactl,1,1,31,1,231.96517303586006,2582.861018627882,4015.8316381275654,3.074309799378333
resnet_manual_script,sequential,numactl,1,1,32,1,10.699138045310974,10.901801474392414,13.775434345006943,728.3672298245135
resnet_manual_script,sequential,numactl,1,1,33,1,15.779998153448105,70.87538667023182,2323.444202542305,112.03487293756204
resnet_manual_script,sequential,numactl,1,1,34,1,13.699755072593689,534.7334531322122,3987.5230118632317,14.8494822859656
resnet_manual_script,sequential,numactl,1,1,35,1,31.67690709233284,492.3083310574293,3395.907152444124,16.12915004494148
resnet_manual_script,sequential,numactl,1,1,36,1,27.782447636127472,86.52455493807793,691.063892096281,91.77180912034393
resnet_manual_script,sequential,numactl,1,1,1,2,151.29971131682396,151.65647320449352,154.33796867728233,104.71697501883784
resnet_manual_script,sequential,numactl,1,1,2,2,77.48321071267128,78.31900421530008,96.47538885474205,202.77335335294714
resnet_manual_script,sequential,numactl,1,1,3,2,53.53958159685135,54.20420866459608,64.72991406917572,292.98476091161547
resnet_manual_script,sequential,numactl,1,1,4,2,40.86373373866081,41.29702940583229,52.43661627173424,384.555677357199
resnet_manual_script,sequential,numactl,1,1,5,2,34.39023718237877,34.65839181095362,45.620396733284,458.2153494779548
resnet_manual_script,sequential,numactl,1,1,6,2,29.228176921606064,29.455819092690945,39.558351039886475,539.1466815445187
resnet_manual_script,sequential,numactl,1,1,7,2,25.958258658647537,26.176454685628414,37.823036313056946,606.6905280614302
resnet_manual_script,sequential,numactl,1,1,8,2,23.007765412330627,23.241175189614296,29.16368842124939,683.3134291374685
resnet_manual_script,sequential,numactl,1,1,9,2,21.50629460811615,21.701980233192444,28.00142392516136,731.7768676109351
resnet_manual_script,sequential,numactl,1,1,10,2,20.433425903320312,20.65316252410412,29.133465141057968,768.9382726478534
resnet_manual_script,sequential,numactl,1,1,11,2,19.15029063820839,19.380551129579544,26.109840720891953,819.4301085566979
resnet_manual_script,sequential,numactl,1,1,12,2,17.555583268404007,17.979107908904552,26.303131133317947,883.3033983924519
resnet_manual_script,sequential,numactl,1,1,13,2,17.854545265436172,18.157615959644318,24.426769465208054,874.6196169858351
resnet_manual_script,sequential,numactl,1,1,14,2,17.202045768499374,17.508913055062294,28.88164296746254,907.0241576994054
resnet_manual_script,sequential,numactl,1,1,15,2,16.753066331148148,17.19266451895237,26.592619717121124,923.7083116752228
resnet_manual_script,sequential,numactl,1,1,16,2,15.943381935358047,16.314845196902752,26.833102107048035,973.4083850832301
resnet_manual_script,sequential,numactl,1,1,17,2,17.131544649600983,17.399104423820972,27.383077889680862,912.7485374625054
resnet_manual_script,sequential,numactl,1,1,18,2,16.760848462581635,17.141126431524754,25.54779127240181,926.4856180509099
resnet_manual_script,sequential,numactl,1,1,19,2,17.420873045921326,17.653138302266598,18.35228130221367,899.6138161995217
resnet_manual_script,sequential,numactl,1,1,20,2,17.36404374241829,17.578786090016365,19.950512796640396,903.4188728776559
resnet_manual_script,sequential,numactl,1,1,21,2,17.312556505203247,17.460850477218628,17.841476947069168,909.5208241271026
resnet_manual_script,sequential,numactl,1,1,22,2,16.903944313526154,17.133948616683483,17.41982251405716,926.8737447091744
resnet_manual_script,sequential,numactl,1,1,23,2,16.381874680519104,16.72215849161148,28.010498732328415,949.698397127773
resnet_manual_script,sequential,numactl,1,1,24,2,16.012705862522125,16.379297971725464,32.509077340364456,969.5780089851451
resnet_manual_script,sequential,numactl,1,1,25,2,15.692822635173798,16.561259403824806,54.702311754226685,958.9250870819823
resnet_manual_script,sequential,numactl,1,1,26,2,15.367794781923294,16.15355908870697,38.345418870449066,983.1274351856297
resnet_manual_script,sequential,numactl,1,1,27,2,15.600431710481644,15.963210761547089,30.478842556476593,994.8504316095916
resnet_manual_script,sequential,numactl,1,1,28,2,3975.8094884455204,4028.7382109835744,4063.813116401434,3.9419307694661097
resnet_manual_script,sequential,numactl,1,1,29,2,15.238001942634583,340.46766370534897,4051.7902076244354,46.644685557404074
resnet_manual_script,sequential,numactl,1,1,30,2,15.350766479969025,15.750891417264937,28.803452849388123,1008.2608466586493
resnet_manual_script,sequential,numactl,1,1,31,2,15.29521495103836,701.851995959878,4054.5932576060295,22.627287814834187
resnet_manual_script,sequential,numactl,1,1,32,2,14.653351157903671,14.756730236113071,15.143126249313354,1076.1873980142002
resnet_manual_script,sequential,numactl,1,1,33,2,14.322631061077118,422.4870755150914,4031.550731509924,37.58933239943034
resnet_manual_script,sequential,numactl,1,1,34,2,15.31790941953659,15.547388643026352,19.336417317390442,1021.4581677112246
resnet_manual_script,sequential,numactl,1,1,35,2,14.78135958313942,15.761647038161755,78.34257557988167,1007.5728175836734
resnet_manual_script,sequential,numactl,1,1,36,2,14.812730252742767,16.167004704475403,120.57911232113838,982.3097974112526
resnet_manual_script,sequential,numactl,1,1,1,4,297.2860746085644,297.88530953228474,300.53193494677544,106.62497428245162
resnet_manual_script,sequential,numactl,1,1,2,4,149.62029457092285,151.04576013982296,177.22610384225845,210.28073504743148
resnet_manual_script,sequential,numactl,1,1,3,4,101.59843787550926,102.7620342001319,122.7705143392086,309.0831523064501
resnet_manual_script,sequential,numactl,1,1,4,4,76.85008272528648,77.49515660107136,98.48495945334435,409.8580461164059
resnet_manual_script,sequential,numactl,1,1,5,4,63.699860125780106,64.20014690607786,78.2066211104393,494.73428019512943
resnet_manual_script,sequential,numactl,1,1,6,4,54.27218973636627,54.847134463489056,65.13434648513794,579.1006910150157
