benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,1,1,1,1,12.597457766806551
resnet_manual_script,sequential,numactl,1,1,2,1,23.96188270842453
resnet_manual_script,sequential,numactl,1,1,3,1,33.571287010176874
resnet_manual_script,sequential,numactl,1,1,4,1,43.63006781165785
resnet_manual_script,sequential,numactl,1,1,5,1,51.47423948462423
resnet_manual_script,sequential,numactl,1,1,6,1,58.99790787951958
resnet_manual_script,sequential,numactl,1,1,7,1,64.94559884165517
resnet_manual_script,sequential,numactl,1,1,8,1,72.00277237361144
resnet_manual_script,sequential,numactl,1,1,9,1,68.7906793376268
resnet_manual_script,sequential,numactl,1,1,10,1,73.31773476036722
resnet_manual_script,sequential,numactl,1,1,11,1,79.48654188546921
resnet_manual_script,sequential,numactl,1,1,12,1,81.42608573463235
resnet_manual_script,sequential,numactl,1,1,13,1,80.31985485067277
resnet_manual_script,sequential,numactl,1,1,14,1,84.43518151100177
resnet_manual_script,sequential,numactl,1,1,15,1,85.9830884955688
resnet_manual_script,sequential,numactl,1,1,16,1,91.86480280946515
resnet_manual_script,sequential,numactl,1,1,17,1,40.41531391675856
resnet_manual_script,sequential,numactl,1,1,18,1,34.082246194456765
resnet_manual_script,sequential,numactl,1,1,19,1,0.5265276449836477
resnet_manual_script,sequential,numactl,1,1,20,1,0.24866196399302415
resnet_manual_script,sequential,numactl,1,1,21,1,0.2515514380968666
resnet_manual_script,sequential,numactl,1,1,22,1,0.24880535091152628
resnet_manual_script,sequential,numactl,1,1,23,1,0.249035974582787
resnet_manual_script,sequential,numactl,1,1,24,1,0.24904335563501054
resnet_manual_script,sequential,numactl,1,1,25,1,0.2526438258882406
resnet_manual_script,sequential,numactl,1,1,26,1,0.25037106395791914
resnet_manual_script,sequential,numactl,1,1,27,1,0.2505253890171476
resnet_manual_script,sequential,numactl,1,1,28,1,0.27626281773018885
resnet_manual_script,sequential,numactl,1,1,29,1,0.27561756637122836
resnet_manual_script,sequential,numactl,1,1,30,1,0.29008909208172423
resnet_manual_script,sequential,numactl,1,1,31,1,0.3871675606189758
resnet_manual_script,sequential,numactl,1,1,32,1,91.72795912207093
resnet_manual_script,sequential,numactl,1,1,33,1,14.109270467232701
resnet_manual_script,sequential,numactl,1,1,34,1,1.8700905921304896
resnet_manual_script,sequential,numactl,1,1,35,1,2.0312473645369753
resnet_manual_script,sequential,numactl,1,1,36,1,11.557412814381523
resnet_manual_script,sequential,numactl,1,1,1,2,13.187699527360108
resnet_manual_script,sequential,numactl,1,1,2,2,25.536586171371265
resnet_manual_script,sequential,numactl,1,1,3,2,36.89750388896123
resnet_manual_script,sequential,numactl,1,1,4,2,48.429633529949356
resnet_manual_script,sequential,numactl,1,1,5,2,57.70608200487565
resnet_manual_script,sequential,numactl,1,1,6,2,67.89829859106761
resnet_manual_script,sequential,numactl,1,1,7,2,76.40454079895144
resnet_manual_script,sequential,numactl,1,1,8,2,86.05416824592128
resnet_manual_script,sequential,numactl,1,1,9,2,92.15748878717841
resnet_manual_script,sequential,numactl,1,1,10,2,96.8374696933614
resnet_manual_script,sequential,numactl,1,1,11,2,103.19623970587205
resnet_manual_script,sequential,numactl,1,1,12,2,111.24022449464556
resnet_manual_script,sequential,numactl,1,1,13,2,110.14661861144337
resnet_manual_script,sequential,numactl,1,1,14,2,114.227536210293
resnet_manual_script,sequential,numactl,1,1,15,2,116.32868179305748
resnet_manual_script,sequential,numactl,1,1,16,2,122.58773993023756
resnet_manual_script,sequential,numactl,1,1,17,2,114.94844512007275
resnet_manual_script,sequential,numactl,1,1,18,2,116.6784463080408
resnet_manual_script,sequential,numactl,1,1,19,2,113.2943030159803
resnet_manual_script,sequential,numactl,1,1,20,2,113.77349890706463
resnet_manual_script,sequential,numactl,1,1,21,2,114.54195788512266
resnet_manual_script,sequential,numactl,1,1,22,2,116.72732565875572
resnet_manual_script,sequential,numactl,1,1,23,2,119.60178472194734
resnet_manual_script,sequential,numactl,1,1,24,2,122.10535539755564
resnet_manual_script,sequential,numactl,1,1,25,2,120.7637626603507
resnet_manual_script,sequential,numactl,1,1,26,2,123.81172403041566
resnet_manual_script,sequential,numactl,1,1,27,2,125.28807831176992
resnet_manual_script,sequential,numactl,1,1,28,2,0.4964333484234313
resnet_manual_script,sequential,numactl,1,1,29,2,5.874272987436659
resnet_manual_script,sequential,numactl,1,1,30,2,126.97694035321398
resnet_manual_script,sequential,numactl,1,1,31,2,2.849603636539821
resnet_manual_script,sequential,numactl,1,1,32,2,135.53137910629724
resnet_manual_script,sequential,numactl,1,1,33,2,4.733872622166306
resnet_manual_script,sequential,numactl,1,1,34,2,128.63896606180762
resnet_manual_script,sequential,numactl,1,1,35,2,126.89029231257646
resnet_manual_script,sequential,numactl,1,1,36,2,123.70875351117783
resnet_manual_script,sequential,numactl,1,1,1,4,13.427986785519817
resnet_manual_script,sequential,numactl,1,1,2,4,26.482040914602322
resnet_manual_script,sequential,numactl,1,1,3,4,38.92488146166793
resnet_manual_script,sequential,numactl,1,1,4,4,51.616129000050314
resnet_manual_script,sequential,numactl,1,1,5,4,62.305153379973305
resnet_manual_script,sequential,numactl,1,1,6,4,72.92997235184168
resnet_manual_script,sequential,numactl,1,1,7,4,83.24953667723284
resnet_manual_script,sequential,numactl,1,1,8,4,95.92389917089397
resnet_manual_script,sequential,numactl,1,1,9,4,104.33428277395285
resnet_manual_script,sequential,numactl,1,1,10,4,113.06113427657942
resnet_manual_script,sequential,numactl,1,1,11,4,121.75213021275113
resnet_manual_script,sequential,numactl,1,1,12,4,129.44336887789112
resnet_manual_script,sequential,numactl,1,1,13,4,129.19509305226657
resnet_manual_script,sequential,numactl,1,1,14,4,135.31433993657006
resnet_manual_script,sequential,numactl,1,1,15,4,141.7189815409235
resnet_manual_script,sequential,numactl,1,1,16,4,151.21198628990933
resnet_manual_script,sequential,numactl,1,1,17,4,151.5170960373072
resnet_manual_script,sequential,numactl,1,1,18,4,161.6634917697502
resnet_manual_script,sequential,numactl,1,1,19,4,149.20779596694683
resnet_manual_script,sequential,numactl,1,1,20,4,151.46116705493284
resnet_manual_script,sequential,numactl,1,1,21,4,154.3102435733778
resnet_manual_script,sequential,numactl,1,1,22,4,157.01715950252367
resnet_manual_script,sequential,numactl,1,1,23,4,162.61759340661368
resnet_manual_script,sequential,numactl,1,1,24,4,162.22963128806234
resnet_manual_script,sequential,numactl,1,1,25,4,168.46554232433192
resnet_manual_script,sequential,numactl,1,1,26,4,169.36803854697322
resnet_manual_script,sequential,numactl,1,1,27,4,174.76595860423004
resnet_manual_script,sequential,numactl,1,1,28,4,183.61356679204468
resnet_manual_script,sequential,numactl,1,1,29,4,16.494365415815512
resnet_manual_script,sequential,numactl,1,1,30,4,17.904558817642013
resnet_manual_script,sequential,numactl,1,1,31,4,161.25135161386484
resnet_manual_script,sequential,numactl,1,1,32,4,172.88873985394804
resnet_manual_script,sequential,numactl,1,1,33,4,162.25492074603903
resnet_manual_script,sequential,numactl,1,1,34,4,98.08177040855506
resnet_manual_script,sequential,numactl,1,1,35,4,168.35973442088053
resnet_manual_script,sequential,numactl,1,1,36,4,162.50232364958055
resnet_manual_script,sequential,numactl,1,1,1,8,13.330065961864742
resnet_manual_script,sequential,numactl,1,1,2,8,26.526977341055094
resnet_manual_script,sequential,numactl,1,1,3,8,39.558490585927395
resnet_manual_script,sequential,numactl,1,1,4,8,52.41219768142356
resnet_manual_script,sequential,numactl,1,1,5,8,63.26054430325852
resnet_manual_script,sequential,numactl,1,1,6,8,73.2248428710092
resnet_manual_script,sequential,numactl,1,1,7,8,83.59189188753118
resnet_manual_script,sequential,numactl,1,1,8,8,99.55328393067882
resnet_manual_script,sequential,numactl,1,1,9,8,105.09136964539289
