model,cores,batch_size,instances,allocator,throughput,mean_ts_latency,mean_predict_latency
squeezenet,1,1,1,default,85.37,11.713,9.8
squeezenet,2,1,1,default,112.03,8.926,6.95
squeezenet,3,1,1,default,128.99,7.753,5.81
squeezenet,4,1,1,default,136.43,7.330,5.3
squeezenet,5,1,1,default,136.73,7.314,5.28
squeezenet,6,1,1,default,146.90,6.807,4.9
squeezenet,7,1,1,default,147.28,6.790,5.0
squeezenet,8,1,1,default,147.75,6.768,4.77
squeezenet,9,1,1,default,141.28,7.078,4.98
squeezenet,10,1,1,default,151.14,6.616,4.82
squeezenet,11,1,1,default,145.76,6.861,4.81
squeezenet,12,1,1,default,149.08,6.708,4.92
squeezenet,13,1,1,default,145.30,6.882,4.82
squeezenet,14,1,1,default,140.82,7.101,4.94
squeezenet,15,1,1,default,143.03,6.991,4.87
squeezenet,16,1,1,default,137.81,7.256,5.07
squeezenet,1,2,1,default,91.87,21.770,17.16
squeezenet,2,2,1,default,125.77,15.902,11.34
squeezenet,3,2,1,default,148.64,13.455,8.99
squeezenet,4,2,1,default,160.84,12.435,7.94
squeezenet,5,2,1,default,163.03,12.267,7.83
squeezenet,6,2,1,default,177.78,11.250,6.86
squeezenet,7,2,1,default,138.80,14.410,10.01
squeezenet,8,2,1,default,141.65,14.119,9.59
squeezenet,9,2,1,default,182.30,10.971,6.62
squeezenet,10,2,1,default,144.28,13.862,9.23
squeezenet,11,2,1,default,185.36,10.790,6.54
squeezenet,12,2,1,default,182.80,10.941,6.58
squeezenet,13,2,1,default,182.72,10.946,6.62
squeezenet,14,2,1,default,182.19,10.978,6.54
squeezenet,15,2,1,default,180.96,11.052,6.53
squeezenet,16,2,1,default,128.27,15.592,11.03
squeezenet,1,4,1,default,104.83,38.158,32.97
squeezenet,2,4,1,default,160.27,24.959,19.98
squeezenet,3,4,1,default,153.23,26.105,21.1
squeezenet,4,4,1,default,225.81,17.714,12.73
squeezenet,5,4,1,default,198.15,20.187,15.32
squeezenet,6,4,1,default,250.33,15.979,11.03
squeezenet,7,4,1,default,219.35,18.236,13.18
squeezenet,8,4,1,default,226.99,17.622,12.81
squeezenet,9,4,1,default,267.64,14.946,10.09
squeezenet,10,4,1,default,239.54,16.698,11.91
squeezenet,11,4,1,default,278.46,14.365,9.44
squeezenet,12,4,1,default,260.31,15.366,10.2
squeezenet,13,4,1,default,249.41,16.038,11.15
squeezenet,14,4,1,default,212.91,18.787,13.8
squeezenet,15,4,1,default,250.82,15.948,10.92
squeezenet,16,4,1,default,198.80,20.120,15.04
squeezenet,1,8,1,default,113.01,70.791,64.53
squeezenet,2,8,1,default,186.95,42.792,36.96
squeezenet,3,8,1,default,202.53,39.500,33.69
squeezenet,4,8,1,default,279.51,28.621,22.96
squeezenet,5,8,1,default,301.57,26.528,20.69
squeezenet,6,8,1,default,287.90,27.788,22.19
squeezenet,7,8,1,default,342.70,23.344,17.55
squeezenet,8,8,1,default,316.19,25.302,19.53
squeezenet,9,8,1,default,368.20,21.727,16.08
squeezenet,10,8,1,default,388.76,20.578,15.01
squeezenet,11,8,1,default,351.12,22.784,17.12
squeezenet,12,8,1,default,393.93,20.308,14.83
squeezenet,13,8,1,default,368.05,21.736,16.22
squeezenet,14,8,1,default,361.17,22.150,16.42
squeezenet,15,8,1,default,359.86,22.231,15.89
squeezenet,16,8,1,default,314.09,25.470,19.77
squeezenet,1,16,1,default,75.06,213.155,204.43
squeezenet,2,16,1,default,128.92,124.105,116.34
squeezenet,3,16,1,default,161.94,98.804,91.1
squeezenet,4,16,1,default,209.10,76.517,69.01
squeezenet,5,16,1,default,235.29,68.002,60.79
squeezenet,6,16,1,default,245.04,65.295,58.01
squeezenet,7,16,1,default,282.28,56.681,49.45
squeezenet,8,16,1,default,273.56,58.488,51.2
squeezenet,9,16,1,default,301.43,53.081,45.89
squeezenet,10,16,1,default,304.10,52.615,45.42
squeezenet,11,16,1,default,325.57,49.145,42.07
squeezenet,12,16,1,default,310.09,51.598,43.97
squeezenet,13,16,1,default,311.21,51.411,44.41
squeezenet,14,16,1,default,338.07,47.327,40.17
squeezenet,15,16,1,default,338.98,47.200,39.96
squeezenet,16,16,1,default,305.85,52.312,45.11
squeezenet,1,32,1,default,73.20,437.145,424.18
squeezenet,2,32,1,default,127.69,250.615,239.47
squeezenet,3,32,1,default,163.62,195.580,184.99
squeezenet,4,32,1,default,209.97,152.404,142.27
squeezenet,5,32,1,default,239.91,133.384,123.54
squeezenet,6,32,1,default,266.06,120.272,110.34
squeezenet,7,32,1,default,290.59,110.120,100.49
squeezenet,8,32,1,default,280.00,114.285,104.38
squeezenet,9,32,1,default,350.97,91.175,81.14
squeezenet,10,32,1,default,331.13,96.639,87.1
squeezenet,11,32,1,default,357.04,89.626,80.0
squeezenet,12,32,1,default,337.54,94.803,85.25
squeezenet,13,32,1,default,346.21,92.431,82.98
squeezenet,14,32,1,default,340.37,94.017,84.46
squeezenet,15,32,1,default,363.34,88.073,78.37
squeezenet,16,32,1,default,342.21,93.509,83.9
squeezenet,1,64,1,default,61.74,1036.604,1013.3
squeezenet,2,64,1,default,109.20,586.069,567.34
squeezenet,3,64,1,default,147.39,434.230,416.99
squeezenet,4,64,1,default,183.27,349.203,332.73
squeezenet,5,64,1,default,207.02,309.149,292.94
squeezenet,6,64,1,default,230.11,278.132,262.54
squeezenet,7,64,1,default,251.80,254.173,238.44
squeezenet,8,64,1,default,273.59,233.923,218.63
squeezenet,9,64,1,default,299.63,213.593,198.64
squeezenet,10,64,1,default,299.47,213.710,198.64
squeezenet,11,64,1,default,305.90,209.216,194.18
squeezenet,12,64,1,default,309.51,206.780,191.93
squeezenet,13,64,1,default,321.69,198.947,183.96
squeezenet,14,64,1,default,332.87,192.267,177.26
squeezenet,15,64,1,default,335.16,190.952,176.04
squeezenet,16,64,1,default,331.41,193.117,178.22
squeezenet,1,128,1,default,58.96,2170.845,2126.93
squeezenet,2,128,1,default,111.95,1143.347,1109.47
squeezenet,3,128,1,default,145.48,879.873,848.67
squeezenet,4,128,1,default,180.54,708.990,679.29
squeezenet,5,128,1,default,207.58,616.644,588.17
squeezenet,6,128,1,default,229.72,557.191,529.27
squeezenet,7,128,1,default,248.87,514.333,487.14
squeezenet,8,128,1,default,271.58,471.321,444.28
